onset,duration,period,division,bar,beat,tatum,beat_duration,signature,pitch,loud_max,loud_median,phrase_id,phrase_begin,chorus_id,chord,form,idea
5.4612244898,0.351020408163,4,1,2,1,1,0.236859410431,"""4/4""",60,0.685266789025,66.8484564661,1,1,1,NC,A1,lick
5.84489795918,0.510204081633,4,4,2,2,4,0.236859410431,"""4/4""",65,0.558379274938,61.8662102175,1,0,1,NC,A1,lick
6.38367346939,0.34693877551,4,1,3,1,1,0.232074829932,"""4/4""",61,0.952102650135,70.7318792319,1,0,1,NC,A1,lick
6.76326530612,0.440816326531,4,2,3,2,2,0.232074829932,"""4/4""",66,0.69085266611,67.2199294484,1,0,1,NC,A1,lick
7.25306122449,0.359183673469,4,1,4,1,1,0.232437641723,"""4/4""",68,0.658463352346,65.686374767,1,0,1,NC,A1,lick
7.63673469388,0.755102040816,4,2,4,2,2,0.232437641723,"""4/4""",63,0.732871146439,61.9518849656,1,0,1,NC,A1,lick
8.46734693878,0.177551020408,4,1,5,2,1,0.228718820862,"""4/4""",62,0.759393993273,69.2046096693,1,0,1,NC,A1,lick
8.68979591837,0.269387755102,4,1,5,3,1,0.235170068027,"""4/4""",67,0.552148228558,68.1377455457,1,0,1,NC,A1,lick
9.05714285714,0.118367346939,4,2,5,4,2,0.235170068027,"""4/4""",72,0.80330058157,73.1135008414,1,0,1,NC,A1,lick
9.29387755102,0.277551020408,4,2,6,1,2,0.237278911565,"""4/4""",69,0.569488188197,62.2818838457,1,0,1,NC,A1,lick
9.61224489796,0.244897959184,4,1,6,3,1,0.234988662132,"""4/4""",64,0.361716226084,60.7997198691,1,0,1,NC,A1,lick
9.87346938776,0.29387755102,4,1,6,4,1,0.234988662132,"""4/4""",65,0.30783499656,62.1707904001,1,0,1,NC,A1,lick
10.187755102,0.171428571429,4,2,7,1,2,0.224795918367,"""4/4""",64,0.466319377538,60.2558277734,1,0,1,NC,A1,lick
10.4408163265,0.30612244898,4,2,7,2,2,0.224795918367,"""4/4""",74,0.978723804209,72.5649322881,1,0,1,NC,A1,lick
10.7591836735,0.171428571429,4,1,7,4,1,0.229036281179,"""4/4""",72,0.704799003568,68.8564920653,1,0,1,NC,A1,lick
11.012244898,0.195918367347,4,1,8,1,1,0.238866213152,"""4/4""",66,0.674390066718,70.5115424818,1,0,1,NC,A1,lick
11.5469387755,0.140816326531,4,2,8,3,2,0.23253968254,"""4/4""",77,0.862742445552,71.1354508623,1,0,1,NC,A1,lick
11.6979591837,0.118367346939,4,2,8,4,1,0.23253968254,"""4/4""",75,0.353706153409,66.4610400313,1,0,1,NC,A1,lick
11.8204081633,0.102040816327,4,2,8,4,2,0.23253968254,"""4/4""",73,-0.0221107973569,62.4894335122,1,0,1,NC,A1,lick
12.8020408163,0.136734693878,4,2,9,4,2,0.240102040816,"""4/4""",71,0.653238965882,68.5762712078,2,1,1,NC,A1,lick
12.9510204082,0.0897959183673,4,3,10,1,2,0.235215419501,"""4/4""",69,-0.207745142059,57.7893830885,2,0,1,NC,A1,lick
13.0489795918,0.183673469388,4,3,10,1,3,0.235215419501,"""4/4""",71,0.271243677678,63.5614529741,2,0,1,NC,A1,lick
13.7551020408,0.175510204082,4,4,10,4,4,0.224863945578,"""4/4""",68,0.609844599276,68.6803452103,2,0,1,NC,A1,#-lick
13.9306122449,0.0938775510204,4,2,11,1,2,0.222936507937,"""4/4""",66,0.543671640394,62.0969947738,2,0,1,NC,A1,#-lick
14.0244897959,0.179591836735,4,1,11,2,1,0.222936507937,"""4/4""",68,0.543671640394,66.7423620614,2,0,1,NC,A1,#-lick
14.4408163265,0.151020408163,4,3,11,4,1,0.217653061224,"""4/4""",61,0.972083188305,74.6594249614,2,0,1,NC,A1,#-lick
14.5918367347,0.0979591836735,4,3,11,4,3,0.217653061224,"""4/4""",59,0.838739393323,62.6728778407,2,0,1,NC,A1,#-lick
14.6897959184,0.244897959184,4,1,12,1,1,0.222403628118,"""4/4""",61,0.951005296461,73.9367180234,2,0,1,NC,A1,#-lick
15.737324263,0.116099773243,4,2,13,1,2,0.242403628118,"""4/4""",55,0.253613036411,64.297069665,3,1,1,NC,A1,lick
15.8650340136,0.139319727891,4,1,13,2,1,0.242403628118,"""4/4""",56,0.41472134268,67.5946484097,3,0,1,NC,A1,lick
16.1897959184,0.0795918367347,4,2,13,3,2,0.228253968254,"""4/4""",58,0.654417980511,70.7284750906,3,0,1,NC,A1,lick
16.27138322,0.11029478458,4,1,13,4,1,0.228253968254,"""4/4""",60,0.825816132588,70.1871455332,3,0,1,NC,A1,lick
16.6265306122,0.104081632653,4,2,14,1,2,0.227290249433,"""4/4""",62,1.03292830414,76.5662322639,3,0,1,NC,A1,lick
16.7357823129,0.139319727891,4,1,14,2,1,0.227290249433,"""4/4""",63,0.844568806534,67.6455732119,3,0,1,NC,A1,lick
17.0469387755,0.108163265306,4,4,14,3,2,0.237108843537,"""4/4""",65,0.708447998442,68.5364569895,3,0,1,NC,A1,lick
17.1571428571,0.139319727891,4,4,14,3,4,0.237108843537,"""4/4""",66,0.708447998442,71.1894402746,3,0,1,NC,A1,lick
17.8040816327,0.112244897959,4,2,15,2,2,0.234829931973,"""4/4""",69,0.782828875398,67.6983313155,3,0,1,NC,A1,line_d
17.9796371882,0.12612244898,4,4,15,3,2,0.240487528345,"""4/4""",66,0.532072907391,69.2803618901,3,0,1,NC,A1,line_d
18.1057596372,0.104489795918,4,4,15,3,4,0.240487528345,"""4/4""",62,0.451437108568,67.073056852,3,0,1,NC,A1,line_d
18.2160544218,0.0928798185941,4,1,15,4,1,0.240487528345,"""4/4""",59,0.293129306963,64.3003518099,3,0,1,NC,A1,line_d
19.2408163265,0.167346938776,4,2,16,4,2,0.223265306122,"""4/4""",59,0.730842648213,69.3488907649,4,1,1,NC,A1,lick
19.4815419501,0.133514739229,4,4,17,1,4,0.215804988662,"""4/4""",64,0.38227591103,64.1228256696,4,0,1,NC,A1,lick
