onset,duration,period,division,bar,beat,tatum,beat_duration,signature,pitch,loud_max,loud_median,phrase_id,phrase_begin,chorus_id,chord,form,idea
5.05614512472,0.127709750567,4,2,1,1,2,0.296054421769,"""4/4""",63,0.859934988368,70.2928291015,1,1,1,C#7,A1,lick
5.1998185941,0.14947845805,4,2,1,2,1,0.296054421769,"""4/4""",65,0.648199906434,69.5639785726,1,0,1,C#7,A1,lick
5.36235827664,0.150929705215,4,2,1,2,2,0.296054421769,"""4/4""",68,0.669514863359,69.1812422791,1,0,1,C#7,A1,lick
5.51836734694,0.232199546485,4,1,1,3,1,0.284444444444,"""4/4""",71,0.485158637075,68.1896677547,1,0,1,C#7,A1,lick
5.78775510204,0.185759637188,4,3,1,4,1,0.284444444444,"""4/4""",75,1.14631782732,73.6344877247,1,0,1,C#7,A1,lick
5.98929705215,0.534058956916,4,3,1,4,3,0.284444444444,"""4/4""",77,0.831179131987,71.6055098216,1,0,1,C#7,A1,lick
6.52916099773,0.193015873016,4,2,2,2,2,0.281360544218,"""4/4""",80,0.965742436865,73.9993941435,1,0,1,C#7,A1,lick
6.7306122449,0.797006802721,4,2,2,3,2,0.303537414966,"""4/4""",82,0.631510335229,69.0862701414,1,0,1,C#7,A1,lick
7.52761904762,0.216235827664,4,4,3,2,1,0.289750566893,"""4/4""",78,0.708065214916,71.5562435981,1,0,1,F#7,A1,~lick
7.75401360544,0.0986848072562,4,4,3,2,4,0.289750566893,"""4/4""",75,0.638873378531,68.6940898404,1,0,1,F#7,A1,~lick
7.85560090703,0.264126984127,4,1,3,3,1,0.30283446712,"""4/4""",76,0.796136630235,71.1242289886,1,0,1,F#7,A1,~lick
8.1306122449,0.271428571429,4,1,3,4,1,0.296009070295,"""4/4""",80,0.618710136637,69.9789821172,1,0,1,F#7,A1,~lick
8.40204081633,0.0755102040816,4,4,4,1,1,0.295283446712,"""4/4""",75,0.449952498535,66.1221049487,1,0,1,F#7,A1,~lick
8.48367346939,0.238775510204,4,4,4,1,2,0.295283446712,"""4/4""",76,0.804822998644,71.6074058402,1,0,1,F#7,A1,~lick
8.72857142857,0.24693877551,4,1,4,2,1,0.29387755102,"""4/4""",78,0.663016946482,69.2482134634,1,0,1,F#7,A1,~lick
8.99047619048,0.0638548752834,4,4,4,3,1,0.304376417234,"""4/4""",73,0.0963454862674,56.9268907631,1,0,1,F#7,A1,~lick
9.05714285714,0.336689342404,4,4,4,3,2,0.304376417234,"""4/4""",76,0.739208555335,70.8085874406,1,0,1,F#7,A1,~lick
10.2734693878,0.174149659864,4,2,5,3,1,0.305011337868,"""4/4""",79,0.766106870135,71.6942108606,2,1,1,E7,A1,line_w_d
10.4571428571,0.156734693878,4,2,5,3,2,0.305011337868,"""4/4""",77,0.962680340946,72.4121198687,2,0,1,E7,A1,line_w_d
10.6144217687,0.156734693878,4,4,5,4,2,0.294013605442,"""4/4""",80,0.551268661623,68.8548897308,2,0,1,E7,A1,line_w_d
10.7755102041,0.134693877551,4,4,5,4,4,0.294013605442,"""4/4""",77,0.940062525552,73.8492430529,2,0,1,E7,A1,line_w_d
10.9102040816,0.156734693878,4,4,6,1,2,0.305034013605,"""4/4""",79,0.635269116066,70.0749046897,2,0,1,Eb7,A1,line_w_d
11.0693877551,0.138775510204,4,4,6,1,4,0.305034013605,"""4/4""",78,0.834683671281,71.6490505995,2,0,1,Eb7,A1,line_w_d
11.2081632653,0.133514739229,4,6,6,2,2,0.313560090703,"""4/4""",79,0.774480371318,69.9697205316,2,0,1,Eb7,A1,line_w_d
11.3469387755,0.0696598639456,4,6,6,2,5,0.313560090703,"""4/4""",79,0.806809974582,69.0067514117,2,0,1,Eb7,A1,line_w_d
11.4184126984,0.0798185941043,4,6,6,2,6,0.313560090703,"""4/4""",78,0.753352950627,72.014989155,2,0,1,Eb7,A1,line_w_d
11.4982312925,0.148027210884,4,2,6,3,1,0.303401360544,"""4/4""",77,0.816320556463,71.8277151395,2,0,1,Eb7,A1,line_w_d
11.6520634921,0.156734693878,4,2,6,3,2,0.303401360544,"""4/4""",76,0.970111878047,73.4808267421,2,0,1,Eb7,A1,line_w_d
11.8146031746,0.153832199546,4,2,6,4,1,0.305941043084,"""4/4""",75,0.936340721259,73.6007783365,2,0,1,Eb7,A1,line_w_d
11.9714285714,0.116099773243,4,2,6,4,2,0.305941043084,"""4/4""",78,0.785161506363,70.9964959103,2,0,1,Eb7,A1,line_w_d
12.1020408163,0.150929705215,4,2,7,1,1,0.293786848073,"""4/4""",76,0.909951239844,73.7396364701,2,0,1,D7,A1,line_w_d
12.2612244898,0.151020408163,4,2,7,1,2,0.293786848073,"""4/4""",72,1.15438856114,73.4228758869,2,0,1,D7,A1,line_w_d
12.4163265306,0.138775510204,4,2,7,2,1,0.294829931973,"""4/4""",69,0.362945968364,67.6973510055,2,0,1,D7,A1,line_w_d
12.563446712,0.140770975057,4,2,7,2,2,0.294829931973,"""4/4""",66,0.0615527432887,63.0538857992,2,0,1,D7,A1,line_w_d
12.7265306122,0.187755102041,4,4,7,3,2,0.303492063492,"""4/4""",68,0.588159917009,69.6414309477,2,0,1,D7,A1,line_w_d
12.9163265306,0.0755102040816,4,4,7,3,4,0.303492063492,"""4/4""",69,0.342590516191,66.6291906477,2,0,1,D7,A1,line_w_d
13.012244898,0.122448979592,4,2,7,4,1,0.295941043084,"""4/4""",74,0.950477718256,74.5392036792,2,0,1,D7,A1,line_w_d
13.1346938776,0.0897959183673,4,2,7,4,2,0.295941043084,"""4/4""",73,0.897286443668,65.9762399855,2,0,1,D7,A1,line_w_d
13.2934240363,0.182857142857,4,3,8,1,1,0.30335600907,"""4/4""",76,1.0238579715,72.8579160259,2,0,1,D7,A1,line_w_d
13.4816326531,0.122448979592,4,3,8,1,3,0.30335600907,"""4/4""",72,1.13668297857,72.7837935742,2,0,1,D7,A1,line_w_d
