onset,duration,period,division,bar,beat,tatum,beat_duration,signature,pitch,loud_max,loud_median,phrase_id,phrase_begin,chorus_id,chord,form,idea
2.54489795918,0.397959183673,3,1,1,1,1,0.328662131519,"""3/4""",62,0.261535149086,65.3018583312,1,1,1,G,A1,lick
3.01836734694,0.408163265306,3,2,1,2,2,0.325170068027,"""3/4""",64,0.665896213499,67.8985449456,1,0,1,G,A1,lick
3.44671201814,0.089977324263,3,3,2,1,1,0.333786848073,"""3/4""",64,0.492445243421,70.5316323766,1,0,1,G,A1,lick
3.56571428571,0.381678004535,3,3,2,1,2,0.333786848073,"""3/4""",65,0.634457635604,70.5821826662,1,0,1,G,A1,lick
3.97641723356,0.441179138322,3,2,2,2,2,0.327959183673,"""3/4""",64,0.643808689392,68.6089200441,1,0,1,G,A1,lick
4.45097505669,0.70820861678,3,1,3,1,1,0.329387755102,"""3/4""",62,0.246622228092,60.1304305368,1,0,1,Bb,A1,lick
5.22244897959,0.0448979591837,3,4,3,3,2,0.31693877551,"""3/4""",60,0.478562544052,68.101090144,1,0,1,Bb,A1,lick
5.27959183673,0.155102040816,3,4,3,3,3,0.31693877551,"""3/4""",58,0.86292192376,73.4628203977,1,0,1,Bb,A1,lick
5.46326530612,0.261224489796,3,1,4,1,1,0.319115646259,"""3/4""",57,0.444886614286,65.8431490806,1,0,1,Bb,A1,lick
5.74897959184,0.176530612245,3,3,4,2,1,0.323265306122,"""3/4""",58,0.566300463105,66.4838555306,1,0,1,Bb,A1,lick
5.96224489796,0.123469387755,3,3,4,2,3,0.323265306122,"""3/4""",60,0.859776141703,71.3407386493,1,0,1,Bb,A1,lick
6.15204081633,0.231632653061,3,1,4,3,1,0.323310657596,"""3/4""",63,0.902109895556,75.2325419974,1,0,1,Bb,A1,lick
6.40714285714,0.505102040816,3,1,5,1,1,0.32126984127,"""3/4""",62,0.624644307339,66.7860756648,1,0,1,Ebj7911#,A1,lick
6.94183673469,0.288775510204,3,2,5,2,2,0.323197278912,"""3/4""",55,-0.213683618454,55.9925834425,1,0,1,Ebj7911#,A1,lick
7.27074829932,1.02022675737,3,2,5,3,2,0.31358276644,"""3/4""",57,-0.163371825108,58.281513577,1,0,1,Ebj7911#,A1,lick
8.63927437642,0.291700680272,3,1,7,2,1,0.321156462585,"""3/4""",60,0.238304925018,63.4289073401,2,1,1,Ebj7911#,A1,lick
8.94693877551,0.288798185941,3,1,7,3,1,0.315782312925,"""3/4""",62,0.887924806156,69.4834814137,2,0,1,Ebj7911#,A1,lick
9.58403628118,0.291700680272,3,1,8,2,1,0.313741496599,"""3/4""",63,0.872499808562,68.434780851,2,0,1,Ebj7911#,A1,lick
9.92653061224,0.236553287982,3,1,8,3,1,0.313446712018,"""3/4""",65,0.610677164137,67.3132778324,2,0,1,Ebj7911#,A1,lick
10.3909297052,0.426666666667,3,2,9,1,2,0.322426303855,"""3/4""",67,0.813696574184,67.6987774506,2,0,1,Dbj7,A1,lick
10.8582312925,0.222040816327,3,1,9,3,1,0.323378684807,"""3/4""",68,0.658727359423,68.9284540395,2,0,1,Dbj7,A1,lick
11.2312018141,0.446984126984,3,1,10,1,1,0.340589569161,"""3/4""",58,0.411786247172,59.7313161074,2,0,1,Dbj7,A1,lick
