onset,duration,period,division,bar,beat,tatum,beat_duration,signature,pitch,loud_median,phrase_id,phrase_begin,chorus_id,chord,form,idea
4.70784580499,0.150929705215,4,2,2,3,2,0.345170068027,"""4/4""",56,69.1562486528,1,1,1,Eb7,A1,lick
4.89387755102,0.130612244898,4,4,2,4,1,0.325691609977,"""4/4""",58,67.6779854183,1,0,1,Eb7,A1,lick
5.02448979592,2.26757369615e-05,4,4,2,4,2,0.325691609977,"""4/4""",58,,1,0,1,Eb7,A1,lick
5.20408163265,0.142857142857,4,4,2,4,4,0.325691609977,"""4/4""",60,69.0416199976,1,0,1,Eb7,A1,lick
5.49387755102,0.114285714286,4,4,3,1,4,0.312154195011,"""4/4""",63,73.5681714004,1,0,1,Bb7,A1,lick
5.62448979592,0.669387755102,4,1,3,2,1,0.345351473923,"""4/4""",65,69.5260784836,1,0,1,Bb7,A1,lick
6.32653061224,0.163265306122,4,2,3,4,1,0.337256235828,"""4/4""",68,71.4212954718,1,0,1,Bb7,A1,lick
6.48979591837,0.685714285714,4,2,3,4,2,0.337256235828,"""4/4""",70,69.8982557902,1,0,1,Bb7,A1,lick
7.32244897959,0.110204081633,4,3,4,3,1,0.34253968254,"""4/4""",68,70.851341331,1,0,1,Bb7,A1,lick
7.43265306122,0.0938775510204,4,3,4,3,2,0.34253968254,"""4/4""",67,69.0183632727,1,0,1,Bb7,A1,lick
7.52653061224,0.138775510204,4,3,4,3,3,0.34253968254,"""4/4""",65,71.1803019727,1,0,1,Bb7,A1,lick
9.3387755102,0.220408163265,4,4,6,1,2,0.340929705215,"""4/4""",63,74.0002277646,2,1,1,Eb7,A1,lick
9.55918367347,0.424489795918,4,4,6,1,4,0.340929705215,"""4/4""",65,71.0105479706,2,0,1,Eb7,A1,lick
9.99183673469,0.122448979592,4,4,6,3,2,0.321836734694,"""4/4""",60,66.6952673301,2,0,1,Eb7,A1,lick
10.1306122449,0.0448979591837,4,4,6,3,3,0.321836734694,"""4/4""",61,67.2995872481,2,0,1,Eb7,A1,lick
10.187755102,0.0489795918367,4,4,6,3,4,0.321836734694,"""4/4""",62,68.6191964236,2,0,1,Eb7,A1,lick
10.2775510204,0.310204081633,4,1,6,4,1,0.326961451247,"""4/4""",63,72.0104580199,2,0,1,Eb7,A1,lick
13.4326530612,0.195918367347,4,2,9,1,2,0.343537414966,"""4/4""",69,73.2575549682,3,1,1,C-7,A1,lick
13.7387755102,0.187392290249,4,2,9,2,2,0.326258503401,"""4/4""",64,70.9277294524,3,0,1,C-7,A1,lick
13.9261678005,0.130612244898,4,2,9,3,1,0.334399092971,"""4/4""",60,63.1163236323,3,0,1,C-7,A1,lick
14.1293424036,0.142857142857,4,2,9,3,2,0.334399092971,"""4/4""",58,56.8992020815,3,0,1,C-7,A1,lick
14.7959183673,0.130612244898,4,6,10,1,4,0.368390022676,"""4/4""",69,70.1978313218,4,1,1,F7,A1,lick
14.9346938776,0.118367346939,4,6,10,1,6,0.368390022676,"""4/4""",70,68.1844079086,4,0,1,F7,A1,lick
15.1800453515,0.110204081633,4,2,10,2,2,0.335918367347,"""4/4""",67,58.1724483525,4,0,1,F7,A1,lick
15.3428571429,0.126530612245,4,2,10,3,1,0.347097505669,"""4/4""",63,71.564440146,4,0,1,F7,A1,lick
15.506122449,0.138775510204,4,2,10,3,2,0.347097505669,"""4/4""",62,68.3917781217,4,0,1,F7,A1,lick
15.6816326531,0.191836734694,4,2,10,4,1,0.3389569161,"""4/4""",60,64.7050418228,4,0,1,F7,A1,lick
15.8857142857,0.102040816327,4,2,10,4,2,0.3389569161,"""4/4""",63,72.9729242162,4,0,1,F7,A1,lick
16.0163265306,0.285714285714,4,1,11,1,1,0.325079365079,"""4/4""",65,67.7415142486,4,0,1,Bb7,A1,lick
16.3469387755,0.118367346939,4,3,11,2,1,0.340952380952,"""4/4""",65,68.023211695,4,0,1,Bb7,A1,lick
16.4653061224,0.114285714286,4,3,11,2,2,0.340952380952,"""4/4""",62,66.2581188918,4,0,1,Bb7,A1,lick
16.6040816327,0.130612244898,4,3,11,2,3,0.340952380952,"""4/4""",60,66.5520641949,4,0,1,Bb7,A1,lick
16.7755102041,0.195918367347,4,2,11,3,2,0.353265306122,"""4/4""",59,61.7257360404,4,0,1,Bb7,A1,lick
17.3224489796,0.175510204082,4,3,12,1,1,0.363265306122,"""4/4""",63,73.9571769649,4,0,1,Bb7,A1,lick
