onset,duration,period,division,bar,beat,tatum,beat_duration,signature,pitch,loud_max,loud_median,phrase_id,phrase_begin,chorus_id,chord,form,idea
6.22149659864,0.0464399092971,4,5,0,2,3,0.421882086168,"""4/4""",61,0.628602682782,69.558960894,1,1,-1,NC,I1,melody
6.27142857143,0.0897959183673,4,5,0,2,4,0.421882086168,"""4/4""",62,0.754469933884,69.4091228601,1,0,-1,NC,I1,melody
6.36734693878,0.0857142857143,4,5,0,2,5,0.421882086168,"""4/4""",65,0.657229996973,69.9231411542,1,0,-1,NC,I1,melody
6.47691609977,0.087074829932,4,5,0,3,1,0.414036281179,"""4/4""",62,0.881984954702,71.1959756243,1,0,-1,NC,I1,melody
6.56689342404,0.0754648526077,4,5,0,3,2,0.414036281179,"""4/4""",63,0.890411271943,72.4029779274,1,0,-1,NC,I1,melody
6.65106575964,0.0816326530612,4,5,0,3,3,0.414036281179,"""4/4""",65,0.816633880301,69.8260957976,1,0,-1,NC,I1,melody
6.74249433107,0.0957823129252,4,5,0,3,4,0.414036281179,"""4/4""",67,0.672502924221,68.2789975622,1,0,-1,NC,I1,melody
6.84489795918,0.0795918367347,4,5,0,3,5,0.414036281179,"""4/4""",69,1.00680664046,72.8181116534,1,0,-1,NC,I1,melody
6.93768707483,0.322176870748,4,8,0,4,2,0.420907029478,"""4/4""",70,1.03476769858,72.5571191181,1,0,-1,NC,I1,melody
7.27219954649,0.0769160997732,4,8,0,4,8,0.420907029478,"""4/4""",69,0.80446811458,69.9959472092,1,0,-1,NC,I1,melody
7.3612244898,0.0734693877551,4,3,1,1,1,0.414081632653,"""4/4""",67,0.374702940909,66.3082475676,1,0,1,Bbj7,A1,melody
7.44054421769,0.625487528345,4,3,1,1,2,0.414081632653,"""4/4""",65,0.944562431125,70.7659859031,1,0,1,Bbj7,A1,melody
8.08199546485,0.0812698412698,4,4,1,2,4,0.417664399093,"""4/4""",61,0.628917001372,68.3387968039,1,0,1,Bbj7,A1,melody
8.17052154195,0.751746031746,4,1,1,3,1,0.438639455782,"""4/4""",62,0.638965795555,67.9900938882,1,0,1,G79b/B,A1,melody
8.93469387755,0.087074829932,4,4,1,4,4,0.436235827664,"""4/4""",65,0.659792084168,67.7208514218,1,0,1,G79b/B,A1,melody
9.03836734694,0.386031746032,4,1,2,1,1,0.435804988662,"""4/4""",63,0.712943729034,68.420765464,1,0,1,C-7,A1,melody
9.43310657596,0.319274376417,4,4,2,2,1,0.408820861678,"""4/4""",65,0.690795137904,66.0128376139,1,0,1,C-7,A1,melody
9.76689342404,0.538412698413,4,4,2,2,4,0.408820861678,"""4/4""",67,0.480447638069,65.3500479464,1,0,1,C-7,A1,melody
10.3096598639,0.236553287982,4,2,2,4,1,0.43201814059,"""4/4""",69,0.525072497067,68.4303829411,1,0,1,F7,A1,melody
10.5520181406,0.751746031746,4,2,2,4,2,0.43201814059,"""4/4""",65,1.0130471059,62.6626152289,1,0,1,F7,A1,melody
12.4183673469,0.0448979591837,4,6,4,1,1,0.425102040816,"""4/4""",60,0.577666791226,67.3722742043,2,1,1,G7,A1,line_cx
12.4683673469,0.0765306122449,4,6,4,1,2,0.425102040816,"""4/4""",62,0.731838508392,69.3901180767,2,0,1,C-7,A1,line_cx
12.5503854875,0.0464399092971,4,6,4,1,3,0.425102040816,"""4/4""",63,0.691023876033,69.9091602859,2,0,1,C-7,A1,line_cx
12.6,0.0469387755102,4,6,4,1,4,0.425102040816,"""4/4""",65,0.381477634375,67.5906632499,2,0,1,C-7,A1,line_cx
12.6530612245,0.0489795918367,4,6,4,1,5,0.425102040816,"""4/4""",67,0.07567277829,62.3656004854,2,0,1,C-7,A1,line_cx
12.7795918367,0.0979591836735,4,6,4,1,6,0.425102040816,"""4/4""",62,0.792164826971,70.1423850112,2,0,1,C-7,A1,line_cx
12.8816326531,0.0632653061224,4,6,4,2,1,0.424263038549,"""4/4""",63,0.884866967674,71.9645058111,2,0,1,C-7,A1,line_cx
12.949478458,0.0522448979592,4,6,4,2,2,0.424263038549,"""4/4""",65,0.576449005772,69.1665726243,2,0,1,C-7,A1,line_cx
13.006122449,0.0530612244898,4,6,4,2,3,0.424263038549,"""4/4""",67,0.794499389252,70.4890345785,2,0,1,C-7,A1,line_cx
13.0641269841,0.0420861678005,4,6,4,2,4,0.424263038549,"""4/4""",68,0.86156478456,69.9406064923,2,0,1,C-7,A1,line_cx
