onset,duration,period,division,bar,beat,tatum,beat_duration,signature,pitch,loud_max,loud_median,phrase_id,phrase_begin,chorus_id,chord,form,idea
5.04163265306,0.113197278912,4,2,1,1,1,0.293151927438,"""4/4""",75,0.597795239934,68.9647183697,1,1,1,C,A1,lick
5.21287981859,0.165306122449,4,2,1,1,2,0.293151927438,"""4/4""",72,-0.447258514468,56.8213250513,1,0,1,C,A1,lick
5.39693877551,0.123469387755,4,1,1,2,1,0.293151927438,"""4/4""",76,0.516488707523,63.4873801553,1,0,1,C,A1,lick
5.63469387755,0.316326530612,4,1,1,3,1,0.284444444444,"""4/4""",84,0.88705242022,62.213683017,1,0,1,C,A1,lick
6.23673469388,0.126530612245,4,2,2,1,1,0.310566893424,"""4/4""",79,0.494686610604,65.0531477164,1,0,1,C,A1,lick
6.39496598639,0.235963718821,4,2,2,1,2,0.310566893424,"""4/4""",81,0.338615899508,60.1799722182,1,0,1,C,A1,lick
6.69024943311,0.128571428571,4,2,2,2,2,0.296054421769,"""4/4""",75,0.15209904667,61.8571841217,1,0,1,C,A1,lick
6.84081632653,0.118367346939,4,2,2,3,1,0.310861678005,"""4/4""",76,0.156745984267,62.5413828538,1,0,1,C,A1,lick
6.96530612245,0.136734693878,4,2,2,3,2,0.310861678005,"""4/4""",79,0.33526846994,61.7038541221,1,0,1,C,A1,lick
7.12040816327,0.124489795918,4,1,2,4,1,0.277369614512,"""4/4""",76,0.536192031505,63.0904863294,1,0,1,C,A1,lick
7.37142857143,0.793287981859,4,1,3,1,1,0.288548752834,"""4/4""",76,0.354302703814,56.586715014,1,0,1,C,A1,lick
8.53696145125,0.089977324263,4,3,4,1,1,0.29283446712,"""4/4""",76,0.466440662062,64.3964869377,2,1,1,E7,A1,lick
8.63419501134,0.0783673469388,4,3,4,1,2,0.29283446712,"""4/4""",79,0.173830506419,64.8992463897,2,0,1,E7,A1,lick
8.7198185941,0.0950566893424,4,3,4,1,3,0.29283446712,"""4/4""",76,0.00684255646619,63.0227716876,2,0,1,E7,A1,lick
8.83229024943,0.114648526077,4,3,4,2,1,0.278594104308,"""4/4""",75,0.562961011282,67.1979665323,2,0,1,E7,A1,lick
9.02893424036,0.0805442176871,4,3,4,2,3,0.278594104308,"""4/4""",76,0.0286706499852,63.318004923,2,0,1,E7,A1,lick
9.12689342404,0.116099773243,4,2,4,3,1,0.277596371882,"""4/4""",77,0.162658427389,64.2462701338,2,0,1,E7,A1,lick
9.28798185941,0.112471655329,4,2,4,3,2,0.277596371882,"""4/4""",78,0.0121253639681,62.8043886312,2,0,1,E7,A1,lick
9.44544217687,0.108117913832,4,2,4,4,1,0.287188208617,"""4/4""",79,0.380562143927,67.0183311555,2,0,1,E7,A1,lick
9.55428571429,0.124081632653,4,2,4,4,2,0.287188208617,"""4/4""",80,0.426332796492,64.2092789341,2,0,1,E7,A1,lick
9.68997732426,0.11029478458,4,2,5,1,1,0.29387755102,"""4/4""",79,0.387515836978,66.104896741,2,0,1,E7,A1,lick
9.80680272109,0.259047619048,4,2,5,1,2,0.29387755102,"""4/4""",80,0.783366464571,70.617399202,2,0,1,A-,A1,lick
10.0714285714,1.45102040816,4,2,5,2,2,0.292358276644,"""4/4""",81,0.527748509658,64.7845130474,2,0,1,A-,A1,lick
11.5704081633,0.0979591836735,4,3,6,3,2,0.267777777778,"""4/4""",79,0.28572690302,65.408545415,2,0,1,A-,A1,lick
11.6816326531,0.136734693878,4,3,6,3,3,0.267777777778,"""4/4""",81,0.793803948467,71.2066516421,2,0,1,A-,A1,lick
11.8275510204,0.108163265306,4,2,6,4,2,0.268820861678,"""4/4""",80,0.543983640342,67.170112469,2,0,1,A-,A1,lick
11.9704081633,0.142857142857,4,3,7,1,1,0.267755102041,"""4/4""",81,0.684917342319,69.7209457581,2,0,1,A-,A1,lick
12.1612244898,0.0612244897959,4,3,7,1,3,0.267755102041,"""4/4""",80,0.37739243614,66.7680152645,2,0,1,C7,A1,lick
12.2397959184,0.0459183673469,4,2,7,2,1,0.288979591837,"""4/4""",79,-0.000360134550852,63.7424968501,2,0,1,C7,A1,lick
12.4132653061,0.971428571429,4,2,7,2,2,0.288979591837,"""4/4""",79,0.424292723025,58.9360811948,2,0,1,C7,A1,lick
13.8579591837,0.12335600907,4,2,8,3,2,0.296054421769,"""4/4""",79,0.790023788814,70.0876064399,3,1,1,C7,A1,lick
13.9900226757,0.134965986395,4,2,8,4,1,0.301065759637,"""4/4""",80,1.02542146133,72.1376354487,3,0,1,C7,A1,lick
14.1397959184,0.155102040816,4,2,8,4,2,0.301065759637,"""4/4""",84,1.35531018355,76.0125132148,3,0,1,C7,A1,lick
