onset,duration,period,division,bar,beat,tatum,beat_duration,signature,pitch,loud_max,loud_median,phrase_id,phrase_begin,chorus_id,chord,form,idea
0.934693877551,0.29387755102,4,4,0,2,4,1.04489795918,"""4/4""",59,0.242378764449,62.2545094295,1,1,-1,NC,I1,lick_blues
1.25097505669,0.585714285714,4,2,0,3,1,1.11020408163,"""4/4""",61,0.337061345447,62.222933712,1,0,-1,NC,I1,lick_blues
1.8612244898,0.295918367347,4,2,0,3,2,1.11020408163,"""4/4""",60,0.287588414414,63.1430661623,1,0,-1,NC,I1,lick_blues
2.22040816327,0.575510204082,4,2,0,4,1,1.12596371882,"""4/4""",58,1.00530199271,70.1888445653,1,0,-1,NC,I1,lick_blues
2.81020408163,0.414285714286,4,2,0,4,2,1.12596371882,"""4/4""",59,0.819100007714,65.7788952594,1,0,-1,NC,I1,lick_blues
3.29183673469,0.225510204082,4,6,1,1,1,1.08757369615,"""4/4""",55,0.63790111319,66.3617633586,1,0,-1,NC,I1,lick_blues
3.54285714286,0.1,4,6,1,1,2,1.08757369615,"""4/4""",53,0.671293201193,67.3121669328,1,0,1,G-j7,A1,lick_blues
3.66117913832,0.04589569161,4,6,1,1,3,1.08757369615,"""4/4""",51,0.213768431099,61.1974471107,1,0,1,G-j7,A1,lick_blues
3.71455782313,0.0568707482993,4,6,1,1,4,1.08757369615,"""4/4""",50,0.0522998181255,60.3363839798,1,0,1,G-j7,A1,lick_blues
3.78888888889,0.115238095238,4,6,1,1,5,1.08757369615,"""4/4""",49,-0.0423643827714,60.4372674698,1,0,1,G-j7,A1,lick_blues
3.93287981859,0.055873015873,4,6,1,1,6,1.08757369615,"""4/4""",48,-0.321022316713,55.9924113509,1,0,1,G-j7,A1,lick_blues
6.31836734694,0.359183673469,4,2,1,3,2,1.14117913832,"""4/4""",49,0.369619629145,61.9734071826,2,1,1,G-j7,A1,void->lick
6.70204081633,0.448979591837,4,4,1,4,1,1.11142857143,"""4/4""",50,0.208439234555,61.3539783316,2,0,1,G-j7,A1,void->lick
7.18367346939,0.465306122449,4,4,1,4,3,1.11142857143,"""4/4""",49,0.478028007587,62.2311013094,2,0,1,G-j7,A1,void->lick
7.67419501134,0.302040816327,4,4,1,4,4,1.11142857143,"""4/4""",48,0.270668913913,60.0035740168,2,0,1,G-j7,A1,void->lick
8.02249433107,0.483265306122,4,1,2,1,1,1.20102040816,"""4/4""",46,0.367859524591,55.9479683441,2,0,1,G-j7,A1,void->lick
12.4662131519,0.32798185941,4,3,3,1,1,1.21678004535,"""4/4""",49,0.792595704935,67.4283363938,3,1,1,G-j7,A1,void->melody
12.8163265306,0.897959183673,4,3,3,1,2,1.21678004535,"""4/4""",50,0.615570980003,64.828890627,3,0,1,G-j7,A1,void->melody
13.7387755102,0.628571428571,4,2,3,2,1,1.18321995465,"""4/4""",49,0.317194315294,59.874836467,3,0,1,G-j7,A1,void->melody
14.4489795918,0.29387755102,4,2,3,2,2,1.18321995465,"""4/4""",46,0.656686742543,61.0890864111,3,0,1,G-j7,A1,void->melody
14.887755102,0.661224489796,4,2,3,3,1,1.19183673469,"""4/4""",48,0.261713430794,57.3738689576,3,0,1,G-j7,A1,void->melody
15.6,0.367346938776,4,2,3,3,2,1.19183673469,"""4/4""",46,0.533055489925,58.9350633172,3,0,1,G-j7,A1,void->melody
16.0565986395,0.70820861678,4,3,3,4,1,1.24081632653,"""4/4""",48,0.207514822962,58.5286821459,3,0,1,G-j7,A1,void->melody
16.8721995465,0.296054421769,4,3,3,4,3,1.24081632653,"""4/4""",46,0.58966942688,58.7683175272,3,0,1,G-j7,A1,void->melody
17.3081632653,0.169387755102,4,4,4,1,1,1.21632653061,"""4/4""",48,0.238573504986,59.5582040545,3,0,1,G-j7,A1,void->melody
17.4816326531,0.574693877551,4,4,4,1,2,1.21632653061,"""4/4""",49,-0.0587071320144,57.6330884568,3,0,1,G-j7,A1,void->melody
18.1306122449,0.375510204082,4,4,4,1,4,1.21632653061,"""4/4""",48,0.147588085424,56.7952724384,3,0,1,G-j7,A1,void->melody
18.5714285714,0.865306122449,4,1,4,2,1,1.15900226757,"""4/4""",46,0.3109861844,53.5686585125,3,0,1,G-j7,A1,void->melody
22.5219047619,0.271383219955,4,6,5,1,4,1.18142857143,"""4/4""",45,1.21798603775,73.2062907407,4,1,1,G-j7,A1,void->melody
22.9021315193,0.223492063492,4,6,5,1,6,1.18142857143,"""4/4""",46,0.821205903534,68.4043623612,4,0,1,G-j7,A1,void->melody
23.2475283447,0.332335600907,4,4,5,2,2,1.18666666667,"""4/4""",50,0.345636499656,60.2221429236,4,0,1,G-j7,A1,void->melody
23.6611337868,0.236553287982,4,4,5,2,3,1.18666666667,"""4/4""",54,0.465526312037,65.8114619219,4,0,1,G-j7,A1,void->melody
24.0326530612,0.171428571429,4,4,5,2,4,1.18666666667,"""4/4""",57,0.246368495638,63.2212554985,4,0,1,G-j7,A1,void->melody
24.3925623583,0.737233560091,4,1,5,3,1,1.06725623583,"""4/4""",52,0.472431086991,50.7826808363,4,0,1,G-j7,A1,void->melody
27.6897959184,0.734693877551,4,3,6,2,1,1.21442176871,"""4/4""",50,0.328193059161,58.8556603987,5,1,1,G-j7,A1,void->melody
28.4755102041,0.310204081633,4,3,6,2,3,1.21442176871,"""4/4""",54,0.568477622303,65.2957402719,5,0,1,G-j7,A1,void->melody
28.8979591837,0.767346938776,4,1,6,3,1,1.17551020408,"""4/4""",48,0.28038441647,49.0363125602,5,0,1,G-j7,A1,void->melody
