onset,duration,period,division,bar,beat,tatum,beat_duration,signature,pitch,loud_max,loud_median,phrase_id,phrase_begin,chorus_id,chord,form,idea
3.52551020408,0.126530612245,4,4,0,1,4,0.390385487528,"""4/4""",72,0.670042516185,69.6932455684,1,1,-1,Dm7b5,I1,lick
3.70612244898,0.187755102041,4,4,0,2,2,0.403492063492,"""4/4""",70,0.84260487687,70.5307483973,1,0,-1,Dm7b5,I1,lick
3.93163265306,0.142857142857,4,4,0,2,4,0.403492063492,"""4/4""",68,0.680825015931,69.0896033606,1,0,-1,Dm7b5,I1,lick
4.27040816327,0.14387755102,4,2,0,3,2,0.414285714286,"""4/4""",67,0.827842396897,71.0926235685,1,0,-1,G+7,I1,lick
4.58163265306,0.142857142857,4,3,0,4,2,0.391836734694,"""4/4""",66,0.656527061161,70.186547786,1,0,-1,G+7,I1,lick
4.74081632653,0.125510204082,4,3,0,4,3,0.391836734694,"""4/4""",65,0.809197968075,68.6632948829,1,0,-1,G+7,I1,lick
4.88469387755,0.223469387755,4,1,1,1,1,0.363265306122,"""4/4""",67,0.804708995758,69.0040990706,1,0,1,Dm7b5,A1,lick
5.14081632653,0.730612244898,4,1,1,2,1,0.385714285714,"""4/4""",67,0.780898800691,70.0921865021,1,0,1,Dm7b5,A1,lick
5.9612244898,0.220408163265,4,4,1,4,1,0.367800453515,"""4/4""",70,0.981670050965,72.6309020835,1,0,1,Dm7b5,A1,lick
6.23265306122,0.0948979591837,4,4,1,4,4,0.367800453515,"""4/4""",67,0.755319433099,68.2198354167,1,0,1,Dm7b5,A1,lick
6.34387755102,0.20612244898,4,2,2,1,1,0.38022675737,"""4/4""",68,0.769173210096,69.970193553,1,0,1,G+7,A1,lick
6.56326530612,0.174489795918,4,2,2,1,2,0.38022675737,"""4/4""",73,0.963265057032,73.4230860416,1,0,1,G+7,A1,lick
6.75,0.210204081633,4,4,2,2,2,0.382585034014,"""4/4""",71,0.839233403155,70.0717737833,1,0,1,G+7,A1,lick
6.97755102041,0.327551020408,4,4,2,2,4,0.382585034014,"""4/4""",68,0.813198939202,69.730697417,1,0,1,G+7,A1,lick
7.32142857143,0.117346938776,4,2,2,3,2,0.359183673469,"""4/4""",66,0.594715923348,68.6812450987,1,0,1,G+7,A1,lick
7.49387755102,0.20306122449,4,4,2,4,2,0.391836734694,"""4/4""",68,0.826482430357,69.4873304563,1,0,1,G+7,A1,lick
7.72551020408,0.49693877551,4,4,2,4,4,0.391836734694,"""4/4""",67,0.888250269052,67.1081893357,1,0,1,G+7,A1,lick
8.24795918367,0.287755102041,4,6,3,2,2,0.379591836735,"""4/4""",62,0.390438677244,64.1981600867,1,0,1,Abj7,A1,lick
8.54897959184,0.0448979591837,4,6,3,2,6,0.379591836735,"""4/4""",60,-0.426375606066,58.754317552,1,0,1,Abj7,A1,lick
8.68367346939,0.239795918367,4,6,3,3,2,0.395918367347,"""4/4""",65,0.74151492803,69.4807579454,1,0,1,Gbj7,A1,lick
8.94489795918,0.879591836735,4,6,3,3,6,0.395918367347,"""4/4""",63,0.568069386336,63.7099855514,1,0,1,Gbj7,A1,lick
9.84387755102,0.0826530612245,4,4,4,2,2,0.389795918367,"""4/4""",64,0.421622501059,64.077086054,1,0,1,E-7,A1,~line_w
9.94693877551,0.0714285714286,4,4,4,2,3,0.389795918367,"""4/4""",66,0.246099597804,64.3376865518,1,0,1,E-7,A1,~line_w
10.0418367347,0.0755102040816,4,4,4,2,4,0.389795918367,"""4/4""",67,0.680285370121,67.8899767793,1,0,1,E-7,A1,~line_w
10.1306122449,0.0561224489796,4,4,4,3,1,0.387755102041,"""4/4""",69,0.675970352931,70.2143368237,1,0,1,E-7,A1,~line_w
10.212244898,0.10612244898,4,4,4,3,2,0.387755102041,"""4/4""",71,0.698582931377,70.371536097,1,0,1,A7,A1,~line_w
10.3479591837,0.0438775510204,4,4,4,3,3,0.387755102041,"""4/4""",68,0.386386673351,64.2768430216,1,0,1,A7,A1,~line_w
10.4040816327,0.080612244898,4,4,4,3,4,0.387755102041,"""4/4""",66,0.273767803986,66.4251464772,1,0,1,A7,A1,~line_w
10.5316326531,0.0826530612245,4,4,4,4,1,0.377551020408,"""4/4""",64,0.289311119016,62.5560711533,1,0,1,A7,A1,~line_w
10.6183673469,0.0887755102041,4,4,4,4,2,0.377551020408,"""4/4""",69,0.632591733756,69.9140615792,1,0,1,A7,A1,~line_w
10.7234693878,0.0795918367347,4,4,4,4,3,0.377551020408,"""4/4""",66,0.234137765074,64.6249487563,1,0,1,A7,A1,~line_w
10.8204081633,0.104081632653,4,4,4,4,4,0.377551020408,"""4/4""",67,0.431068660803,66.6912634346,1,0,1,A7,A1,~line_w
10.9306122449,0.0887755102041,4,3,5,1,1,0.367346938776,"""4/4""",69,0.563777934479,69.0545788557,1,0,1,F-7,A1,~line_w
11.0510204082,0.0836734693878,4,3,5,1,2,0.367346938776,"""4/4""",66,0.508977821705,67.2652542341,1,0,1,F-7,A1,~line_w
11.4408163265,0.0571428571429,4,3,5,2,2,0.404081632653,"""4/4""",58,0.0,62.2995748405,2,1,1,F-7,A1,line_w
11.5780498866,0.0809070294785,4,3,5,2,3,0.404081632653,"""4/4""",59,0.192242979788,62.9152432604,2,0,1,F-7,A1,line_w
11.6716553288,0.0540589569161,4,6,5,3,1,0.397959183673,"""4/4""",61,-0.383930824248,57.7031333358,2,0,1,F-7,A1,line_w
11.7300680272,0.0562358276644,4,6,5,3,2,0.397959183673,"""4/4""",62,-0.148300652865,60.4497135332,2,0,1,Bb7,A1,line_w
11.7993650794,0.0841723356009,4,6,5,3,3,0.397959183673,"""4/4""",65,0.610547314542,66.7033143972,2,0,1,Bb7,A1,line_w
11.8864399093,0.122267573696,4,6,5,3,4,0.397959183673,"""4/4""",62,-0.700249101209,53.7544070129,2,0,1,Bb7,A1,line_w
12.0663265306,0.0459183673469,4,4,5,4,1,0.373469387755,"""4/4""",65,0.415324236383,67.4292366346,2,0,1,Bb7,A1,line_w
