onset,duration,period,division,bar,beat,tatum,beat_duration,signature,pitch,loud_median,phrase_id,phrase_begin,chorus_id,chord,form,idea
2.73469387755,0.259183673469,4,2,0,2,2,0.401836734694,"""4/4""",69,74.2817057359,1,1,-1,G-,I1,lick
2.99591836735,0.0510204081633,4,6,0,3,2,0.392653061224,"""4/4""",70,69.6870561934,1,0,-1,G-,I1,lick
3.05714285714,0.173469387755,4,6,0,3,3,0.392653061224,"""4/4""",72,70.2716988373,1,0,-1,G-,I1,lick
3.26734693878,0.161224489796,4,6,0,3,6,0.392653061224,"""4/4""",72,70.6954648165,1,0,-1,G-,I1,lick
3.59183673469,0.308163265306,4,2,0,4,2,0.406780045351,"""4/4""",72,71.3848445109,1,0,-1,G-,I1,lick
3.92040816327,0.179591836735,4,2,1,1,2,0.402607709751,"""4/4""",72,71.6899204791,1,0,1,D-,A1,lick
5.97346938776,0.222448979592,4,2,2,2,2,0.402721088435,"""4/4""",65,71.4570772131,2,1,1,G-,A1,#lick
6.21224489796,0.224489795918,4,3,2,3,1,0.39283446712,"""4/4""",72,72.768865885,2,0,1,G-,A1,#lick
6.4693877551,0.138775510204,4,3,2,3,3,0.39283446712,"""4/4""",72,61.1817934838,2,0,1,G-,A1,#lick
6.80408163265,0.197959183673,4,2,2,4,2,0.440793650794,"""4/4""",72,72.4703942255,2,0,1,G-,A1,#lick
7.02448979592,0.571428571429,4,1,3,1,1,0.392698412698,"""4/4""",72,71.4201510195,2,0,1,D-,A1,#lick
7.61224489796,0.118367346939,4,2,3,2,2,0.422108843537,"""4/4""",72,67.7135525543,2,0,1,D-,A1,#lick
9.25714285714,0.169387755102,4,2,4,2,2,0.407006802721,"""4/4""",65,62.5544761616,3,1,1,G-,A1,#lick
9.47142857143,0.277551020408,4,6,4,3,2,0.422131519274,"""4/4""",72,70.7504208365,3,0,1,G-,A1,#lick
9.79387755102,0.159183673469,4,6,4,3,6,0.422131519274,"""4/4""",72,66.8055986918,3,0,1,G-,A1,#lick
10.0693877551,0.179591836735,4,2,4,4,2,0.411609977324,"""4/4""",72,71.1476059601,3,0,1,G-,A1,#lick
10.2775510204,0.120408163265,4,3,5,1,1,0.377346938776,"""4/4""",71,68.8083313762,3,0,1,D-,A1,#lick
10.4142857143,0.0551020408163,4,3,5,1,2,0.377346938776,"""4/4""",72,71.9793633382,3,0,1,D-,A1,#lick
10.4693877551,0.181632653061,4,3,5,1,3,0.377346938776,"""4/4""",73,73.2494913283,3,0,1,D-,A1,#lick
10.6591836735,0.234693877551,4,3,5,2,1,0.402675736961,"""4/4""",72,69.716796918,3,0,1,D-,A1,#lick
10.9102040816,0.648979591837,4,3,5,2,3,0.402675736961,"""4/4""",69,68.743010827,3,0,1,D-,A1,#lick
