onset,duration,period,division,bar,beat,tatum,beat_duration,signature,pitch,loud_max,loud_median,phrase_id,phrase_begin,chorus_id,chord,form,idea
2.54693877551,0.244897959184,4,4,1,1,1,0.316349206349,"""4/4""",52,0.998878746564,64.550140626,1,1,1,C,A1,theme:t1-4
2.80816326531,0.220408163265,4,4,1,1,4,0.316349206349,"""4/4""",53,1.13172780179,70.2263215739,1,0,1,C,A1,theme:t1-4
3.07755102041,0.277551020408,4,4,1,2,4,0.288458049887,"""4/4""",54,0.709418904546,66.8488027776,1,0,1,C,A1,theme:t1-4
3.36326530612,0.195918367347,4,4,1,3,4,0.283333333333,"""4/4""",55,0.79591975037,69.6134945458,1,0,1,C,A1,theme:t1-4
3.58571428571,0.628571428571,4,2,1,4,2,0.282517006803,"""4/4""",65,0.811317156536,70.6460462545,1,0,1,C,A1,theme:t1-4
4.25714285714,0.255102040816,4,1,2,3,1,0.271927437642,"""4/4""",64,0.935422174013,72.7064701875,1,0,1,A7,A1,theme:t1-4
4.64897959184,1.65918367347,4,2,2,4,2,0.274784580499,"""4/4""",57,0.489083417053,62.8196732786,1,0,1,A7,A1,theme:t1-4
7.08063492063,0.140770975057,4,1,5,1,1,0.282335600907,"""4/4""",53,0.202371445072,63.9667118254,2,1,1,G7,A1,theme:t5-8
7.3389569161,0.252517006803,4,1,5,2,1,0.290158730159,"""4/4""",55,0.789321297141,64.7851726532,2,0,1,G7,A1,theme:t5-8
7.61469387755,0.163990929705,4,3,5,3,1,0.272675736961,"""4/4""",56,0.329536686289,67.9773525049,2,0,1,G7,A1,theme:t5-8
7.79591836735,0.163265306122,4,3,5,3,3,0.272675736961,"""4/4""",57,0.264323353038,66.7699882415,2,0,1,G7,A1,theme:t5-8
8.08344671202,0.139319727891,4,2,5,4,2,0.285850340136,"""4/4""",60,-0.0685221790467,65.892772587,2,0,1,G7,A1,theme:t5-8
8.32145124717,0.220589569161,4,2,6,1,2,0.292199546485,"""4/4""",64,0.824475694426,71.8943481502,2,0,1,G7,A1,theme:t5-8
8.66394557823,0.359909297052,4,2,6,2,2,0.26820861678,"""4/4""",62,0.385376389843,68.0633792794,2,0,1,G7,A1,theme:t5-8
