onset,duration,period,division,bar,beat,tatum,beat_duration,signature,pitch,loud_max,loud_median,phrase_id,phrase_begin,chorus_id,chord,form,idea
10.5571428571,0.220408163265,4,1,0,3,1,0.405986394558,"""4/4""",72,1.0233988061,71.4933844823,1,1,-1,NC,I1,lick
10.9734693878,0.197959183673,4,1,0,4,1,0.410430839002,"""4/4""",72,0.730138133818,71.1418710266,1,0,-1,NC,I1,lick
11.3795918367,0.302040816327,4,3,1,1,1,0.452789115646,"""4/4""",70,0.84782226187,73.307439495,1,0,-1,Abj7,B1,lick
11.693877551,0.669387755102,4,3,1,1,3,0.452789115646,"""4/4""",68,0.93099735278,59.4845982906,1,0,-1,Abj7,B1,lick
13.4857142857,0.269387755102,4,3,2,2,1,0.412199546485,"""4/4""",72,1.00116046031,72.2527684352,2,1,-1,Bb7,B1,#lick
13.7755102041,0.0857142857143,4,3,2,2,3,0.412199546485,"""4/4""",71,0.555584847169,67.2737221139,2,0,-1,Bb7,B1,#lick
13.9224489796,0.248979591837,4,2,2,3,1,0.441746031746,"""4/4""",72,0.813632410542,70.0989314965,2,0,-1,Eb7,B1,#lick
14.1918367347,0.110204081633,4,2,2,3,2,0.441746031746,"""4/4""",67,0.543449613818,63.8335366173,2,0,-1,Eb7,B1,#lick
14.3224489796,0.275736961451,4,3,2,4,1,0.431678004535,"""4/4""",70,0.865691792926,73.6662028849,2,0,-1,Eb7,B1,#lick
14.6244897959,0.195918367347,4,3,2,4,3,0.431678004535,"""4/4""",70,0.888382920851,73.9759486292,2,0,-1,Eb7,B1,#lick
15.0087981859,0.641451247166,4,2,3,1,2,0.412199546485,"""4/4""",68,1.03490771951,74.3671203531,2,0,-1,Abj7,B1,#lick
15.9714285714,0.289795918367,4,3,3,4,1,0.415260770975,"""4/4""",72,0.730021684131,66.9347916685,3,1,-1,Abj7,B1,lick
16.27138322,0.499229024943,4,3,3,4,3,0.415260770975,"""4/4""",70,0.867636872234,70.2328711567,3,0,-1,Abj7,B1,lick
16.8367346939,0.273469387755,4,3,4,2,1,0.417959183673,"""4/4""",73,0.540180052108,66.8606794894,3,0,-1,Db7,B1,lick
17.1224489796,0.575510204082,4,3,4,2,3,0.417959183673,"""4/4""",72,0.452891309044,61.6376260737,3,0,-1,Db7,B1,lick
17.7168253968,0.203174603175,4,4,4,4,2,0.394739229025,"""4/4""",76,0.639999220135,68.2518318656,3,0,-1,C7,B1,lick
