onset,duration,period,division,bar,beat,tatum,beat_duration,signature,pitch,loud_max,loud_median,phrase_id,phrase_begin,chorus_id,chord,form,idea
3.15918367347,0.359183673469,4,2,0,2,2,0.394739229025,"""4/4""",73,0.798978509164,64.1905669949,1,1,-1,NC,I1,lick
3.55102040816,0.179591836735,4,2,0,3,2,0.400544217687,"""4/4""",70,0.492441771253,61.6113372938,1,0,-1,NC,I1,lick
3.7306122449,0.151020408163,4,6,0,4,1,0.398639455782,"""4/4""",68,0.648300055592,62.5696782288,1,0,-1,NC,I1,lick
3.9306122449,0.159183673469,4,6,0,4,4,0.398639455782,"""4/4""",70,0.239632170485,59.3380995017,1,0,-1,NC,I1,lick
4.10612244898,0.216326530612,4,6,0,4,6,0.398639455782,"""4/4""",63,0.40483370793,62.1160313603,1,0,-1,NC,I1,lick
4.35918367347,0.0775510204082,4,6,1,1,4,0.386439909297,"""4/4""",58,-0.480629138671,53.0672729964,1,0,1,Eb7,A1,lick
4.49886621315,0.371519274376,4,6,1,1,6,0.386439909297,"""4/4""",63,0.561996709039,58.0987765437,1,0,1,Eb7,A1,lick
6.03265306122,0.436734693878,4,1,2,2,1,0.377256235828,"""4/4""",73,1.02423408994,70.9279854109,2,1,1,Eb7,A1,#lick
6.49387755102,0.0897959183673,4,4,2,3,2,0.377709750567,"""4/4""",74,0.724246901177,64.794556247,2,0,1,Eb7,A1,#lick
6.59183673469,0.0530612244898,4,4,2,3,3,0.377709750567,"""4/4""",72,0.773681695985,68.6355166714,2,0,1,Eb7,A1,#lick
6.64489795918,0.118367346939,4,4,2,3,4,0.377709750567,"""4/4""",70,0.852059544598,70.5424783787,2,0,1,Eb7,A1,#lick
6.80408163265,0.171428571429,4,6,2,4,1,0.391836734694,"""4/4""",68,0.639040681292,65.7294756641,2,0,1,Eb7,A1,#lick
7.02448979592,0.138775510204,4,6,2,4,4,0.391836734694,"""4/4""",70,0.880511098416,71.1386665255,2,0,1,Eb7,A1,#lick
7.16326530612,0.167346938776,4,6,2,4,6,0.391836734694,"""4/4""",63,0.693382064173,68.1813410135,2,0,1,Eb7,A1,#lick
7.37142857143,0.171428571429,4,2,3,1,2,0.372040816327,"""4/4""",63,0.607420991003,67.5732648275,2,0,1,Eb7,A1,#lick
7.55918367347,0.338775510204,4,6,3,2,1,0.402721088435,"""4/4""",66,0.676258547012,63.1287352114,2,0,1,Eb7,A1,#lick
7.9387755102,0.383673469388,4,6,3,2,6,0.402721088435,"""4/4""",67,0.584533901489,65.2907657378,2,0,1,Eb7,A1,#lick
8.35102040816,0.29387755102,4,1,3,4,1,0.383038548753,"""4/4""",67,0.639473069925,67.8060477211,2,0,1,Eb7,A1,#lick
8.73469387755,0.138775510204,4,2,4,1,1,0.367732426304,"""4/4""",66,-0.13607250953,58.8131606806,2,0,1,Eb7,A1,#lick
8.88743764172,0.391836734694,4,2,4,1,2,0.367732426304,"""4/4""",67,0.614248021003,65.8117425286,2,0,1,Eb7,A1,#lick
9.31428571429,0.142857142857,4,2,4,2,2,0.397097505669,"""4/4""",63,0.49492015478,66.5327975177,2,0,1,Eb7,A1,#lick
