onset,duration,period,division,bar,beat,tatum,beat_duration,signature,pitch,loud_median,phrase_id,phrase_begin,chorus_id,chord,form,idea
16.5268027211,0.16253968254,4,4,1,1,4,0.699501133787,"""4/4""",62,66.9922702398,1,1,1,G-,A1,lick
16.7067573696,0.165442176871,4,4,1,2,1,0.679183673469,"""4/4""",67,67.5941146976,1,0,1,G-,A1,lick
16.8721995465,0.130612244898,4,4,1,2,2,0.679183673469,"""4/4""",69,69.3782098463,1,0,1,G-,A1,lick
17.0057142857,0.171247165533,4,4,1,2,3,0.679183673469,"""4/4""",70,67.9499030485,1,0,1,G-,A1,lick
17.1769614512,0.252517006803,4,4,1,2,4,0.679183673469,"""4/4""",72,69.4610772845,1,0,1,G-,A1,lick
17.4602040816,0.0928571428571,4,5,1,3,2,0.673378684807,"""4/4""",73,65.4182304835,1,0,1,G-,A1,lick
17.5734693878,0.120136054422,4,5,1,3,3,0.673378684807,"""4/4""",74,65.3062891021,1,0,1,G-,A1,lick
17.6936054422,0.145124716553,4,5,1,3,4,0.673378684807,"""4/4""",72,68.7784746868,1,0,1,G-,A1,lick
17.8532426304,0.0790929705215,4,5,1,3,5,0.673378684807,"""4/4""",70,67.3729623491,1,0,1,G-,A1,lick
17.9490249433,0.0696598639456,4,4,1,4,1,0.696598639456,"""4/4""",69,55.5244799002,1,0,1,G-,A1,lick
18.1265306122,0.424489795918,4,4,1,4,2,0.696598639456,"""4/4""",69,67.8817968172,1,0,1,G-,A1,lick
19.1918367347,0.122448979592,4,2,2,1,2,0.702403628118,"""4/4""",60,59.4119690265,1,0,1,G-,A1,lick
19.5612244898,0.179591836735,4,1,2,2,1,0.684988662132,"""4/4""",60,61.9268117557,1,0,1,G-,A1,lick
20.0816326531,0.787755102041,4,1,2,3,1,0.695102040816,"""4/4""",60,66.8988145946,1,0,1,G-,A1,lick
21.5285714286,0.24693877551,4,2,3,1,1,0.671201814059,"""4/4""",72,64.5030835577,2,1,1,G7911#,A1,##lick
21.7795918367,0.604081632653,4,2,3,1,2,0.671201814059,"""4/4""",73,69.6157189553,2,0,1,G7911#,A1,##lick
22.4798185941,0.130612244898,4,4,3,2,3,0.687346938776,"""4/4""",71,64.0887728593,2,0,1,G7911#,A1,##lick
22.645260771,0.148027210884,4,4,3,2,4,0.687346938776,"""4/4""",70,63.5604291798,2,0,1,G7911#,A1,##lick
22.8979591837,0.318367346939,4,1,3,3,1,0.661587301587,"""4/4""",69,67.1067129761,2,0,1,G7911#,A1,##lick
25.0020861678,0.11029478458,4,2,4,2,2,0.661179138322,"""4/4""",60,63.5924665203,3,1,1,D79#11#,A1,##lick
25.4714285714,0.554920634921,4,1,4,3,1,0.684988662132,"""4/4""",60,67.9072389221,3,0,1,D79#11#,A1,##lick
26.2775510204,0.216326530612,4,4,4,4,2,0.696689342404,"""4/4""",70,61.0930371106,3,0,1,D79#11#,A1,##lick
26.493877551,2.26757369615e-05,4,4,4,4,3,0.696689342404,"""4/4""",70,,3,0,1,D79#11#,A1,##lick
26.5102040816,1.12244897959,4,4,4,4,4,0.696689342404,"""4/4""",72,69.9863262304,3,0,1,D79#11#,A1,##lick
27.7580045351,0.126258503401,4,6,5,2,4,0.673378684807,"""4/4""",70,68.411305809,3,0,1,F-7911,A1,##lick
27.8944217687,0.0500680272109,4,6,5,2,5,0.673378684807,"""4/4""",69,48.3938702445,3,0,1,F-7911,A1,##lick
27.9960090703,0.104489795918,4,6,5,2,6,0.673378684807,"""4/4""",69,67.8071879875,3,0,1,F-7911,A1,##lick
28.1128344671,0.0565986394558,4,8,5,3,1,0.673378684807,"""4/4""",68,45.5202536567,3,0,1,F-7911,A1,##lick
28.2666666667,0.103764172336,4,8,5,3,3,0.673378684807,"""4/4""",68,67.927762392,3,0,1,F-7911,A1,##lick
28.379138322,0.0413605442177,4,8,5,3,4,0.673378684807,"""4/4""",67,48.0227583024,3,0,1,F-7911,A1,##lick
28.4995918367,0.142222222222,4,8,5,3,5,0.673378684807,"""4/4""",60,62.2952418433,3,0,1,F-7911,A1,##lick
28.7492063492,0.121904761905,4,8,5,3,8,0.673378684807,"""4/4""",60,63.5652306038,3,0,1,F-7911,A1,##lick
29.0107936508,0.32253968254,4,4,5,4,2,0.684988662132,"""4/4""",60,63.9311602837,3,0,1,F-7911,A1,##lick
29.346031746,0.223492063492,4,4,5,4,4,0.684988662132,"""4/4""",63,70.2584392277,3,0,1,F-7911,A1,##lick
29.573877551,0.102857142857,4,6,6,1,2,0.673378684807,"""4/4""",61,65.0847853687,3,0,1,E/G,A1,##lick
29.687755102,0.0734693877551,4,6,6,1,3,0.673378684807,"""4/4""",60,63.7090000243,3,0,1,E/G,A1,##lick
29.7734693878,0.391836734694,4,6,6,1,4,0.673378684807,"""4/4""",59,58.820564803,3,0,1,E/G,A1,##lick
31.4485260771,0.0928798185941,4,6,6,4,1,0.68798185941,"""4/4""",70,64.7951321108,4,1,1,G,A1,lick
31.5472108844,0.153832199546,4,6,6,4,2,0.68798185941,"""4/4""",71,69.3186115964,4,0,1,G,A1,lick
31.7133786848,0.0888888888889,4,6,6,4,3,0.68798185941,"""4/4""",68,70.8449373972,4,0,1,G,A1,lick
31.8149659864,0.14693877551,4,6,6,4,4,0.68798185941,"""4/4""",63,69.5417268173,4,0,1,G,A1,lick
32.0362811791,0.0780045351474,4,6,6,4,6,0.68798185941,"""4/4""",68,72.288991347,4,0,1,G,A1,lick
32.1378684807,0.161451247166,4,7,7,1,1,0.655102040816,"""4/4""",67,70.5062670232,4,0,1,G,A1,lick
32.3428571429,0.172335600907,4,7,7,1,3,0.655102040816,"""4/4""",65,67.1887667683,4,0,1,Csus7,A1,lick
32.5424036281,0.0562358276644,4,7,7,1,5,0.655102040816,"""4/4""",62,65.113587873,4,0,1,Csus7,A1,lick
32.6022675737,0.0852607709751,4,7,7,1,6,0.655102040816,"""4/4""",64,68.5490547224,4,0,1,Csus7,A1,lick
32.6947845805,0.168707482993,4,7,7,1,7,0.655102040816,"""4/4""",62,68.9730695388,4,0,1,Csus7,A1,lick
32.9171882086,0.319274376417,4,1,7,2,1,0.659637188209,"""4/4""",60,69.2087514757,4,0,1,Csus7,A1,lick
35.7623582766,0.14693877551,4,4,8,2,3,0.622335600907,"""4/4""",57,58.640732432,5,1,1,C79#,A1,lick
35.9274376417,0.130612244898,4,4,8,2,4,0.622335600907,"""4/4""",58,64.4048117076,5,0,1,C79#,A1,lick
36.0634920635,0.163265306122,4,4,8,3,1,0.672176870748,"""4/4""",60,69.5421410485,5,0,1,C79#,A1,lick
