onset,duration,period,division,bar,beat,tatum,beat_duration,signature,pitch,loud_max,loud_median,phrase_id,phrase_begin,chorus_id,chord,form,idea
10.2632199546,0.172698412698,4,3,1,2,1,0.530612244898,"""4/4""",68,0.959617480823,73.8688976145,1,1,1,F79#,A1,melody
10.4367346939,0.133514739229,4,3,1,2,2,0.530612244898,"""4/4""",67,0.96304810254,74.0601107446,1,0,1,F79#,A1,melody
10.5941043084,0.174149659864,4,3,1,2,3,0.530612244898,"""4/4""",68,1.0295694393,74.5486342133,1,0,1,F79#,A1,melody
10.7755102041,1.62448979592,4,1,1,3,1,0.522448979592,"""4/4""",69,0.978010862194,68.4466000942,1,0,1,F79#,A1,melody
12.4163265306,0.481632653061,4,1,2,2,1,0.522448979592,"""4/4""",68,0.8728203355,72.1205653867,1,0,1,F79#,A1,melody
12.9387755102,0.481632653061,4,1,2,3,1,0.517278911565,"""4/4""",69,0.74670666412,69.8234631252,1,0,1,F79#,A1,melody
13.4285714286,0.375510204082,4,1,2,4,1,0.521133786848,"""4/4""",68,0.798491368035,71.7697709214,1,0,1,F79#,A1,melody
13.8367346939,0.808163265306,4,1,3,1,1,0.511519274376,"""4/4""",69,0.767167693587,68.7287566228,1,0,1,F79#,A1,melody
14.6857142857,0.228571428571,4,2,3,2,2,0.530861678005,"""4/4""",67,0.836535745178,70.8308492834,1,0,1,F79#,A1,melody
15.2,0.171428571429,4,2,3,3,2,0.506961451247,"""4/4""",65,0.82163232964,71.0367917608,1,0,1,F79#,A1,melody
15.6734693878,0.269387755102,4,2,3,4,2,0.505873015873,"""4/4""",60,0.639689440835,67.9132946463,1,0,1,F79#,A1,melody
19.3190022676,0.310204081633,4,2,5,3,2,0.520045351474,"""4/4""",56,0.641914973441,69.6321603995,2,1,1,F79#,A1,void->lick
19.638276644,0.116099773243,4,1,5,4,1,0.535396825397,"""4/4""",56,0.670808989578,70.7137596515,2,0,1,F79#,A1,void->lick
21.6177777778,0.296054421769,4,2,6,4,1,0.510340136054,"""4/4""",56,0.788201045282,71.1832546511,3,1,1,F79#,A1,lick
21.9138321995,1.08553287982,4,2,6,4,2,0.510340136054,"""4/4""",57,0.794863513015,70.3773333283,3,0,1,F79#,A1,lick
23.0066213152,0.161814058957,4,2,7,2,2,0.531065759637,"""4/4""",53,0.256855588587,66.2634524658,3,0,1,F79#,A1,lick
23.1800453515,0.507936507937,4,1,7,3,1,0.511383219955,"""4/4""",53,0.515807916597,67.8444769745,3,0,1,F79#,A1,lick
25.7451247166,0.238004535147,4,2,8,4,1,0.520068027211,"""4/4""",63,0.624945793316,67.4099210275,4,1,1,F79#,A1,lick
26.012154195,0.16253968254,4,2,8,4,2,0.520068027211,"""4/4""",65,0.528567797698,63.962122898,4,0,1,F79#,A1,lick
30.9405895692,0.214784580499,4,4,11,2,1,0.530612244898,"""4/4""",79,0.86741963977,71.9042019104,5,1,1,F79#,A1,void->##expressive
