onset,duration,period,division,bar,beat,tatum,beat_duration,signature,pitch,loud_max,loud_median,phrase_id,phrase_begin,chorus_id,chord,form,idea
2.43229024943,0.0986848072562,4,2,2,4,2,0.210136054422,"""4/4""",74,0.423607418105,61.0830440333,1,1,1,F7,A1,lick
2.55129251701,0.0928798185941,4,1,3,1,1,0.226099773243,"""4/4""",72,0.334939590437,61.1567284017,1,0,1,Bbj7,A1,lick
2.76317460317,0.203174603175,4,1,3,2,1,0.230136054422,"""4/4""",74,0.651909465608,66.6072584846,1,0,1,Bbj7,A1,lick
3.01278911565,0.592108843537,4,1,3,3,1,0.229931972789,"""4/4""",72,0.661925679265,64.0650870107,1,0,1,G7,A1,lick
4.44662131519,0.0754648526077,4,2,5,1,2,0.231746031746,"""4/4""",65,0.842311563375,66.8352608925,2,1,1,F-7,A1,lick
4.6570521542,0.111746031746,4,2,5,2,2,0.214217687075,"""4/4""",67,0.793154750675,63.688847074,2,0,1,F-7,A1,lick
4.80072562358,0.133514739229,4,1,5,3,1,0.228752834467,"""4/4""",70,0.732480371525,67.3407068102,2,0,1,Bb7,A1,lick
5.00390022676,0.16253968254,4,1,5,4,1,0.22231292517,"""4/4""",72,0.553281855631,62.7960054069,2,0,1,Bb7,A1,lick
5.27673469388,0.278639455782,4,1,6,1,1,0.23462585034,"""4/4""",70,0.577347703542,65.0528477477,2,0,1,Ebj7,A1,lick
5.7179138322,0.179954648526,4,1,6,3,1,0.22029478458,"""4/4""",70,0.508480954574,63.9255484592,2,0,1,Eb-6,A1,lick
5.96462585034,0.0696598639456,4,3,6,4,2,0.209070294785,"""4/4""",72,0.0768210541399,58.6177368961,2,0,1,Eb-6,A1,lick
6.04879818594,0.0928798185941,4,3,6,4,3,0.209070294785,"""4/4""",70,0.482138013778,60.9296590073,2,0,1,Eb-6,A1,lick
6.2693877551,0.400544217687,4,2,7,1,2,0.210589569161,"""4/4""",70,0.300071919862,57.37015159,2,0,1,Bbj7,A1,lick
7.97605442177,0.0812698412698,4,2,9,1,2,0.224761904762,"""4/4""",73,0.428401540372,60.3784338709,3,1,1,Bbj7,A2,lick
8.09215419501,0.116099773243,4,3,9,2,1,0.209863945578,"""4/4""",74,0.501565206342,61.1698475675,3,0,1,Bbj7,A2,lick
8.2314739229,0.0522448979592,4,3,9,2,3,0.209863945578,"""4/4""",73,0.281544230975,61.8448964185,3,0,1,Bbj7,A2,lick
8.31274376417,0.35410430839,4,1,9,3,1,0.241201814059,"""4/4""",74,0.477773957084,64.1292366348,3,0,1,G7,A2,lick
8.69006802721,0.0812698412698,4,2,9,4,2,0.224693877551,"""4/4""",73,0.425532424745,63.2583202474,3,0,1,G7,A2,lick
8.78875283447,0.267029478458,4,1,10,1,1,0.224240362812,"""4/4""",74,0.489134839749,64.2408408663,3,0,1,C-7,A2,lick
9.0906122449,0.11029478458,4,2,10,2,2,0.213945578231,"""4/4""",73,0.349520757217,60.3682100965,3,0,1,C-7,A2,lick
9.20671201814,0.208979591837,4,1,10,3,1,0.231292517007,"""4/4""",74,0.427986891692,63.2137240596,3,0,1,C-7,A2,lick
9.4273015873,0.127709750567,4,3,10,4,1,0.222176870748,"""4/4""",72,0.365044928078,59.4440906708,3,0,1,F7,A2,lick
9.58984126984,0.133514739229,4,3,10,4,3,0.222176870748,"""4/4""",70,0.564615446948,54.2912962193,3,0,1,F7,A2,lick
9.80462585034,0.104489795918,4,2,11,1,2,0.202335600907,"""4/4""",65,0.877153864307,62.7977223941,3,0,1,Bbj7,A2,lick
9.92072562358,0.116099773243,4,4,11,2,2,0.238798185941,"""4/4""",62,0.515092872516,63.6233933918,3,0,1,Bbj7,A2,lick
10.0397278912,0.0696598639456,4,4,11,2,4,0.238798185941,"""4/4""",63,0.398989459224,62.9378239042,3,0,1,Bbj7,A2,lick
10.1268027211,0.496326530612,4,1,11,3,1,0.233151927438,"""4/4""",65,0.805658008004,59.3779404833,3,0,1,G7,A2,lick
10.9177324263,0.0754648526077,4,2,12,2,2,0.217074829932,"""4/4""",62,0.725560936891,67.1946639085,4,1,1,C-7,A2,lick
11.0062585034,0.145124716553,4,4,12,3,1,0.207573696145,"""4/4""",63,0.864655919223,68.3756143525,4,0,1,C-7,A2,lick
11.1695238095,0.0536961451247,4,4,12,3,4,0.207573696145,"""4/4""",67,0.605703769625,63.5680302914,4,0,1,F7,A2,lick
11.2297505669,0.103038548753,4,2,12,4,1,0.225736961451,"""4/4""",70,0.792900122558,67.1735411488,4,0,1,F7,A2,lick
11.3538321995,0.0841723356009,4,2,12,4,2,0.225736961451,"""4/4""",73,0.672793718063,67.0193751607,4,0,1,F7,A2,lick
11.4532426304,0.104489795918,4,2,13,1,1,0.243174603175,"""4/4""",74,0.549715204937,63.7456538481,4,0,1,F-7,A2,lick
11.580952381,0.104489795918,4,2,13,1,2,0.243174603175,"""4/4""",73,0.274632871605,60.0778964416,4,0,1,F-7,A2,lick
11.6854421769,0.156734693878,4,1,13,2,1,0.216281179138,"""4/4""",74,0.413875554516,58.0707807345,4,0,1,F-7,A2,lick
11.9176417234,0.174149659864,4,1,13,3,1,0.22746031746,"""4/4""",70,0.786362059774,61.6450757176,4,0,1,Bb7,A2,lick
12.1483900227,0.313469387755,4,1,13,4,1,0.228049886621,"""4/4""",70,0.801402570211,63.8405247306,4,0,1,Bb7,A2,lick
12.8058049887,0.104489795918,4,3,14,3,1,0.234580498866,"""4/4""",68,1.00081259715,69.9535450797,5,1,1,Eb-6,A2,lick
12.9625396825,0.0696598639456,4,3,14,3,3,0.234580498866,"""4/4""",66,0.921742281338,70.0915676848,5,0,1,Eb-6,A2,lick
13.0372789116,0.0812698412698,4,2,14,4,1,0.241065759637,"""4/4""",68,0.878149530258,69.529699326,5,0,1,Eb-6,A2,lick
13.1323356009,0.150929705215,4,2,14,4,2,0.241065759637,"""4/4""",65,1.04547226994,67.5638552811,5,0,1,Eb-6,A2,lick
13.3819501134,0.133514739229,4,2,15,1,2,0.217596371882,"""4/4""",63,1.15299442961,68.0420327421,5,0,1,Bbj7,A2,lick
13.6199546485,0.0812698412698,4,2,15,2,2,0.230113378685,"""4/4""",52,0.508191006128,63.5060910965,5,0,1,Bbj7,A2,lick
13.7200907029,0.135691609977,4,1,15,3,1,0.224829931973,"""4/4""",62,1.1469535914,71.3422133643,5,0,1,G7,A2,lick
14.5821315193,0.0580498866213,4,4,16,3,1,0.227641723356,"""4/4""",61,0.787144616864,68.2844608123,6,1,1,Bbj7,A2,line_a
14.6488888889,0.0493424036281,4,4,16,3,2,0.227641723356,"""4/4""",63,0.992686625643,71.1506989051,6,0,1,Bbj7,A2,line_a
14.7258049887,0.043537414966,4,4,16,3,3,0.227641723356,"""4/4""",64,1.21371709677,73.2218449292,6,0,1,Bbj7,A2,line_a
14.7853061224,0.0841723356009,4,4,16,3,4,0.227641723356,"""4/4""",65,1.21688979915,72.3762774401,6,0,1,Bbj7,A2,line_a
14.878185941,0.0638548752834,4,2,16,4,1,0.215510204082,"""4/4""",67,0.934007141601,70.4104134805,6,0,1,Bbj7,A2,line_a
14.956553288,0.0580498866213,4,2,16,4,2,0.215510204082,"""4/4""",68,0.703080540132,64.3794248241,6,0,1,Bbj7,A2,line_a
15.0523356009,0.0580498866213,4,3,17,1,1,0.23283446712,"""4/4""",69,0.907136655157,63.8950877668,6,0,1,D7,B1,line_a
15.1278004535,0.0783673469388,4,3,17,1,2,0.23283446712,"""4/4""",70,0.908639541409,66.8343647343,6,0,1,D7,B1,line_a
