onset,duration,period,division,bar,beat,tatum,beat_duration,signature,pitch,loud_max,loud_median,phrase_id,phrase_begin,chorus_id,chord,form,idea
8.56816326531,0.214784580499,4,1,1,2,1,0.38022675737,"""4/4""",74,0.435051661878,65.5580074017,1,1,1,Bb7,A1,lick
8.98612244898,1.41641723356,4,1,1,3,1,0.377437641723,"""4/4""",70,0.852017363879,70.4087791584,1,0,1,Bb7,A1,lick
10.5128344671,0.16253968254,4,1,2,3,1,0.367709750567,"""4/4""",68,0.241187974446,63.6143517303,1,0,1,Eb7,A1,lick
10.8263038549,0.267029478458,4,4,2,4,1,0.366780045351,"""4/4""",69,0.528819121787,66.589833316,1,0,1,Eb7,A1,lick
11.1107482993,0.214784580499,4,4,2,4,4,0.366780045351,"""4/4""",70,0.550422649036,67.8843867807,1,0,1,Eb7,A1,lick
11.5054875283,0.394739229025,4,4,3,1,4,0.379886621315,"""4/4""",70,0.588172125742,64.3719031081,1,0,1,Bb7,A1,lick
14.2222222222,0.0696598639456,4,3,5,1,1,0.368231292517,"""4/4""",73,0.572596978241,67.041057192,2,1,1,Eb7,A1,#lick
14.2976870748,1.19002267574,4,3,5,1,2,0.368231292517,"""4/4""",75,0.830438510906,69.3192715972,2,0,1,Eb7,A1,#lick
15.6618594104,0.203174603175,4,4,6,1,1,0.374875283447,"""4/4""",73,0.578014655751,69.225733436,2,0,1,Eb7,A1,#lick
15.9811337868,0.255419501134,4,4,6,1,4,0.374875283447,"""4/4""",70,0.558002449064,68.3583285678,2,0,1,Eb7,A1,#lick
16.2887981859,0.400544217687,4,2,6,2,2,0.367664399093,"""4/4""",68,0.424648647467,65.4440464364,2,0,1,Eb7,A1,#lick
16.7,0.0683673469388,4,4,6,3,4,0.358072562358,"""4/4""",64,-0.548059093199,57.4446740189,2,0,1,Eb7,A1,#lick
16.8286621315,0.208979591837,4,1,6,4,1,0.376621315193,"""4/4""",69,0.847958589605,72.1557566134,2,0,1,Eb7,A1,#lick
17.1479365079,0.615328798186,4,1,7,1,1,0.367845804989,"""4/4""",70,0.765847609893,64.5504798674,2,0,1,Bb7,A1,#lick
17.7980952381,0.139319727891,4,4,7,2,4,0.367641723356,"""4/4""",70,0.932636813618,72.4600332386,2,0,1,Bb7,A1,#lick
19.208707483,0.174149659864,4,2,8,2,2,0.355623582766,"""4/4""",72,1.11029648874,75.2890860361,3,1,1,D-7,A1,lick
19.3944671202,0.330884353741,4,1,8,3,1,0.377324263039,"""4/4""",74,0.952394862282,72.1157153734,3,0,1,G7,A1,lick
19.7253514739,0.197369614512,4,1,8,4,1,0.359682539683,"""4/4""",72,0.759742718578,70.075056748,3,0,1,G7,A1,lick
20.0562358277,0.27283446712,4,4,9,1,1,0.367800453515,"""4/4""",70,0.726816743072,70.8641824259,3,0,1,C-7,A1,lick
20.3522902494,0.417959183673,4,4,9,1,4,0.367800453515,"""4/4""",65,0.230204234948,56.4967140501,3,0,1,C-7,A1,lick
21.7919274376,0.0986848072562,4,4,10,1,4,0.35410430839,"""4/4""",67,0.281365163133,63.2209412492,4,1,1,F7,A1,#lick
21.9080272109,0.24380952381,4,3,10,2,1,0.38022675737,"""4/4""",70,0.985894297267,72.3612250687,4,0,1,F7,A1,#lick
22.1551020408,0.127709750567,4,3,10,2,3,0.38022675737,"""4/4""",72,0.989817573114,73.3198338095,4,0,1,F7,A1,#lick
22.3143764172,0.232199546485,4,4,10,3,2,0.369183673469,"""4/4""",74,0.819167782109,71.263151421,4,0,1,F7,A1,#lick
22.558185941,0.0928798185941,4,4,10,3,4,0.369183673469,"""4/4""",72,0.338063470095,52.4084710256,4,0,1,F7,A1,#lick
22.662675737,0.203174603175,4,1,10,4,1,0.36768707483,"""4/4""",74,0.817046660619,72.1659824401,4,0,1,F7,A1,#lick
23.04,0.238004535147,4,1,11,1,1,0.367777777778,"""4/4""",70,0.847043079401,72.7758345169,4,0,1,Bb7,A1,#lick
23.3999092971,0.301859410431,4,1,11,2,1,0.366825396825,"""4/4""",68,0.316465167133,62.4901233038,4,0,1,Bb7,A1,#lick
23.7102040816,0.273469387755,4,4,11,3,1,0.367755102041,"""4/4""",65,0.493087003605,67.471008391,4,0,1,Bb7,A1,#lick
24.012244898,0.155102040816,4,4,11,3,4,0.367755102041,"""4/4""",65,0.403860546153,65.626153753,4,0,1,Bb7,A1,#lick
25.5632653061,0.220408163265,4,1,12,4,1,0.366802721088,"""4/4""",73,0.785870530432,71.9007452746,5,1,1,F7,A1,lick
25.9142857143,0.248979591837,4,4,13,1,1,0.352448979592,"""4/4""",73,0.760940380869,71.0136055662,5,0,1,Bb7,A2,lick
26.1918367347,0.126530612245,4,4,13,1,4,0.352448979592,"""4/4""",73,0.638870760317,69.6032756314,5,0,1,Bb7,A2,lick
27.0244897959,0.212244897959,4,1,13,4,1,0.358163265306,"""4/4""",73,0.716639665446,68.8205031386,5,0,1,Bb7,A2,lick
27.3591836735,0.261224489796,4,4,14,1,1,0.377392290249,"""4/4""",70,0.729594390778,67.9559062521,5,0,1,Eb7,A2,lick
27.6489795918,0.14693877551,4,4,14,1,4,0.377392290249,"""4/4""",68,0.378443468007,66.2491733765,5,0,1,Eb7,A2,lick
28.4897959184,0.179591836735,4,1,14,4,1,0.379387755102,"""4/4""",73,0.562358828914,69.0000592908,5,0,1,Eb7,A2,##lick
28.8081632653,0.277551020408,4,6,15,1,1,0.373310657596,"""4/4""",73,0.741730995625,70.0342001896,5,0,1,Bb7,A2,##lick
29.1387755102,0.126530612245,4,6,15,1,6,0.373310657596,"""4/4""",73,0.793545587484,69.9401418205,5,0,1,Bb7,A2,##lick
29.9714285714,0.232653061224,4,1,15,4,1,0.368004535147,"""4/4""",73,0.738381884455,70.9266813738,5,0,1,Bb7,A2,##lick
30.3183673469,0.25306122449,4,6,16,1,2,0.373922902494,"""4/4""",70,0.721949668509,68.4375968237,5,0,1,Bb7,A2,##lick
30.587755102,0.134693877551,4,6,16,1,6,0.373922902494,"""4/4""",68,0.507435105987,67.4376023663,5,0,1,Bb7,A2,##lick
31.4693877551,0.179591836735,4,2,16,4,1,0.372290249433,"""4/4""",68,0.537368613507,67.8280282777,5,0,1,Bb7,A2,lick
31.693877551,0.0775510204082,4,2,16,4,2,0.372290249433,"""4/4""",63,-0.0663977853448,61.2117896546,5,0,1,Bb7,A2,lick
31.7836734694,0.224489795918,4,3,17,1,1,0.37201814059,"""4/4""",68,0.611110839078,68.8598730277,5,0,1,Eb7,A2,lick
32.0367346939,0.118367346939,4,3,17,1,3,0.37201814059,"""4/4""",70,0.883112315064,71.8902057448,5,0,1,Eb7,A2,lick
32.8612244898,0.74693877551,4,1,17,4,1,0.356870748299,"""4/4""",75,0.950914719313,70.3447421847,5,0,1,Eb7,A2,lick
33.6571428571,0.2,4,2,18,2,1,0.377528344671,"""4/4""",73,0.51556088337,65.9683683112,5,0,1,Eb7,A2,lick
33.8775510204,0.159183673469,4,2,18,2,2,0.377528344671,"""4/4""",70,0.741968206314,66.7619898246,5,0,1,Eb7,A2,lick
34.3346938776,0.244897959184,4,1,18,4,1,0.357868480726,"""4/4""",73,0.583429137457,69.6084154408,5,0,1,Eb7,A2,#3lick
34.7102040816,0.261224489796,4,4,19,1,1,0.377573696145,"""4/4""",73,0.491703053733,68.1477904099,5,0,1,Bb7,A2,#3lick
