onset,duration,period,division,bar,beat,tatum,beat_duration,signature,pitch,loud_max,loud_median,phrase_id,phrase_begin,chorus_id,chord,form,idea
3.94693877551,0.126530612245,4,4,2,3,2,0.211065759637,"""4/4""",72,0.460906522342,66.6987740096,1,1,1,D79b,A1,lick
4.07857142857,0.0663265306122,4,4,2,3,4,0.211065759637,"""4/4""",74,0.446662637662,66.4438171249,1,0,1,D79b,A1,lick
4.24897959184,1.27959183673,4,2,2,4,2,0.211065759637,"""4/4""",74,0.694552374614,69.6791370654,1,0,1,D79b,A1,lick
5.58439909297,0.100136054422,4,2,4,3,1,0.196292517007,"""4/4""",72,0.288701711474,63.4072860859,2,1,1,D79b,A2,#lick
5.69904761905,0.0928798185941,4,2,4,3,2,0.196292517007,"""4/4""",74,0.361343253799,62.9570339762,2,0,1,D79b,A2,#lick
5.87029478458,0.105941043084,4,2,4,4,2,0.196292517007,"""4/4""",77,0.515373857853,63.4486525275,2,0,1,D79b,A2,#lick
6.08362811791,1.10875283447,4,2,5,1,2,0.198514739229,"""4/4""",74,0.783839723487,70.5021030978,2,0,1,G-7,A2,#lick
7.21124716553,0.0957823129252,4,2,6,3,1,0.210657596372,"""4/4""",72,0.64165142887,69.034313598,2,0,1,D79b,A2,#+lick
7.30993197279,0.116099773243,4,2,6,3,2,0.210657596372,"""4/4""",74,0.821754115077,68.0814816182,2,0,1,D79b,A2,#+lick
7.51891156463,0.0391836734694,4,4,6,4,3,0.210657596372,"""4/4""",81,0.754328149689,70.5374702065,2,0,1,D79b,A2,#+lick
7.56428571429,0.089977324263,4,4,6,4,4,0.210657596372,"""4/4""",79,0.947901052583,62.3792750559,2,0,1,D79b,A2,#+lick
7.72857142857,1.11836734694,4,2,7,1,2,0.206224489796,"""4/4""",77,1.0404266143,70.0396571462,2,0,1,G-7,A2,#+lick
8.88163265306,0.0897959183673,4,4,8,3,2,0.21552154195,"""4/4""",74,0.863014459415,71.2748199408,2,0,1,D79b,A2,#-lick
9.0,0.0938775510204,4,4,8,3,4,0.21552154195,"""4/4""",77,0.905072180237,69.846619339,2,0,1,D79b,A2,#-lick
9.18979591837,0.736734693878,4,2,8,4,2,0.21552154195,"""4/4""",74,0.899797867897,70.2522398921,2,0,1,D79b,A2,#-lick
11.0352834467,0.117551020408,4,2,11,1,2,0.218798185941,"""4/4""",76,1.13775814982,76.0200883064,3,1,1,G-7,A2,lick
11.3255328798,0.403446712018,4,1,11,3,1,0.203424036281,"""4/4""",76,0.96988739304,74.5069514887,3,0,1,G-7,A2,lick
11.7768707483,0.0711111111111,4,1,12,1,1,0.201281179138,"""4/4""",72,0.571536591683,64.9659799677,3,0,1,C7,A2,lick
11.9597278912,0.187210884354,4,1,12,2,1,0.201281179138,"""4/4""",72,0.675470811033,70.4626195803,3,0,1,C7,A2,lick
12.1919274376,0.178503401361,4,1,12,3,1,0.202154195011,"""4/4""",70,0.48411084171,69.3030811873,3,0,1,C7,A2,lick
12.3994557823,0.256870748299,4,1,12,4,1,0.202154195011,"""4/4""",72,0.479367379888,68.8065970729,3,0,1,C7,A2,lick
12.7143764172,0.124807256236,4,2,13,1,2,0.219535147392,"""4/4""",76,0.967529349942,74.4133787614,4,1,1,C7,A2,~#+lick
13.0089795918,0.352653061224,4,1,13,3,1,0.206133786848,"""4/4""",76,0.937646361388,74.7488964978,4,0,1,C7,A2,~#+lick
13.3935600907,0.0943310657596,4,1,14,1,1,0.206167800454,"""4/4""",79,0.909561472699,67.0341750115,4,0,1,C7,A2,~#+lick
13.5996371882,0.203174603175,4,1,14,2,1,0.206167800454,"""4/4""",79,0.989473655428,74.4829942771,4,0,1,C7,A2,~#+lick
13.8144217687,0.201723356009,4,1,14,3,1,0.193696145125,"""4/4""",76,1.0891861294,76.2776081688,4,0,1,C7,A2,~#+lick
14.0234013605,0.251065759637,4,1,14,4,1,0.193696145125,"""4/4""",79,0.907035319299,74.0580757472,4,0,1,C7,A2,~#+lick
14.3571882086,0.0914285714286,4,2,15,1,2,0.209160997732,"""4/4""",76,0.944611895912,72.7530574176,5,1,1,C7,A2,~#+lick
14.6387301587,0.388934240363,4,1,15,3,1,0.214285714286,"""4/4""",76,0.922259214113,72.4408532493,5,0,1,C7,A2,~#+lick
15.0436281179,0.0740136054422,4,4,16,1,1,0.207210884354,"""4/4""",77,0.70932085982,71.8172673715,5,0,1,C7,A2,~line_i_dd
15.1248979592,0.0812698412698,4,4,16,1,2,0.207210884354,"""4/4""",76,0.960203506198,73.559977175,5,0,1,C7,A2,~line_i_dd
15.2250340136,0.0812698412698,4,4,16,1,4,0.207210884354,"""4/4""",76,0.746905311582,71.3408582718,5,0,1,C7,A2,~line_i_dd
