onset,duration,period,division,bar,beat,tatum,beat_duration,signature,pitch,loud_max,loud_median,phrase_id,phrase_begin,chorus_id,chord,form,idea
7.05306122449,0.25306122449,1,2,-31,1,2,0.311814058957,"""1/4""",74,1.01622284704,71.2100229576,1,1,-1,D7,I,theme
7.50204081633,0.204081632653,1,1,-29,1,1,0.300136054422,"""1/4""",71,0.952369487217,70.0523084791,1,0,-1,D7,I,theme
7.85306122449,0.187755102041,1,1,-28,1,1,0.304126984127,"""1/4""",69,0.870103811262,69.8855320981,1,0,-1,D7,I,theme
8.34285714286,0.187755102041,1,2,-27,1,2,0.299523809524,"""1/4""",66,1.04671286713,70.3729339141,1,0,-1,D7,I,theme
8.78367346939,0.179591836735,1,1,-25,1,1,0.31179138322,"""1/4""",62,0.14617365927,54.3929022492,1,0,-1,D7,I,theme
9.0441723356,0.19156462585,1,6,-24,1,1,0.334535147392,"""1/4""",71,0.623778770447,66.6742612366,1,0,-1,D7,I,theme
9.34603174603,0.214784580499,1,6,-24,1,6,0.334535147392,"""1/4""",69,0.893717649622,67.039654587,1,0,-1,D7,I,theme
9.65950113379,0.16253968254,1,1,-22,1,1,0.303424036281,"""1/4""",71,0.734224345206,65.4466498652,1,0,-1,D7,I,theme
10.2864399093,0.150929705215,1,1,-20,1,1,0.291360544218,"""1/4""",71,0.663076374642,67.2643366882,1,0,-1,D7,I,theme
10.5708843537,0.203174603175,1,1,-19,1,1,0.287845804989,"""1/4""",69,0.866934664773,67.3351231041,1,0,-1,D7,I,theme
10.8901587302,0.174149659864,1,1,-18,1,1,0.276349206349,"""1/4""",66,0.633849659743,63.6783101647,1,0,-1,D7,I,theme
11.459047619,0.11029478458,1,2,-16,1,1,0.307188208617,"""1/4""",66,0.562559021291,66.6442131164,1,0,-1,D7,I,lick
11.6099773243,0.116099773243,1,2,-16,1,2,0.307188208617,"""1/4""",66,0.492605579606,64.5004953465,1,0,-1,D7,I,lick
11.7783219955,0.185759637188,1,1,-15,1,1,0.286893424036,"""1/4""",69,0.646930859995,68.4831591188,1,0,-1,D7,I,lick
12.0693877551,0.126530612245,1,1,-14,1,1,0.309501133787,"""1/4""",69,0.66298982715,69.5139313609,1,0,-1,D7,I,lick
12.412244898,0.122448979592,1,2,-13,1,1,0.31380952381,"""1/4""",71,0.710177237035,68.8336125914,1,0,-1,D7,I,lick
12.5428571429,0.122448979592,1,2,-13,1,2,0.31380952381,"""1/4""",69,0.638614384825,66.8928622319,1,0,-1,D7,I,lick
12.6897959184,0.110204081633,1,3,-12,1,1,0.313514739229,"""1/4""",65,0.332423135763,61.4549255658,1,0,-1,D7,I,lick
12.8857142857,0.14693877551,1,3,-12,1,3,0.313514739229,"""1/4""",62,0.0593479869066,58.3381981711,1,0,-1,D7,I,lick
13.1183673469,0.151020408163,1,2,-11,1,2,0.313401360544,"""1/4""",62,0.0550412869922,58.2344451606,1,0,-1,D7,I,lick
13.4367346939,0.134693877551,1,2,-10,1,2,0.284716553288,"""1/4""",66,0.839018863828,70.8430573248,1,0,-1,D7,I,lick
13.9029478458,0.087074829932,1,2,-8,1,1,0.299342403628,"""1/4""",62,-0.448379962069,51.1695859803,2,1,-1,D7,I,#lick
14.0248526077,0.0957823129252,1,2,-8,1,2,0.299342403628,"""1/4""",62,-0.0880442835478,53.7713478624,2,0,-1,D7,I,#lick
14.1699773243,0.145124716553,1,1,-7,1,1,0.280929705215,"""1/4""",67,0.773861968851,67.8978820438,2,0,-1,D7,I,#lick
14.4515192744,0.16253968254,1,1,-6,1,1,0.300657596372,"""1/4""",67,0.751090799607,70.9340365801,2,0,-1,D7,I,#lick
14.7475736961,0.165442176871,1,3,-5,1,1,0.284943310658,"""1/4""",71,0.717582091423,66.7920721315,2,0,-1,D7,I,#lick
14.9507482993,0.116099773243,1,3,-5,1,3,0.284943310658,"""1/4""",69,0.807535060253,69.6804586365,2,0,-1,D7,I,#lick
15.2206802721,0.206077097506,1,2,-4,1,2,0.296281179138,"""1/4""",69,0.837630817441,68.4216085183,2,0,-1,D7,I,#lick
16.3758730159,0.121904761905,1,6,0,1,3,0.298571428571,"""1/4""",67,0.598713388453,60.0983990806,3,1,-1,D7,I,#lick
16.5224489796,0.153832199546,1,6,0,1,6,0.298571428571,"""1/4""",71,0.744187934264,68.7089771472,3,0,-1,D7,I,#lick
16.8315646259,0.179954648526,1,4,2,1,1,0.287868480726,"""1/4""",74,0.700073711554,69.6869443411,3,0,1,D7,A1,#lick
17.09569161,0.174149659864,1,4,2,1,4,0.287868480726,"""1/4""",76,0.970769173658,73.6843136954,3,0,1,D7,A1,#lick
17.2988662132,0.124807256236,1,2,3,1,2,0.287482993197,"""1/4""",74,0.554601916284,65.7192154247,3,0,1,D7,A1,#lick
17.6007256236,0.432471655329,1,2,4,1,2,0.27925170068,"""1/4""",74,0.537925742935,57.6267727834,3,0,1,D7,A1,#lick
18.5788662132,0.139319727891,1,6,7,1,6,0.320612244898,"""1/4""",71,0.83827786461,70.1220153525,4,1,1,D7,A1,lick
18.7472108844,0.101587301587,1,4,8,1,3,0.288934240363,"""1/4""",67,0.584046566307,66.3020535964,4,0,1,D7,A1,lick
18.8662131519,0.296054421769,1,4,8,1,4,0.288934240363,"""1/4""",69,0.84216540404,65.8006372206,4,0,1,D7,A1,lick
