onset,duration,period,division,bar,beat,tatum,beat_duration,signature,pitch,loud_median,phrase_id,phrase_begin,chorus_id,chord,form,idea
4.68571428571,0.114285714286,4,2,2,1,1,0.263446712018,"""4/4""",62,63.3376599265,1,1,1,Fj7,A1,rhythm_si
4.81836734694,0.0836734693878,4,2,2,1,2,0.263446712018,"""4/4""",62,60.1812272766,1,0,1,Fj7,A1,rhythm_si
5.0612244898,0.110204081633,4,2,2,2,2,0.258979591837,"""4/4""",62,62.1158559661,1,0,1,Fj7,A1,rhythm_si
5.17142857143,0.130612244898,4,2,2,3,1,0.242925170068,"""4/4""",62,64.8098860595,1,0,1,Fj7,A1,rhythm_si
5.30204081633,0.114285714286,4,2,2,3,2,0.242925170068,"""4/4""",62,66.3214810611,1,0,1,Fj7,A1,rhythm_si
5.42448979592,0.142857142857,4,2,2,4,1,0.255419501134,"""4/4""",62,71.4916232207,1,0,1,Fj7,A1,rhythm_si
5.56734693878,0.110204081633,4,2,2,4,2,0.255419501134,"""4/4""",62,71.8848498178,1,0,1,Fj7,A1,rhythm_si
5.67755102041,0.142857142857,4,2,3,1,1,0.266349206349,"""4/4""",62,70.5552707543,1,0,1,Fj7,A1,rhythm_si
5.82040816327,0.118367346939,4,2,3,1,2,0.266349206349,"""4/4""",62,68.4842968411,1,0,1,Fj7,A1,rhythm_si
5.9387755102,0.14693877551,4,2,3,2,1,0.24820861678,"""4/4""",62,75.3383313822,1,0,1,Fj7,A1,rhythm_si
6.08571428571,0.102040816327,4,2,3,2,2,0.24820861678,"""4/4""",62,74.1473052723,1,0,1,Fj7,A1,rhythm_si
6.18775510204,0.155102040816,4,2,3,3,1,0.258412698413,"""4/4""",62,71.1138274359,1,0,1,Fj7,A1,rhythm_si
6.34285714286,0.114285714286,4,2,3,3,2,0.258412698413,"""4/4""",62,71.0538869828,1,0,1,Fj7,A1,rhythm_si
6.45714285714,0.0897959183673,4,1,3,4,1,0.253287981859,"""4/4""",62,74.7458028734,1,0,1,Fj7,A1,rhythm_si
6.6989569161,0.150929705215,4,1,4,1,1,0.248843537415,"""4/4""",65,65.3557302127,1,0,1,Fj7,A1,lick
7.11111111111,0.0928798185941,4,2,4,2,2,0.245260770975,"""4/4""",69,74.605792919,1,0,1,Fj7/A,A1,lick
7.45941043084,0.139319727891,4,1,4,4,1,0.246712018141,"""4/4""",74,73.2191183523,1,0,1,Abo7,A1,lick
7.87156462585,0.0812698412698,4,2,5,1,2,0.262607709751,"""4/4""",69,74.6207279195,1,0,1,G-7,A1,lick
7.96299319728,0.126258503401,4,2,5,2,1,0.240975056689,"""4/4""",65,65.707121271,1,0,1,G-7,A1,lick
8.09795918367,0.0718367346939,4,2,5,2,2,0.240975056689,"""4/4""",62,63.3850408599,1,0,1,G-7,A1,lick
8.3998185941,0.0638548752834,4,4,5,3,4,0.262675736961,"""4/4""",62,66.7995513835,2,1,1,G-7,A1,lick
8.47528344671,0.0928798185941,4,1,5,4,1,0.251065759637,"""4/4""",65,68.9179981135,2,0,1,G-7,A1,lick
8.73070294785,0.127709750567,4,1,6,1,1,0.255419501134,"""4/4""",69,75.4880012044,2,0,1,C7,A1,lick
8.98612244898,0.11029478458,4,1,6,2,1,0.246712018141,"""4/4""",65,69.3556046082,2,0,1,C7,A1,lick
9.24154195011,0.127709750567,4,3,6,3,1,0.248163265306,"""4/4""",68,72.9564945398,2,0,1,C7,A1,lick
9.4106122449,0.104489795918,4,3,6,3,3,0.248163265306,"""4/4""",64,60.0913081619,2,0,1,C7,A1,lick
9.6420861678,0.127709750567,4,2,6,4,2,0.258321995465,"""4/4""",67,73.1461251047,2,0,1,C7,A1,lick
9.88589569161,0.11029478458,4,2,7,1,2,0.258321995465,"""4/4""",64,62.6642196709,2,0,1,F6,A1,lick
10.2341950113,0.139319727891,4,4,7,3,1,0.251065759637,"""4/4""",63,61.6304096879,2,0,1,D7,A1,lick
10.4257596372,0.0986848072562,4,4,7,3,4,0.251065759637,"""4/4""",65,57.2481428154,2,0,1,D7,A1,lick
11.4184126984,0.0580498866213,4,4,8,3,4,0.255170068027,"""4/4""",60,62.5285291839,3,1,1,C7,A1,lick
11.4775510204,0.0469387755102,4,3,8,4,1,0.254217687075,"""4/4""",59,71.6808102362,3,0,1,C7,A1,lick
11.5408163265,0.0918367346939,4,3,8,4,2,0.254217687075,"""4/4""",58,56.9911387513,3,0,1,C7,A1,lick
11.6331972789,0.104489795918,4,3,8,4,3,0.254217687075,"""4/4""",64,68.7699422372,3,0,1,C7,A1,lick
11.7551020408,0.133514739229,4,1,9,1,1,0.257346938776,"""4/4""",65,70.0144804353,3,0,1,Fj7,A2,lick
11.993106576,0.121904761905,4,3,9,2,1,0.26231292517,"""4/4""",72,76.7047169465,3,0,1,Fj7,A2,lick
12.1730612245,0.0827210884354,4,3,9,2,3,0.26231292517,"""4/4""",69,76.0399969299,3,0,1,Fj7,A2,lick
12.2601360544,0.133514739229,4,2,9,3,1,0.249206349206,"""4/4""",70,71.7888591423,3,0,1,Fj7,A2,lick
12.3959183673,0.10612244898,4,2,9,3,2,0.249206349206,"""4/4""",72,61.2140199271,3,0,1,Fj7,A2,lick
12.5213605442,0.145124716553,4,3,9,4,1,0.249909297052,"""4/4""",74,73.8900665826,3,0,1,Fj7,A2,lick
12.6839002268,0.0812698412698,4,3,9,4,3,0.249909297052,"""4/4""",72,74.5941707533,3,0,1,Fj7,A2,lick
12.9393197279,0.0754648526077,4,2,10,1,2,0.261678004535,"""4/4""",60,66.4303628314,3,0,1,Fj7,A2,line_w
13.1482993197,0.0522448979592,4,4,10,2,3,0.267891156463,"""4/4""",66,68.7855038484,3,0,1,Fj7,A2,line_w
13.2048979592,0.0783673469388,4,4,10,2,4,0.267891156463,"""4/4""",67,66.4475090846,3,0,1,Fj7,A2,line_w
13.2934240363,0.0754648526077,4,3,10,3,1,0.253378684807,"""4/4""",68,62.4427854081,3,0,1,Fj7,A2,line_w
13.3746938776,0.065306122449,4,3,10,3,2,0.253378684807,"""4/4""",67,61.5868173505,3,0,1,Fj7,A2,line_w
13.4489795918,0.0812698412698,4,3,10,3,3,0.253378684807,"""4/4""",65,64.0178387359,3,0,1,Fj7,A2,line_w
13.5314285714,0.127709750567,4,2,10,4,1,0.242766439909,"""4/4""",64,63.0863498963,3,0,1,Fj7,A2,line_w
13.6707482993,0.104489795918,4,2,10,4,2,0.242766439909,"""4/4""",62,64.9600469862,3,0,1,Fj7,A2,line_w
13.7970068027,0.134965986395,4,1,11,1,1,0.258911564626,"""4/4""",60,63.6161338038,3,0,1,Fj7,A2,line_w
14.0422675737,0.11029478458,4,4,11,2,1,0.24283446712,"""4/4""",58,66.0062355648,3,0,1,Fj7,A2,line_w
14.1525623583,0.0522448979592,4,4,11,2,3,0.24283446712,"""4/4""",60,64.9928263304,3,0,1,Fj7,A2,line_w
14.2048072562,0.0798185941043,4,4,11,2,4,0.24283446712,"""4/4""",58,62.9037272166,3,0,1,Fj7,A2,line_w
14.2846258503,0.108843537415,4,2,11,3,1,0.253333333333,"""4/4""",57,57.8224168186,3,0,1,Fj7,A2,line_w
