onset,duration,period,division,bar,beat,tatum,beat_duration,signature,pitch,loud_max,loud_median,phrase_id,phrase_begin,chorus_id,chord,form,idea
5.05034013605,0.145124716553,4,2,0,1,2,0.422063492063,"""4/4""",75,1.26409094997,75.8944050621,1,1,-1,F-7,I1,lick
5.47990929705,0.174149659864,4,2,0,2,2,0.402630385488,"""4/4""",73,0.955427913965,71.6103663132,1,0,-1,F-7,I1,lick
5.69795918367,0.171428571429,4,2,0,3,1,0.431678004535,"""4/4""",70,0.650901105056,66.8359748485,1,0,-1,Bb7,I1,lick
5.87755102041,0.14693877551,4,2,0,3,2,0.431678004535,"""4/4""",68,0.583665392629,67.6601502993,1,0,-1,Bb7,I1,lick
6.0546031746,0.232199546485,4,1,0,4,1,0.429410430839,"""4/4""",66,0.338639334713,56.8967557388,1,0,-1,Bb7,I1,lick
6.47256235828,0.087074829932,4,4,1,1,1,0.439047619048,"""4/4""",62,0.178428528975,58.2736825647,1,0,-1,Bb7,I1,lick
6.58285714286,0.290249433107,4,4,1,1,2,0.439047619048,"""4/4""",63,-0.232591671968,55.3949154761,1,0,1,Eb7,A1,lick
6.92244897959,0.391836734694,4,1,1,2,1,0.412448979592,"""4/4""",63,0.369348938407,52.9769456864,1,0,1,Eb7,A1,lick
7.34040816327,0.444081632653,4,1,1,3,1,0.425782312925,"""4/4""",63,0.769943292345,57.79677423,1,0,1,Eb7,A1,lick
7.80408163265,0.228571428571,4,2,1,4,1,0.453310657596,"""4/4""",66,1.03565652808,57.1688240987,1,0,1,Eb7,A1,lick
8.05732426304,0.174149659864,4,2,1,4,2,0.453310657596,"""4/4""",63,0.434032187052,63.1567028718,1,0,1,Eb7,A1,lick
8.52244897959,0.171428571429,4,2,2,1,2,0.441723356009,"""4/4""",71,0.606070955427,63.2882155825,1,0,1,Ab7,A1,lick
8.70204081633,0.187755102041,4,3,2,2,1,0.421315192744,"""4/4""",72,0.450077007641,61.1657340008,1,0,1,Ab7,A1,lick
8.98031746032,0.165442176871,4,3,2,2,3,0.421315192744,"""4/4""",70,0.485481229127,64.9243699886,1,0,1,Ab7,A1,lick
9.15918367347,0.236734693878,4,2,2,3,1,0.447029478458,"""4/4""",67,0.678846758397,59.0117964924,1,0,1,Ab7,A1,lick
9.40988662132,0.156734693878,4,2,2,3,2,0.447029478458,"""4/4""",63,0.155274722862,61.0064038997,1,0,1,Ab7,A1,lick
9.58367346939,0.244897959184,4,3,2,4,1,0.422789115646,"""4/4""",60,0.324106436197,61.3721479132,1,0,1,Ab7,A1,lick
9.84489795918,0.122448979592,4,3,2,4,3,0.422789115646,"""4/4""",58,-0.123400397445,52.8129453766,1,0,1,Ab7,A1,lick
9.97551020408,0.359183673469,4,1,3,1,1,0.430952380952,"""4/4""",63,0.14141486084,54.8281865814,1,0,1,Eb7,A1,lick
10.3836734694,0.187755102041,4,1,3,2,1,0.431950113379,"""4/4""",63,0.963434927154,71.2937461011,1,0,1,Eb7,A1,lick
11.0759183673,0.148027210884,4,2,3,3,2,0.427709750567,"""4/4""",63,0.495253190622,60.2017515511,2,1,1,Eb7,A1,lick
11.3777777778,0.145124716553,4,3,3,4,2,0.422108843537,"""4/4""",67,0.0,55.1694178659,2,0,1,Eb7,A1,lick
11.528707483,0.182857142857,4,3,3,4,3,0.422108843537,"""4/4""",72,0.929283372715,66.6658348905,2,0,1,Eb7,A1,lick
11.7673469388,0.0857142857143,4,4,4,1,2,0.432063492063,"""4/4""",72,1.02445267845,71.6230504348,2,0,1,Eb7,A1,lick
11.8571428571,0.102040816327,4,4,4,1,3,0.432063492063,"""4/4""",73,0.802573698552,67.1035776207,2,0,1,Eb7,A1,lick
11.9698866213,0.174149659864,4,4,4,1,4,0.432063492063,"""4/4""",72,0.852174389171,69.3404762351,2,0,1,Eb7,A1,lick
12.1614512472,0.0522448979592,4,6,4,2,2,0.429138321995,"""4/4""",70,0.545934138256,67.5539868731,2,0,1,Eb7,A1,lick
12.2427210884,0.0457142857143,4,6,4,2,3,0.429138321995,"""4/4""",72,0.0809130682985,60.9337540489,2,0,1,Eb7,A1,lick
12.3036734694,0.0848979591837,4,6,4,2,4,0.429138321995,"""4/4""",70,0.0914459912649,59.8913849526,2,0,1,Eb7,A1,lick
12.405260771,0.139319727891,4,6,4,2,5,0.429138321995,"""4/4""",67,0.661640606333,67.8986788414,2,0,1,Eb7,A1,lick
12.5736054422,0.189387755102,4,2,4,3,1,0.441179138322,"""4/4""",63,0.255405172992,61.8061985365,2,0,1,Eb7,A1,lick
12.8232199546,0.185759637188,4,2,4,3,2,0.441179138322,"""4/4""",60,0.184311341668,56.229957683,2,0,1,Eb7,A1,lick
13.0089795918,0.790204081633,4,1,4,4,1,0.417959183673,"""4/4""",63,0.188309490361,54.8936517292,2,0,1,Eb7,A1,lick
13.812244898,0.248163265306,4,1,5,2,1,0.457006802721,"""4/4""",63,0.897311642709,70.7854424872,2,0,1,Ab7,A1,lick
14.6517913832,0.254693877551,4,6,5,3,6,0.431088435374,"""4/4""",56,0.435122315037,58.1424592118,3,1,1,Ab7,A1,lick
14.947845805,0.203174603175,4,2,5,4,2,0.446394557823,"""4/4""",58,0.48590023061,64.5215734673,3,0,1,Ab7,A1,lick
15.1742403628,0.280816326531,4,3,6,1,1,0.432766439909,"""4/4""",60,0.273740588763,61.5824071286,3,0,1,Ab7,A1,lick
15.4702947846,0.0928798185941,4,3,6,1,3,0.432766439909,"""4/4""",63,-0.274900923134,49.3460222651,3,0,1,Ab7,A1,lick
15.5689795918,0.182857142857,4,3,6,2,1,0.441700680272,"""4/4""",65,1.2031515061,73.8168135634,3,0,1,Ab7,A1,lick
15.8708390023,0.174149659864,4,3,6,2,3,0.441700680272,"""4/4""",66,0.909049650582,71.2413640576,3,0,1,Ab7,A1,lick
16.4919727891,0.84462585034,4,1,6,4,1,0.427891156463,"""4/4""",57,0.00271477815389,53.5143775337,3,0,1,Ab7,A1,lick
17.3453061224,0.254693877551,4,1,7,2,1,0.441746031746,"""4/4""",58,0.703297923829,66.2925247758,3,0,1,Eb7,A1,lick
18.0767346939,0.174149659864,4,4,7,3,4,0.439047619048,"""4/4""",58,0.487123109981,63.0772071703,4,1,1,Eb7,A1,rhythm_mr
18.3142857143,0.065306122449,4,4,7,4,2,0.436734693878,"""4/4""",60,0.001763132141,56.290686989,4,0,1,Eb7,A1,rhythm_mr
18.3989115646,0.0783673469388,4,4,7,4,3,0.436734693878,"""4/4""",63,0.00865355732537,55.6321660891,4,0,1,Eb7,A1,rhythm_mr
18.4772789116,0.113197278912,4,4,7,4,4,0.436734693878,"""4/4""",67,0.897373062342,70.3196674864,4,0,1,Eb7,A1,rhythm_mr
18.7591836735,0.155102040816,4,4,8,1,2,0.424489795918,"""4/4""",68,0.894644204645,66.4939671585,4,0,1,D-7,A1,rhythm_mr
18.9474829932,0.0957823129252,4,4,8,1,4,0.424489795918,"""4/4""",67,0.915222993608,70.0408614513,4,0,1,D-7,A1,rhythm_mr
19.2081632653,0.134693877551,4,3,8,2,2,0.427868480726,"""4/4""",68,0.813453380712,69.6033233317,4,0,1,D-7,A1,rhythm_mr
19.3596371882,0.148027210884,4,3,8,2,3,0.427868480726,"""4/4""",67,0.758559544848,62.4132655143,4,0,1,D-7,A1,rhythm_mr
19.5134693878,0.104489795918,4,2,8,3,1,0.431972789116,"""4/4""",68,0.800413635153,68.7792822721,4,0,1,G7,A1,rhythm_mr
19.7311564626,0.148027210884,4,2,8,3,2,0.431972789116,"""4/4""",67,0.935284014273,65.5586406738,4,0,1,G7,A1,rhythm_mr
20.0272108844,0.156734693878,4,3,8,4,2,0.402403628118,"""4/4""",68,0.915820063525,69.7953620933,4,0,1,G7,A1,rhythm_mr
20.1926530612,0.168344671202,4,3,8,4,3,0.402403628118,"""4/4""",67,0.834303673533,58.9532297177,4,0,1,G7,A1,rhythm_mr
