onset,duration,period,division,bar,beat,tatum,beat_duration,signature,pitch,loud_max,loud_median,phrase_id,phrase_begin,chorus_id,chord,form,idea
5.03265306122,0.0795918367347,4,3,0,4,1,0.352358276644,"""4/4""",65,0.608375731879,65.3636766977,1,1,-1,NC,I1,lick
5.16353741497,0.0507936507937,4,3,0,4,2,0.352358276644,"""4/4""",65,0.560802499098,63.1406293425,1,0,-1,NC,I1,lick
5.26222222222,0.0740136054422,4,3,0,4,3,0.352358276644,"""4/4""",65,0.528170592441,65.1741252484,1,0,-1,NC,I1,lick
5.52925170068,0.195918367347,4,2,1,1,2,0.347301587302,"""4/4""",74,0.769783312496,67.991425764,1,0,1,C-7,A1,lick
5.81804988662,0.06820861678,4,4,1,2,2,0.342789115646,"""4/4""",74,0.776823712131,59.7574205623,1,0,1,C-7,A1,lick
5.89206349206,0.169795918367,4,4,1,2,3,0.342789115646,"""4/4""",75,0.853183390261,69.6196227318,1,0,1,C-7,A1,lick
6.20843537415,0.39619047619,4,2,1,3,2,0.358503401361,"""4/4""",72,0.904274134186,68.2722487525,1,0,1,F7,A1,lick
7.79174603175,0.0812698412698,4,3,2,4,1,0.348140589569,"""4/4""",65,0.660633305084,66.6372111699,2,1,1,F7,A1,#-lick
7.8947845805,0.0478911564626,4,3,2,4,2,0.348140589569,"""4/4""",65,0.598053483491,65.2942368307,2,0,1,F7,A1,#-lick
7.96009070295,0.0972335600907,4,3,2,4,3,0.348140589569,"""4/4""",65,0.586729102499,60.0983776173,2,0,1,F7,A1,#-lick
8.11537414966,0.0522448979592,4,4,3,1,1,0.341746031746,"""4/4""",71,0.748332632466,65.690104923,2,0,1,Bb,A1,#-lick
8.17487528345,0.377324263039,4,4,3,1,2,0.341746031746,"""4/4""",72,0.916645601059,70.8307683156,2,0,1,Bb,A1,#-lick
8.63346938776,0.043537414966,4,4,3,2,3,0.331768707483,"""4/4""",73,0.776087999299,66.3838869531,2,0,1,Bb,A1,#-lick
8.68571428571,0.190113378685,4,4,3,2,4,0.331768707483,"""4/4""",74,0.867805065715,69.3097123769,2,0,1,Bb,A1,#-lick
8.93387755102,0.420861678005,4,2,3,3,2,0.35925170068,"""4/4""",70,0.848883013041,68.1573411145,2,0,1,Bb,A1,#-lick
10.6775510204,0.0979591836735,4,2,4,4,2,0.342653061224,"""4/4""",74,0.900060867556,67.9648677266,3,1,1,Bb,A1,#lick
10.787755102,0.184693877551,4,4,5,1,1,0.347233560091,"""4/4""",75,0.8694926848,69.5758910245,3,0,1,C-7,A1,#lick
