onset,duration,period,division,bar,beat,tatum,beat_duration,signature,pitch,loud_max,loud_median,phrase_id,phrase_begin,chorus_id,chord,form,idea
1.94757369615,0.188662131519,4,2,-1,1,1,0.563265306122,"""4/4""",72,0.851590431517,56.668265245,1,1,-1,NC,I1,lick
2.21750566893,0.145124716553,4,2,-1,1,2,0.563265306122,"""4/4""",74,0.786643626576,69.5916627483,1,0,-1,NC,I1,lick
2.4380952381,0.171247165533,4,4,-1,2,1,0.559501133787,"""4/4""",76,1.02328184864,73.8915839116,1,0,-1,NC,I1,lick
2.66158730159,0.139319727891,4,4,-1,2,3,0.559501133787,"""4/4""",74,0.707020628783,65.0637613415,1,0,-1,NC,I1,lick
2.86766439909,0.0928798185941,4,4,-1,2,4,0.559501133787,"""4/4""",74,0.715101222301,68.9357869385,1,0,-1,NC,I1,lick
2.99247165533,0.0957823129252,4,4,-1,3,1,0.531020408163,"""4/4""",72,0.85524873722,71.4869387827,1,0,-1,NC,I1,lick
3.13759637188,0.0812698412698,4,4,-1,3,2,0.531020408163,"""4/4""",69,0.839277228813,70.7674916302,1,0,-1,NC,I1,lick
3.25950113379,0.11029478458,4,4,-1,3,3,0.531020408163,"""4/4""",65,0.384710350261,62.6927557668,1,0,-1,NC,I1,lick
3.39011337868,0.0812698412698,4,4,-1,3,4,0.531020408163,"""4/4""",62,-0.300477337947,54.5239535269,1,0,-1,NC,I1,lick
3.50621315193,0.197369614512,4,4,-1,4,1,0.530725623583,"""4/4""",63,0.659319253576,64.0006778607,1,0,-1,NC,I1,lick
3.78195011338,0.11029478458,4,4,-1,4,3,0.530725623583,"""4/4""",55,0.147371291657,52.3930008581,1,0,-1,NC,I1,lick
3.93287981859,0.087074829932,4,4,-1,4,4,0.530725623583,"""4/4""",56,0.119894147116,60.2573334895,1,0,-1,NC,I1,lick
4.059138322,0.101587301587,4,8,0,1,1,0.556031746032,"""4/4""",59,0.0767080129889,59.8035086571,1,0,-1,NC,I1,lick
4.19410430839,0.087074829932,4,8,0,1,3,0.556031746032,"""4/4""",62,0.535086436291,66.4284115696,1,0,-1,NC,I1,lick
4.31020408163,0.104489795918,4,8,0,1,5,0.556031746032,"""4/4""",63,0.474826643299,63.9416678071,1,0,-1,NC,I1,lick
4.44662131519,0.0725623582766,4,8,0,1,7,0.556031746032,"""4/4""",65,0.467236564078,63.6948937441,1,0,-1,NC,I1,lick
4.55691609977,0.113197278912,4,8,0,1,8,0.556031746032,"""4/4""",67,0.777487402092,68.9535947624,1,0,-1,NC,I1,lick
4.68752834467,0.087074829932,4,4,0,2,2,0.501632653061,"""4/4""",68,0.820208569725,69.0587394941,1,0,-1,NC,I1,lick
4.82394557823,0.127709750567,4,4,0,2,3,0.501632653061,"""4/4""",70,0.595201320819,68.1162700162,1,0,-1,NC,I1,lick
4.98068027211,0.104489795918,4,4,0,2,4,0.501632653061,"""4/4""",70,0.553310259263,66.6442063036,1,0,-1,NC,I1,lick
5.11129251701,0.113197278912,4,3,0,3,1,0.501655328798,"""4/4""",69,0.516744662381,65.5804910646,1,0,-1,NC,I1,lick
5.26512471655,0.301859410431,4,3,0,3,2,0.501655328798,"""4/4""",70,0.62475568167,59.9737490438,1,0,-1,NC,I1,lick
5.62213151927,0.168344671202,4,4,0,4,1,0.590884353741,"""4/4""",68,0.710951173742,67.5261356764,1,0,-1,NC,I1,lick
5.81950113379,0.0580498866213,4,4,0,4,2,0.590884353741,"""4/4""",70,0.421350154126,62.8107587196,1,0,-1,NC,I1,lick
5.91326530612,0.229297052154,4,4,0,4,3,0.590884353741,"""4/4""",65,0.629704202259,58.2805639859,1,0,-1,NC,I1,lick
6.22004535147,0.145124716553,4,1,1,1,1,0.585328798186,"""4/4""",63,0.356365002975,62.274893699,1,0,1,Eb-7,A1,lick
6.79473922902,0.194467120181,4,2,1,2,1,0.555963718821,"""4/4""",65,0.85716089992,64.3088162379,2,1,1,Eb-7,A1,lick
7.06176870748,0.153832199546,4,2,1,2,2,0.555963718821,"""4/4""",63,0.75417596872,67.4093077513,2,0,1,Eb-7,A1,lick
7.32299319728,0.319274376417,4,1,1,3,1,0.546077097506,"""4/4""",65,0.719370225811,59.8468191618,2,0,1,Eb-7,A1,lick
8.88265306122,0.0551473922902,4,6,2,1,6,0.536394557823,"""4/4""",58,0.410019714741,64.8930414489,3,1,1,Eb-7,A1,melody
8.99482993197,0.113197278912,4,4,2,2,1,0.582040816327,"""4/4""",63,1.12716334788,73.4290186589,3,0,1,Eb-7,A1,melody
9.14575963719,0.0725623582766,4,4,2,2,2,0.582040816327,"""4/4""",66,0.9921477036,73.9731214554,3,0,1,Eb-7,A1,melody
9.25605442177,0.13641723356,4,4,2,2,3,0.582040816327,"""4/4""",68,1.06785196789,74.9810535641,3,0,1,Eb-7,A1,melody
9.43020408163,0.0841723356009,4,4,2,2,4,0.582040816327,"""4/4""",70,1.00084323173,74.2818469465,3,0,1,Eb-7,A1,melody
9.53469387755,0.145124716553,4,4,2,3,1,0.520090702948,"""4/4""",69,1.01776420374,70.9272874177,3,0,1,D7,A1,melody
9.72244897959,0.080612244898,4,4,2,3,2,0.520090702948,"""4/4""",57,0.91513204672,58.735772582,3,0,1,D7,A1,melody
9.82857142857,0.0826530612245,4,4,2,3,3,0.520090702948,"""4/4""",61,0.514977881289,65.8154363881,3,0,1,D7,A1,melody
9.93469387755,0.113197278912,4,4,2,3,4,0.520090702948,"""4/4""",64,0.823773098633,64.5334169563,3,0,1,D7,A1,melody
10.0774603175,0.116099773243,4,4,2,4,1,0.54746031746,"""4/4""",69,1.02584739039,71.5171927828,3,0,1,D7,A1,melody
10.222585034,0.0928798185941,4,4,2,4,2,0.54746031746,"""4/4""",73,1.04819950754,72.7726908548,3,0,1,D7,A1,melody
10.3328798186,0.119002267574,4,4,2,4,3,0.54746031746,"""4/4""",71,0.87654067098,69.5323352632,3,0,1,D7,A1,melody
10.4751020408,0.087074829932,4,4,2,4,4,0.54746031746,"""4/4""",69,0.927936951285,71.034073684,3,0,1,D7,A1,melody
10.5969387755,0.324489795918,4,1,3,1,1,0.591088435374,"""4/4""",68,0.744167743357,60.3715548422,3,0,1,Dbj7,A1,melody
11.1746031746,0.133514739229,4,4,3,2,1,0.585464852608,"""4/4""",70,0.900393245102,72.14356647,4,1,1,Dbj7,A1,lick
11.3255328798,0.0986848072562,4,4,3,2,2,0.585464852608,"""4/4""",70,0.776635833137,70.2631782126,4,0,1,Dbj7,A1,lick
11.4619501134,0.127709750567,4,4,3,2,3,0.585464852608,"""4/4""",68,0.781995096347,69.222874877,4,0,1,Dbj7,A1,lick
11.6970521542,0.177052154195,4,4,3,2,4,0.585464852608,"""4/4""",70,0.923150662647,70.7548053361,4,0,1,Dbj7,A1,lick
11.9002267574,0.101587301587,4,2,3,3,1,0.546281179138,"""4/4""",68,0.78461759696,66.9133660116,4,0,1,Gb7,A1,lick
12.1448979592,0.367346938776,4,2,3,3,2,0.546281179138,"""4/4""",70,0.975524476368,59.167420523,4,0,1,Gb7,A1,lick
13.3957369615,0.113197278912,4,6,4,2,1,0.565759637188,"""4/4""",75,1.00360701566,72.6148927504,5,1,1,F-7,A1,melody
13.6562358277,0.156734693878,4,6,4,2,4,0.565759637188,"""4/4""",75,0.924165001125,73.072990305,5,0,1,F-7,A1,melody
13.9145578231,0.148027210884,4,6,4,2,6,0.565759637188,"""4/4""",75,0.986896064997,71.9269493969,5,0,1,F-7,A1,melody
14.1438548753,0.148027210884,4,3,4,3,2,0.540770975057,"""4/4""",74,0.986654943755,72.8737606977,5,0,1,Eo7,A1,melody
