onset,duration,period,division,bar,beat,tatum,beat_duration,signature,pitch,loud_max,loud_median,phrase_id,phrase_begin,chorus_id,chord,form,idea
5.68979591837,0.228571428571,4,2,3,2,2,0.570680272109,"""4/4""",62,0.59430715898,67.4735659904,1,1,1,C-7,A1,lick
6.06530612245,0.522448979592,4,1,3,3,1,0.601065759637,"""4/4""",62,0.721588029633,62.8640020987,1,0,1,C-7,A1,lick
6.67573696145,0.208979591837,4,1,3,4,1,0.571723356009,"""4/4""",63,0.721427606904,68.8713978253,1,0,1,C-7,A1,lick
7.24462585034,0.0696598639456,4,4,4,1,1,0.551768707483,"""4/4""",56,-0.318371111046,53.644339712,1,0,1,Eb,A1,lick
7.37233560091,0.661768707483,4,4,4,1,2,0.551768707483,"""4/4""",57,0.536338522832,56.7222496297,1,0,1,Eb,A1,lick
8.30113378685,0.78947845805,4,6,4,2,6,0.571768707483,"""4/4""",55,0.574270223903,53.1642070979,1,0,1,Eb,A1,lick
9.58984126984,0.150929705215,4,2,5,1,1,0.55335600907,"""4/4""",55,0.317852744694,58.7659723963,2,1,1,C-7,A2,lick
9.78721088435,0.650158730159,4,2,5,1,2,0.55335600907,"""4/4""",57,0.215731391849,57.8801839698,2,0,1,C-7,A2,lick
10.5766893424,0.116099773243,4,4,5,3,1,0.580929705215,"""4/4""",55,0.541621039413,58.6582806642,2,0,1,C-7,A2,lick
10.7508390023,0.0928798185941,4,4,5,3,2,0.580929705215,"""4/4""",57,0.401884744753,61.5105316979,2,0,1,C-7,A2,lick
10.8553287982,0.16253968254,4,4,5,3,3,0.580929705215,"""4/4""",55,0.149124188367,60.2946492866,2,0,1,C-7,A2,lick
11.1804081633,0.464399092971,4,1,5,4,1,0.553401360544,"""4/4""",57,0.682828651431,61.5997626124,2,0,1,C-7,A2,lick
11.8770068027,0.116099773243,4,4,6,1,2,0.561587301587,"""4/4""",57,0.475825783469,62.6371707145,2,0,1,Eb,A2,lick
12.0047165533,0.150929705215,4,4,6,1,3,0.561587301587,"""4/4""",55,0.542222547165,61.9972190672,2,0,1,Eb,A2,lick
12.2717460317,0.220589569161,4,4,6,2,1,0.584058956916,"""4/4""",62,0.762630551753,69.6230547212,2,0,1,Eb,A2,lick
12.782585034,0.348299319728,4,4,6,2,4,0.584058956916,"""4/4""",57,0.531350720473,58.1301763881,2,0,1,Eb,A2,lick
13.8623129252,0.197369614512,4,4,6,4,4,0.543446712018,"""4/4""",57,0.485015798961,63.1364156639,3,1,1,Eb,A2,lick
14.0945124717,0.150929705215,4,2,7,1,1,0.581609977324,"""4/4""",55,-0.0463860042942,57.5404492997,3,0,1,C-7,A2,lick
14.2802721088,0.197369614512,4,2,7,1,2,0.581609977324,"""4/4""",57,0.583261680668,63.9077506662,3,0,1,C-7,A2,lick
14.5821315193,0.197369614512,4,2,7,2,1,0.553197278912,"""4/4""",60,0.412254316039,65.2506057864,3,0,1,C-7,A2,lick
14.8143310658,0.220589569161,4,2,7,2,2,0.553197278912,"""4/4""",62,0.921079815504,69.5168913074,3,0,1,C-7,A2,lick
15.6850793651,0.174149659864,4,8,7,3,8,0.589115646259,"""4/4""",68,0.503345307078,65.8149194407,4,1,1,C-7,A2,line_w_d
15.8708390023,0.139319727891,4,4,7,4,2,0.581360544218,"""4/4""",67,0.411992083411,61.4827737741,4,0,1,C-7,A2,line_w_d
16.0333786848,0.104489795918,4,4,7,4,3,0.581360544218,"""4/4""",68,0.466946101013,66.0116982673,4,0,1,C-7,A2,line_w_d
16.1378684807,0.16253968254,4,4,7,4,4,0.581360544218,"""4/4""",66,0.827886581591,67.3157199829,4,0,1,C-7,A2,line_w_d
16.3120181406,0.139319727891,4,4,8,1,1,0.561927437642,"""4/4""",65,0.831619818365,70.3045354644,4,0,1,Eb,A2,line_w_d
16.4513378685,0.127709750567,4,4,8,1,2,0.561927437642,"""4/4""",64,0.96866120057,71.6841998831,4,0,1,Eb,A2,line_w_d
16.5906575964,0.116099773243,4,4,8,1,3,0.561927437642,"""4/4""",63,0.908742415376,70.3147819831,4,0,1,Eb,A2,line_w_d
16.7183673469,0.139319727891,4,4,8,1,4,0.561927437642,"""4/4""",65,0.97775036173,68.078269241,4,0,1,Eb,A2,line_w_d
16.8734693878,0.130612244898,4,4,8,2,1,0.56306122449,"""4/4""",62,0.786915833377,70.5710141003,4,0,1,Eb,A2,line_w_d
17.0204081633,0.122448979592,4,4,8,2,2,0.56306122449,"""4/4""",61,0.807767699038,70.1449990337,4,0,1,Eb,A2,line_w_d
17.1755102041,0.130612244898,4,4,8,2,3,0.56306122449,"""4/4""",60,0.511786419879,65.964318309,4,0,1,Eb,A2,line_w_d
17.306122449,0.138775510204,4,4,8,2,4,0.56306122449,"""4/4""",58,0.751212885065,62.5027705508,4,0,1,Eb,A2,line_w_d
17.4448979592,0.114285714286,4,4,8,3,1,0.579274376417,"""4/4""",57,0.573700430101,61.0977322887,4,0,1,Eb,A2,line_w_d
17.5591836735,0.14693877551,4,4,8,3,2,0.579274376417,"""4/4""",55,1.0229800461,62.8017545285,4,0,1,Eb,A2,line_w_d
17.7224489796,0.187755102041,4,4,8,3,3,0.579274376417,"""4/4""",53,0.442152792052,58.5694038518,4,0,1,Eb,A2,line_w_d
19.1265306122,0.122448979592,4,4,9,2,1,0.602040816327,"""4/4""",74,-0.261630639825,57.4501061337,5,1,1,F-,B1,line_w_d
