onset,duration,period,division,bar,beat,tatum,beat_duration,signature,pitch,loud_max,loud_median,phrase_id,phrase_begin,chorus_id,chord,form,idea
7.78775510204,0.0795918367347,4,4,1,3,2,0.215192743764,"""4/4""",56,0.194088801396,63.9902708104,1,1,1,E7alt,A1,line_a
7.89081632653,0.0989795918367,4,4,1,3,4,0.215192743764,"""4/4""",58,0.328570980024,64.6922112388,1,0,1,E7alt,A1,line_a
8.00408163265,0.102040816327,4,4,1,4,2,0.230702947846,"""4/4""",59,0.384697769244,67.9586132977,1,0,1,E7alt,A1,line_a
8.12653061224,0.0632653061224,4,4,1,4,4,0.230702947846,"""4/4""",61,0.401192194848,68.2838167701,1,0,1,E7alt,A1,line_a
8.2112244898,0.0744897959184,4,2,2,1,1,0.212448979592,"""4/4""",63,0.975713255987,74.2503043253,1,0,1,E7alt,A1,line_a
8.30714285714,0.129591836735,4,2,2,1,2,0.212448979592,"""4/4""",64,1.20602468972,77.5704562902,1,0,1,E7alt,A1,line_a
8.45204081633,0.0857142857143,4,4,2,2,2,0.220997732426,"""4/4""",66,0.663690517556,71.3409575532,1,0,1,E7alt,A1,line_a
8.55408163265,0.104081632653,4,4,2,2,4,0.220997732426,"""4/4""",68,0.901889129141,73.7972080469,1,0,1,E7alt,A1,line_a
8.67755102041,0.128571428571,4,2,2,3,2,0.21126984127,"""4/4""",70,0.85472961067,73.1929399773,1,0,1,E7alt,A1,line_a
8.83673469388,0.330612244898,4,1,2,4,1,0.212698412698,"""4/4""",71,0.770642308188,67.0234274362,1,0,1,E7alt,A1,line_a
10.3724489796,0.142857142857,4,1,4,3,1,0.212857142857,"""4/4""",69,0.830605613197,72.4597532724,2,1,1,Fj7,A1,line_w
10.543877551,0.0602040816327,4,2,4,4,1,0.201405895692,"""4/4""",68,0.819304572443,71.5905683607,2,0,1,Fj7,A1,line_w
10.6255102041,0.10306122449,4,2,4,4,2,0.201405895692,"""4/4""",67,0.728648692964,71.4042206433,2,0,1,Fj7,A1,line_w
10.743877551,0.0897959183673,4,2,5,1,1,0.212494331066,"""4/4""",66,0.699038577607,70.902229605,2,0,1,E7alt,A1,line_w
10.8458956916,0.0957823129252,4,2,5,1,2,0.212494331066,"""4/4""",64,1.00234138158,73.1331117915,2,0,1,E7alt,A1,line_w
10.9583673469,0.0928798185941,4,2,5,2,1,0.212879818594,"""4/4""",62,0.81345555151,72.7023168363,2,0,1,E7alt,A1,line_w
11.0657596372,0.0885260770975,4,2,5,2,2,0.212879818594,"""4/4""",60,0.469052628595,67.8901253126,2,0,1,E7alt,A1,line_w
11.1695238095,0.077641723356,4,2,5,3,1,0.211383219955,"""4/4""",58,0.416728757753,66.0282557196,2,0,1,E7alt,A1,line_w
11.2812698413,0.251065759637,4,2,5,3,2,0.211383219955,"""4/4""",56,0.290459390493,57.8597137873,2,0,1,E7alt,A1,line_w
11.554829932,0.0522448979592,4,4,5,4,4,0.222562358277,"""4/4""",58,0.048244409832,62.402095735,2,0,1,E7alt,A1,line_w
11.6215873016,0.0471655328798,4,2,6,1,1,0.201678004535,"""4/4""",61,0.38931704218,66.1954862103,2,0,1,E7alt,A1,line_w
11.6832653061,0.273560090703,4,2,6,1,2,0.201678004535,"""4/4""",62,0.752531552961,70.1652396923,2,0,1,E7alt,A1,line_w
11.9807709751,0.052970521542,4,4,6,3,1,0.212630385488,"""4/4""",60,0.0110992060082,62.4159534465,2,0,1,E7alt,A1,line_w
12.0409977324,0.158911564626,4,4,6,3,2,0.212630385488,"""4/4""",62,0.705936610649,70.1705982678,2,0,1,E7alt,A1,line_w
12.2093424036,0.0718367346939,4,2,6,4,1,0.210816326531,"""4/4""",60,0.382523038184,67.3026001537,2,0,1,E7alt,A1,line_w
12.3073015873,0.0819954648526,4,2,6,4,2,0.210816326531,"""4/4""",58,0.180368030775,63.8178760258,2,0,1,E7alt,A1,line_w
12.4197732426,0.0515192743764,4,4,7,1,1,0.224172335601,"""4/4""",55,0.163013210883,59.7960531938,2,0,1,E7alt,A1,line_w
12.4959637188,0.111746031746,4,4,7,1,2,0.224172335601,"""4/4""",57,0.25671078555,64.3469405052,2,0,1,Ebj7911#,A1,line_w
12.6222222222,0.0515192743764,4,4,7,1,4,0.224172335601,"""4/4""",60,0.128071763653,63.7132193508,2,0,1,Ebj7911#,A1,line_w
12.6853514739,0.10231292517,4,2,7,2,1,0.222448979592,"""4/4""",62,0.395358768765,68.0532244316,2,0,1,Ebj7911#,A1,line_w
12.7956462585,0.0696598639456,4,2,7,2,2,0.222448979592,"""4/4""",63,0.219534471811,62.4026220232,2,0,1,Ebj7911#,A1,line_w
12.8878004535,0.100861678005,4,2,7,3,1,0.208526077098,"""4/4""",67,0.602875858105,69.8776035631,2,0,1,Ebj7911#,A1,line_w
13.001723356,0.100861678005,4,2,7,3,2,0.208526077098,"""4/4""",65,0.671168594698,71.1623063277,2,0,1,Ebj7911#,A1,line_w
13.1229024943,0.0754648526077,4,2,7,4,1,0.222426303855,"""4/4""",62,0.262785319816,65.3935134933,2,0,1,Ebj7911#,A1,line_w
13.2491609977,0.0449886621315,4,2,7,4,2,0.222426303855,"""4/4""",58,-0.0957824904755,61.9922039415,2,0,1,Ebj7911#,A1,line_w
13.3311564626,0.0856235827664,4,2,8,1,1,0.202970521542,"""4/4""",63,0.614433182003,68.4866808529,2,0,1,Ebj7911#,A1,line_w
13.4508843537,0.0616780045351,4,2,8,1,2,0.202970521542,"""4/4""",60,0.303752180305,63.4471502133,2,0,1,Ebj7911#,A1,line_w
13.5285260771,0.0878004535147,4,2,8,2,1,0.220249433107,"""4/4""",56,0.240729442318,63.4464951449,2,0,1,Ebj7911#,A1,line_w
13.6402721088,0.0689342403628,4,2,8,2,2,0.220249433107,"""4/4""",55,-0.0318511132067,61.0694902497,2,0,1,Ebj7911#,A1,line_w
13.7309750567,0.105941043084,4,2,8,3,1,0.202902494331,"""4/4""",58,0.20487371662,64.8124989923,2,0,1,Ebj7911#,A1,line_w
13.8514285714,0.12335600907,4,2,8,3,2,0.202902494331,"""4/4""",56,0.172263086441,64.4134028804,2,0,1,Ebj7911#,A1,line_w
14.5291609977,0.237278911565,4,4,9,2,4,0.202721088435,"""4/4""",56,0.495634832452,64.5976832085,3,1,1,D7,A1,lick
15.166984127,0.222040816327,4,1,10,2,1,0.211541950113,"""4/4""",57,0.441222665251,65.6527033756,3,0,1,Ebj7911#,A1,lick
15.7815873016,0.181405895692,4,4,10,4,4,0.222380952381,"""4/4""",58,0.442036389125,68.276875738,3,0,1,Ebj7911#,A1,lick
16.3040362812,0.130612244898,4,1,11,3,1,0.232063492063,"""4/4""",59,0.495215428223,69.0950790125,4,1,1,E7,A1,line_w
16.4890702948,0.135691609977,4,2,11,4,1,0.21253968254,"""4/4""",62,0.873840879898,70.9636018677,4,0,1,E7,A1,line_w
16.6276643991,0.0819954648526,4,2,11,4,2,0.21253968254,"""4/4""",59,0.237466185674,66.0665144034,4,0,1,E7,A1,line_w
16.726984127,0.0803174603175,4,2,12,1,1,0.220657596372,"""4/4""",60,0.324915522843,67.1407894651,4,0,1,Fj7,A1,line_w
16.8167800454,0.119727891156,4,2,12,1,2,0.220657596372,"""4/4""",62,0.863451406171,73.1069084264,4,0,1,Fj7,A1,line_w
16.9464852608,0.0972789115646,4,4,12,2,1,0.203514739229,"""4/4""",63,0.773920965232,71.8195119904,4,0,1,Fj7,A1,line_w
17.0517913832,0.0504308390023,4,4,12,2,3,0.203514739229,"""4/4""",65,0.239127797042,64.5422575495,4,0,1,Fj7,A1,line_w
17.1065759637,0.0943310657596,4,4,12,2,4,0.203514739229,"""4/4""",67,0.697712312651,70.2495184721,4,0,1,Fj7,A1,line_w
17.227755102,0.0841723356009,4,2,12,3,2,0.210634920635,"""4/4""",64,0.788688408769,65.3721543984,4,0,1,Eb7,A1,line_w
17.337324263,0.109931972789,4,2,12,4,1,0.222585034014,"""4/4""",66,0.688922026607,70.7284159749,4,0,1,Eb7,A1,line_w
17.4693877551,0.06820861678,4,2,12,4,2,0.222585034014,"""4/4""",64,0.704088748487,70.3096275875,4,0,1,Eb7,A1,line_w
17.5611791383,0.0983219954649,4,2,13,1,1,0.211179138322,"""4/4""",65,0.746752351614,71.9177789337,4,0,1,Eb7,A1,line_w
