onset,duration,period,division,bar,beat,tatum,beat_duration,signature,pitch,loud_max,loud_median,phrase_id,phrase_begin,chorus_id,chord,form,idea
5.82530612245,0.107392290249,4,4,0,4,3,0.538367346939,"""4/4""",70,0.804083492085,69.5549917321,1,1,-1,NC,I1,lick
5.95011337868,0.0841723356009,4,4,0,4,4,0.538367346939,"""4/4""",67,0.752566166831,68.9350324192,1,0,-1,NC,I1,lick
6.11555555556,0.150929705215,4,3,1,1,1,0.491882086168,"""4/4""",72,0.680114399471,70.2545735967,1,0,1,C-7,A1,lick
6.2780952381,0.152380952381,4,3,1,1,2,0.491882086168,"""4/4""",72,0.536336148822,70.0189878126,1,0,1,C-7,A1,lick
6.4464399093,0.140770975057,4,3,1,1,3,0.491882086168,"""4/4""",72,0.506244469063,64.4339203462,1,0,1,C-7,A1,lick
8.08775510204,0.069387755102,4,4,1,4,4,0.559183673469,"""4/4""",67,0.561095418522,67.7527805568,2,1,1,C-7,A1,lick
8.21224489796,0.289795918367,4,3,2,1,1,0.50612244898,"""4/4""",72,0.703311509432,69.0390368449,2,0,1,Am7b5,A1,lick
8.53469387755,0.302040816327,4,3,2,1,3,0.50612244898,"""4/4""",69,0.349052687627,64.9692349069,2,0,1,Am7b5,A1,lick
10.6551020408,0.287755102041,4,4,3,1,4,0.534693877551,"""4/4""",74,0.931169997392,71.4075457651,3,1,1,Am7b5,A1,lick
11.090430839,0.388934240363,4,2,3,2,2,0.497959183673,"""4/4""",77,0.870949400191,70.0381455371,3,0,1,Am7b5,A1,lick
11.4897959184,0.0397959183673,4,5,3,3,3,0.522448979592,"""4/4""",76,0.567638309616,67.6991076906,3,0,1,D7,A1,lick
11.5367346939,0.107142857143,4,5,3,3,4,0.522448979592,"""4/4""",75,0.878628572499,69.0505604657,3,0,1,D7,A1,lick
11.6540816327,0.518367346939,4,5,3,3,5,0.522448979592,"""4/4""",74,0.868982796182,72.1226368793,3,0,1,D7,A1,lick
12.220952381,0.197369614512,4,4,3,4,4,0.522448979592,"""4/4""",72,0.688747185208,70.3905376577,3,0,1,D7,A1,lick
12.4662131519,0.0769160997732,4,4,4,1,2,0.50612244898,"""4/4""",71,0.379861546849,68.345560874,3,0,1,Dm7b5,A1,lick
12.5590929705,0.114648526077,4,4,4,1,3,0.50612244898,"""4/4""",74,0.468673473616,68.4950943087,3,0,1,Dm7b5,A1,lick
12.6911564626,0.087074829932,4,4,4,1,4,0.50612244898,"""4/4""",71,-1.5197403914,51.8756621037,3,0,1,Dm7b5,A1,lick
12.7898412698,0.198820861678,4,3,4,2,1,0.49387755102,"""4/4""",68,0.569053326722,68.7478944058,3,0,1,Dm7b5,A1,lick
13.0147845805,0.150929705215,4,3,4,2,2,0.49387755102,"""4/4""",67,0.344866154976,66.5037908315,3,0,1,Dm7b5,A1,lick
13.1990929705,0.139319727891,4,3,4,2,3,0.49387755102,"""4/4""",65,0.149120991873,65.8050097901,3,0,1,Dm7b5,A1,lick
13.4443537415,0.615328798186,4,1,4,3,1,0.555102040816,"""4/4""",70,0.662334583121,65.8755199468,3,0,1,G7,A1,lick
14.1278911565,0.124807256236,4,4,4,4,3,0.526530612245,"""4/4""",68,0.753303136393,71.9762646896,3,0,1,G7,A1,~lick
14.26430839,0.0986848072562,4,4,4,4,4,0.526530612245,"""4/4""",70,0.505348994136,66.4133573803,3,0,1,G7,A1,~lick
14.4341043084,0.0667573696145,4,4,5,1,1,0.477551020408,"""4/4""",66,0.721229699386,69.121555844,3,0,1,C-7,A1,~lick
14.509569161,0.23074829932,4,4,5,1,2,0.477551020408,"""4/4""",67,0.723187507003,70.3559114619,3,0,1,C-7,A1,~lick
14.9142857143,0.318367346939,4,1,5,2,1,0.551020408163,"""4/4""",60,-0.208954910357,61.2780475843,3,0,1,C-7,A1,~lick
15.4398185941,0.348299319728,4,3,5,3,1,0.534693877551,"""4/4""",63,0.671368934578,68.3392819583,3,0,1,C-7,A1,~lick
15.8084353741,0.153832199546,4,3,5,3,3,0.534693877551,"""4/4""",60,0.416854679036,65.7675129351,3,0,1,C-7,A1,~lick
15.9782312925,0.388934240363,4,4,5,4,1,0.49387755102,"""4/4""",63,0.538632957913,68.5764350974,3,0,1,C-7,A1,~lick
16.3918367347,0.0536961451247,4,4,5,4,4,0.49387755102,"""4/4""",60,-0.719311994706,61.3511400211,3,0,1,C-7,A1,~lick
16.4702040816,0.622585034014,4,1,6,1,1,0.485714285714,"""4/4""",63,0.500698569435,58.8239645621,3,0,1,Am7b5,A1,~lick
17.8387301587,0.136734693878,4,2,6,3,2,0.510204081633,"""4/4""",63,-0.387738582465,54.7234392002,4,1,1,Abj7,A1,*theme:t7
18.0215873016,0.105941043084,4,3,6,4,1,0.522448979592,"""4/4""",66,0.69834565179,70.8504881632,4,0,1,Abj7,A1,*theme:t7
