onset,duration,period,division,bar,beat,tatum,beat_duration,signature,pitch,loud_max,loud_median,phrase_id,phrase_begin,chorus_id,chord,form,idea
5.71020408163,0.363265306122,3,2,0,3,2,0.404943310658,"""3/4""",74,1.0058445721,72.5208320927,1,1,-1,NC,I1,melody
6.14693877551,0.236734693878,3,4,1,1,4,0.367505668934,"""3/4""",67,0.501376053716,67.5906848926,1,0,1,D-7,A1,melody
6.40870748299,1.48607709751,3,2,1,2,2,0.368231292517,"""3/4""",69,0.713494145565,68.90566602,1,0,1,D-7,A1,melody
7.97605442177,0.0696598639456,3,2,2,3,2,0.377528344671,"""3/4""",67,0.554945488067,67.5388791383,1,0,1,G-69,A1,melody
8.07183673469,0.107392290249,3,3,3,1,1,0.367755102041,"""3/4""",69,0.658931422108,69.4110338064,1,0,1,G-69,A1,melody
8.22566893424,0.11029478458,3,3,3,1,2,0.367755102041,"""3/4""",72,1.05921640469,73.2669378093,1,0,1,D-7,A1,melody
8.35628117914,0.142222222222,3,3,3,1,3,0.367755102041,"""3/4""",74,1.05873869771,73.3439392928,1,0,1,D-7,A1,melody
8.55365079365,0.165442176871,3,4,3,2,2,0.366802721088,"""3/4""",67,0.588386911839,68.4179757831,1,0,1,D-7,A1,melody
8.76263038549,0.458594104308,3,4,3,2,4,0.366802721088,"""3/4""",69,0.70403514511,67.7414086213,1,0,1,D-7,A1,melody
10.5041269841,0.087074829932,3,2,5,1,2,0.357959183673,"""3/4""",69,0.74344899321,69.1591206362,2,1,1,D-7,A1,lick
10.6463492063,0.124807256236,3,3,5,2,1,0.377346938776,"""3/4""",74,1.12687645494,74.1573999613,2,0,1,D-7,A1,lick
10.8146938776,0.142222222222,3,3,5,2,2,0.377346938776,"""3/4""",76,1.29515292109,76.2619764239,2,0,1,D-7,A1,lick
10.9801360544,0.264126984127,3,3,5,2,3,0.377346938776,"""3/4""",77,1.23932633381,75.2400415444,2,0,1,D-7,A1,lick
11.3052154195,0.119002267574,3,2,5,3,2,0.366734693878,"""3/4""",75,1.22064793209,75.4035360691,2,0,1,D-7,A1,lick
11.4474376417,0.171247165533,3,2,6,1,1,0.377732426304,"""3/4""",77,1.33769439346,76.823714364,2,0,1,Eb7911#,A1,lick
11.6477097506,0.148027210884,3,2,6,1,2,0.377732426304,"""3/4""",79,1.25999842631,75.8267832328,2,0,1,Eb7911#,A1,lick
11.8479818594,0.165442176871,3,2,6,2,1,0.377482993197,"""3/4""",75,1.2491950567,74.5084250839,2,0,1,Eb7911#,A1,lick
12.0714739229,0.339591836735,3,2,6,2,2,0.377482993197,"""3/4""",70,0.509862284627,67.3846219207,2,0,1,Eb7911#,A1,lick
12.4894331066,0.0986848072562,3,4,6,3,4,0.383174603175,"""3/4""",67,0.344734418196,66.718102933,2,0,1,Eb7911#,A1,lick
12.6113378685,0.171247165533,3,3,7,1,1,0.366666666667,"""3/4""",69,0.411979124059,67.0892550511,2,0,1,D-7,A1,lick
12.8580498866,0.200272108844,3,3,7,1,3,0.366666666667,"""3/4""",62,0.292689836883,62.3085967383,2,0,1,D-7,A1,lick
13.0815419501,0.304761904762,3,2,7,2,2,0.367936507937,"""3/4""",64,0.208139383903,63.777415692,2,0,1,D-7,A1,lick
13.4414512472,0.0754648526077,3,4,7,3,3,0.371995464853,"""3/4""",61,0.409836585492,65.6587970527,2,0,1,D-7,A1,lick
13.5343310658,0.0783673469388,3,4,7,3,4,0.371995464853,"""3/4""",64,0.270571539941,63.3986219441,2,0,1,D-7,A1,lick
13.6794557823,0.188662131519,3,3,8,1,1,0.357006802721,"""3/4""",58,0.0879435448991,63.390959686,2,0,1,A7,A1,lick
13.9232653061,0.359909297052,3,3,8,1,3,0.357006802721,"""3/4""",57,0.359479225954,64.8494067127,2,0,1,A7,A1,lick
14.9536507937,0.0580498866213,3,4,9,1,3,0.357074829932,"""3/4""",65,0.157140332351,64.3170795946,3,1,1,Fsus7,A1,melody
15.0436281179,0.101587301587,3,4,9,1,4,0.357074829932,"""3/4""",70,0.716365678605,66.7258501649,3,0,1,Fsus7,A1,melody
15.2032653061,0.127709750567,3,3,9,2,2,0.35231292517,"""3/4""",75,0.989292904616,72.5058941118,3,0,1,Fsus7,A1,melody
15.342585034,0.417959183673,3,3,9,2,3,0.35231292517,"""3/4""",77,0.875399303687,69.7989184328,3,0,1,Fsus7,A1,melody
15.806984127,0.638548752834,3,1,10,1,1,0.356916099773,"""3/4""",72,0.609306288732,66.9985754276,3,0,1,Fsus7,A1,melody
16.4803628118,0.0551473922902,3,4,10,2,4,0.367936507937,"""3/4""",70,0.365408137174,64.8759859054,3,0,1,Ebsus7,A1,melody
18.0302947846,0.0928798185941,3,4,12,1,1,0.395578231293,"""3/4""",75,0.970709531234,68.9598975827,4,1,1,Ebsus7,A1,lick
18.1521995465,0.107392290249,3,4,12,1,2,0.395578231293,"""3/4""",77,0.956509411006,70.2895418221,4,0,1,Ebsus7,A1,lick
18.3350566893,0.101587301587,3,4,12,1,4,0.395578231293,"""3/4""",82,0.972037863639,69.8267867922,4,0,1,Ebsus7,A1,lick
19.3567346939,0.113197278912,3,6,13,1,4,0.367505668934,"""3/4""",80,0.844866276946,69.4862611526,5,1,1,Fsus7,A1,##lick
19.4844444444,0.203174603175,3,6,13,1,6,0.367505668934,"""3/4""",77,0.685434693312,69.022081082,5,0,1,Fsus7,A1,##lick
19.7137414966,0.101587301587,3,2,13,2,2,0.351587301587,"""3/4""",75,0.784752345355,70.8044939607,5,0,1,Fsus7,A1,##lick
19.8443537415,0.177052154195,3,2,13,3,1,0.380657596372,"""3/4""",77,0.62958051704,68.9963920088,5,0,1,Fsus7,A1,##lick
20.0475283447,0.502131519274,3,2,13,3,2,0.380657596372,"""3/4""",72,0.55019818133,68.4184757161,5,0,1,Fsus7,A1,##lick
20.5699773243,0.0580498866213,3,6,14,1,6,0.351201814059,"""3/4""",69,0.0641537972122,58.1547158697,5,0,1,Ebsus7,A1,~line_w_d
20.6396371882,0.0725623582766,3,4,14,2,1,0.380181405896,"""3/4""",73,0.592691716582,68.8411335151,5,0,1,Ebsus7,A1,~line_w_d
20.7412244898,0.0522448979592,3,4,14,2,2,0.380181405896,"""3/4""",76,0.742469996225,63.5583707315,5,0,1,Ebsus7,A1,~line_w_d
20.8079818594,0.0783673469388,3,4,14,2,3,0.380181405896,"""3/4""",75,0.997322418712,72.1698149415,5,0,1,Ebsus7,A1,~line_w_d
20.9153741497,0.087074829932,3,4,14,2,4,0.380181405896,"""3/4""",73,0.790301897931,70.213895845,5,0,1,Ebsus7,A1,~line_w_d
21.0224489796,0.0795918367347,3,3,14,3,1,0.373015873016,"""3/4""",71,0.182838136232,64.2327434733,5,0,1,Ebsus7,A1,~line_w_d
21.1224489796,0.0795918367347,3,3,14,3,2,0.373015873016,"""3/4""",73,0.593641519765,68.0698315137,5,0,1,Ebsus7,A1,~line_w_d
21.2265306122,0.065306122449,3,3,14,3,3,0.373015873016,"""3/4""",71,0.26080677174,65.5914249842,5,0,1,Ebsus7,A1,~line_w_d
21.3387755102,0.0795918367347,3,4,15,1,1,0.390385487528,"""3/4""",69,0.383614196725,66.9424482847,5,0,1,Ebsus7,A1,~line_w_d
21.4408163265,0.0571428571429,3,4,15,1,2,0.390385487528,"""3/4""",66,-0.211792719921,61.273039155,5,0,1,Gb-7,A1,~line_w_d
21.5408163265,0.0938775510204,3,4,15,1,3,0.390385487528,"""3/4""",71,0.357751249524,67.0692249948,5,0,1,Gb-7,A1,~line_w_d
21.6673469388,0.0755102040816,3,4,15,1,4,0.390385487528,"""3/4""",68,0.336423097996,63.8350124919,5,0,1,Gb-7,A1,~line_w_d
21.7632653061,0.0551020408163,3,3,15,2,1,0.358662131519,"""3/4""",64,-0.124841242128,60.6283051882,5,0,1,Gb-7,A1,~line_w_d
21.8448979592,0.0918367346939,3,3,15,2,2,0.358662131519,"""3/4""",69,0.505189140847,68.0564537331,5,0,1,Gb-7,A1,~line_w_d
21.9653061224,0.116326530612,3,3,15,2,3,0.358662131519,"""3/4""",68,0.491514838523,67.5382600527,5,0,1,Gb-7,A1,~line_w_d
22.1142857143,0.259183673469,3,4,15,3,1,0.348117913832,"""3/4""",64,0.151566816491,62.724811585,5,0,1,Gb-7,A1,~line_w_d
22.4014512472,0.0725623582766,3,4,15,3,4,0.348117913832,"""3/4""",59,-0.0229349201591,62.3301002292,5,0,1,Gb-7,A1,~melody
22.4740136054,0.0812698412698,3,4,16,1,1,0.332970521542,"""3/4""",60,-0.0736342714978,60.3913844275,5,0,1,B7,A1,~melody
22.5693877551,0.0673469387755,3,4,16,1,2,0.332970521542,"""3/4""",61,0.0987501809225,62.4775017837,5,0,1,B7,A1,~melody
22.6591836735,0.0551020408163,3,4,16,1,3,0.332970521542,"""3/4""",63,0.0130428009607,61.0089346218,5,0,1,B7,A1,~melody
22.7224489796,0.0510204081633,3,4,16,1,4,0.332970521542,"""3/4""",66,0.32794064002,65.2517146808,5,0,1,B7,A1,~melody
22.787755102,0.0632653061224,3,5,16,2,1,0.35716553288,"""3/4""",67,0.491327597466,67.0719041707,5,0,1,B7,A1,~melody
22.8632653061,0.065306122449,3,5,16,2,2,0.35716553288,"""3/4""",69,0.529976572083,66.7074588802,5,0,1,B7,A1,~melody
