onset,duration,period,division,bar,beat,tatum,beat_duration,signature,pitch,loud_max,loud_median,phrase_id,phrase_begin,chorus_id,chord,form,idea
4.66140589569,0.119002267574,4,2,1,3,1,0.268049886621,"""4/4""",79,0.755962464542,70.6364344226,1,1,1,Fm7b5,A1,melody
4.79782312925,0.70820861678,4,2,1,3,2,0.268049886621,"""4/4""",80,1.08425563481,74.5839789795,1,0,1,Fm7b5,A1,melody
5.52054421769,0.166893424036,4,3,2,2,1,0.275736961451,"""4/4""",79,0.927531981619,72.4688066551,1,0,1,Bb79b,A1,melody
5.70630385488,1.02893424036,4,3,2,2,3,0.275736961451,"""4/4""",78,0.943495115771,71.6558624523,1,0,1,Bb79b,A1,melody
6.75990929705,0.107142857143,4,2,3,2,2,0.285328798186,"""4/4""",77,0.942826477547,68.3972782396,1,0,1,Eb-7,A1,melody
6.88469387755,0.251020408163,4,1,3,3,1,0.278072562358,"""4/4""",78,0.916942769103,73.2234222901,1,0,1,Eb-7,A1,melody
7.15204081633,0.181632653061,4,4,3,4,1,0.265714285714,"""4/4""",77,1.08317622901,75.3076560031,1,0,1,Eb-7,A1,melody
7.34693877551,0.497959183673,4,4,3,4,4,0.265714285714,"""4/4""",78,0.882366023107,71.6854384178,1,0,1,Eb-7,A1,melody
7.87959183673,0.15,4,2,4,2,2,0.277823129252,"""4/4""",77,0.994266186589,74.7328214663,1,0,1,Ab7,A1,melody
8.04183673469,0.723469387755,4,1,4,3,1,0.275782312925,"""4/4""",76,0.873550674699,71.9160982265,1,0,1,Ab7,A1,melody
8.82346938776,0.157142857143,4,4,5,2,1,0.276712018141,"""4/4""",77,1.0843874959,73.9291470349,1,0,1,Dbo7,A1,melody
9.03546485261,0.0429024943311,4,4,5,2,4,0.276712018141,"""4/4""",65,0.17399493487,61.3698672842,1,0,1,Dbo7,A1,melody
9.09782312925,0.18358276644,4,1,5,3,1,0.257142857143,"""4/4""",69,0.430767998042,66.4004969995,1,0,1,Db6,A1,melody
9.30408163265,0.257142857143,4,1,5,4,1,0.277845804989,"""4/4""",70,0.633447874161,68.8909923522,1,0,1,Db6,A1,melody
