EVENT,VALUE,VALUE_IDX,ENCODING
Part-Start,I,I,433
Rep-Start,1,1,439
Position,48,48,241
Tempo-Class,4,4,261
Tempo,180.00,48,310
Rep-End,1,1,445
Part-End,I,I,438
Part-Start,A,A,429
Rep-Start,1,1,439
Bar,0,0,192
Position,0,0,193
Tempo-Class,4,4,261
Tempo,215.00,51,313
Chord-Tone,Bb,10,332
Chord-Type,,None,346
Chord-Slash,Bb,10,344
Position,7,7,200
Phrase,0,0,393
MLU-Type,line,0,398
MLU-Subtype,cx,0,407
Note-Velocity,20,20,148
Note-On,58,58,58
Note-Duration,6,6,165
Position,13,13,206
Note-Velocity,19,19,147
Note-On,62,62,62
Note-Duration,4,4,163
Position,16,16,209
Tempo-Class,3,3,260
Tempo,173.33,46,308
Position,19,19,212
Note-Velocity,24,24,152
Note-On,65,65,65
Note-Duration,6,6,165
Position,25,25,218
Note-Velocity,22,22,150
Note-On,67,67,67
Note-Duration,6,6,165
Position,31,31,224
Note-Velocity,24,24,152
Note-On,70,70,70
Note-Duration,9,9,168
Position,32,32,225
Tempo-Class,3,3,260
Tempo,173.33,46,308
Position,42,42,235
Note-Velocity,25,25,153
Note-On,74,74,74
Note-Duration,5,5,164
Position,48,48,241
Tempo-Class,3,3,260
Tempo,170.00,45,307
Position,49,49,242
Note-Velocity,27,27,155
Note-On,72,72,72
Note-Duration,7,7,166
Position,59,59,252
Note-Velocity,22,22,150
Note-On,74,74,74
Note-Duration,4,4,163
Bar,0,0,192
Position,0,0,193
Tempo-Class,3,3,260
Tempo,173.33,46,308
Chord-Tone,Bb,10,332
Chord-Type,,None,346
Chord-Slash,Bb,10,344
Note-Velocity,26,26,154
Note-On,72,72,72
Note-Duration,4,4,163
Position,5,5,198
Note-Velocity,23,23,151
Note-On,74,74,74
Note-Duration,3,3,162
Position,10,10,203
Note-Velocity,25,25,153
Note-On,72,72,72
Note-Duration,4,4,163
Position,15,15,208
Note-Velocity,25,25,153
Note-On,70,70,70
Note-Duration,4,4,163
Position,16,16,209
Tempo-Class,3,3,260
Tempo,166.67,44,306
Position,20,20,213
Note-Velocity,21,21,149
Note-On,68,68,68
Note-Duration,4,4,163
Position,24,24,217
Note-Velocity,20,20,148
Note-On,67,67,67
Note-Duration,2,2,161
Position,29,29,222
Note-Velocity,24,24,152
Note-On,65,65,65
Note-Duration,5,5,164
Position,32,32,225
Tempo-Class,3,3,260
Tempo,166.67,44,306
Position,36,36,229
Note-Velocity,21,21,149
Note-On,63,63,63
Note-Duration,3,3,162
Position,40,40,233
Note-Velocity,25,25,153
Note-On,65,65,65
Note-Duration,5,5,164
Position,47,47,240
Note-Velocity,19,19,147
Note-On,63,63,63
Note-Duration,4,4,163
Position,48,48,241
Tempo-Class,3,3,260
Tempo,173.33,46,308
Position,52,52,245
Note-Velocity,25,25,153
Note-On,65,65,65
Note-Duration,3,3,162
Position,56,56,249
Note-Velocity,20,20,148
Note-On,63,63,63
Note-Duration,5,5,164
Bar,0,0,192
Position,0,0,193
Tempo-Class,4,4,261
Tempo,180.00,48,310
Chord-Tone,Bb,10,332
Chord-Type,,None,346
Chord-Slash,Bb,10,344
Note-Velocity,17,17,145
Note-On,62,62,62
Note-Duration,7,7,166
Position,15,15,208
MLU-Type,lick,0,397
MLU-Subtype,general,0,402
Note-Velocity,20,20,148
Note-On,58,58,58
Note-Duration,8,8,167
Position,16,16,209
Tempo-Class,4,4,261
Tempo,191.67,49,311
Position,25,25,218
Note-Velocity,18,18,146
Note-On,62,62,62
Note-Duration,4,4,163
Position,31,31,224
Note-Velocity,25,25,153
Note-On,65,65,65
Note-Duration,6,6,165
Position,32,32,225
Tempo-Class,4,4,261
Tempo,191.67,49,311
Position,42,42,235
Note-Velocity,25,25,153
Note-On,74,74,74
Note-Duration,6,6,165
Position,48,48,241
Tempo-Class,4,4,261
Tempo,180.00,48,310
Position,49,49,242
Note-Velocity,25,25,153
Note-On,72,72,72
Note-Duration,8,8,167
Position,60,60,253
Note-Velocity,20,20,148
Note-On,68,68,68
Note-Duration,5,5,164
Bar,0,0,192
Position,0,0,193
Tempo-Class,3,3,260
Tempo,176.67,47,309
Chord-Tone,Bb,10,332
Chord-Type,,None,346
Chord-Slash,Bb,10,344
Position,2,2,195
Note-Velocity,20,20,148
Note-On,67,67,67
Note-Duration,6,6,165
Position,9,9,202
Note-Velocity,22,22,150
Note-On,70,70,70
Note-Duration,8,8,167
Position,16,16,209
Tempo-Class,3,3,260
Tempo,166.67,44,306
Position,27,27,220
Note-Velocity,19,19,147
Note-On,62,62,62
Note-Duration,5,5,164
Position,31,31,224
Note-Velocity,24,24,152
Note-On,65,65,65
Note-Duration,7,7,166
Position,32,32,225
Tempo-Class,3,3,260
Tempo,176.67,47,309
Position,41,41,234
Note-Velocity,24,24,152
Note-On,70,70,70
Note-Duration,6,6,165
Position,48,48,241
Tempo-Class,3,3,260
Tempo,176.67,47,309
Position,49,49,242
Note-Velocity,21,21,149
Note-On,68,68,68
Note-Duration,6,6,165
Position,59,59,252
Note-Velocity,14,14,142
Note-On,63,63,63
Note-Duration,4,4,163
Bar,0,0,192
Position,0,0,193
Tempo-Class,3,3,260
Tempo,166.67,44,306
Chord-Tone,Eb,3,325
Chord-Type,,None,346
Chord-Slash,Eb,3,337
Note-Velocity,24,24,152
Note-On,67,67,67
Note-Duration,7,7,166
Position,7,7,200
Note-Velocity,17,17,145
Note-On,63,63,63
Note-Duration,5,5,164
Position,15,15,208
Note-Velocity,26,26,154
Note-On,65,65,65
Note-Duration,8,8,167
Position,16,16,209
Tempo-Class,3,3,260
Tempo,176.67,47,309
Position,28,28,221
Note-Velocity,15,15,143
Note-On,63,63,63
Note-Duration,4,4,163
Position,32,32,225
Tempo-Class,3,3,260
Tempo,170.00,45,307
Note-Velocity,25,25,153
Note-On,65,65,65
Note-Duration,8,8,167
Position,41,41,234
Note-Velocity,18,18,146
Note-On,63,63,63
Note-Duration,11,11,170
Position,48,48,241
Tempo-Class,3,3,260
Tempo,163.33,43,305
Bar,0,0,192
Position,0,0,193
Tempo-Class,3,3,260
Tempo,173.33,46,308
Chord-Tone,Eb,3,325
Chord-Type,,None,346
Chord-Slash,Eb,3,337
Position,9,9,202
Note-Velocity,27,27,155
Note-On,78,78,78
Note-Duration,7,7,166
Position,16,16,209
Tempo-Class,3,3,260
Tempo,173.33,46,308
Position,17,17,210
Note-Velocity,27,27,155
Note-On,77,77,77
Note-Duration,6,6,165
Position,25,25,218
Note-Velocity,25,25,153
Note-On,75,75,75
Note-Duration,5,5,164
Position,32,32,225
Tempo-Class,3,3,260
Tempo,170.00,45,307
Position,33,33,226
Note-Velocity,24,24,152
Note-On,72,72,72
Note-Duration,6,6,165
Position,48,48,241
Tempo-Class,3,3,260
Tempo,166.67,44,306
Note-Velocity,23,23,151
Note-On,70,70,70
Note-Duration,7,7,166
Bar,0,0,192
Position,0,0,193
Tempo-Class,3,3,260
Tempo,176.67,47,309
Chord-Tone,Bb,10,332
Chord-Type,,None,346
Chord-Slash,Bb,10,344
Note-Velocity,20,20,148
Note-On,70,70,70
Note-Duration,15,15,174
Position,16,16,209
Tempo-Class,3,3,260
Tempo,176.67,47,309
Position,30,30,223
Note-Velocity,22,22,150
Note-On,65,65,65
Note-Duration,9,9,168
Position,32,32,225
Tempo-Class,3,3,260
Tempo,173.33,46,308
Position,40,40,233
Note-Velocity,25,25,153
Note-On,74,74,74
Note-Duration,5,5,164
Position,47,47,240
Note-Velocity,26,26,154
Note-On,75,75,75
Note-Duration,9,9,168
Position,48,48,241
Tempo-Class,3,3,260
Tempo,166.67,44,306
Position,57,57,250
Note-Velocity,24,24,152
Note-On,74,74,74
Note-Duration,5,5,164
Bar,0,0,192
Position,0,0,193
Tempo-Class,4,4,261
Tempo,180.00,48,310
Chord-Tone,G,7,329
Chord-Type,7,None,368
Chord-Slash,G,7,341
Note-Velocity,16,16,144
Note-On,67,67,67
Note-Duration,26,26,185
Position,16,16,209
Tempo-Class,3,3,260
Tempo,160.00,42,304
Position,32,32,225
Tempo-Class,4,4,261
Tempo,180.00,48,310
Position,43,43,236
Note-Velocity,22,22,150
Note-On,74,74,74
Note-Duration,32,32,191
Position,48,48,241
Tempo-Class,3,3,260
Tempo,176.67,47,309
Bar,0,0,192
Position,0,0,193
Tempo-Class,3,3,260
Tempo,163.33,43,305
Chord-Tone,C,0,322
Chord-Type,-7,None,357
Chord-Slash,C,0,334
Position,16,16,209
Tempo-Class,3,3,260
Tempo,176.67,47,309
Position,24,24,217
Note-Velocity,25,25,153
Note-On,71,71,71
Note-Duration,7,7,166
Position,32,32,225
Tempo-Class,4,4,261
Tempo,180.00,48,310
Position,35,35,228
Note-Velocity,25,25,153
Note-On,72,72,72
Note-Duration,9,9,168
Position,45,45,238
Note-Velocity,26,26,154
Note-On,73,73,73
Note-Duration,6,6,165
Position,48,48,241
Tempo-Class,4,4,261
Tempo,180.00,48,310
Position,52,52,245
Note-Velocity,19,19,147
Note-On,74,74,74
Note-Duration,5,5,164
Position,58,58,251
Note-Velocity,24,24,152
Note-On,70,70,70
Note-Duration,10,10,169
Bar,0,0,192
Position,0,0,193
Tempo-Class,4,4,261
Tempo,180.00,48,310
Chord-Tone,F,5,327
Chord-Type,7,None,368
Chord-Slash,F,5,339
Position,5,5,198
Note-Velocity,22,22,150
Note-On,70,70,70
Note-Duration,2,2,161
Position,9,9,202
Note-Velocity,27,27,155
