EVENT,VALUE,VALUE_IDX,ENCODING
Part-Start,B,B,430
Rep-Start,1,1,439
Bar,0,0,192
Position,0,0,193
Tempo-Class,1,1,258
Tempo,85.00,14,276
Chord-Tone,D,2,324
Chord-Type,j7,None,381
Chord-Slash,D,2,336
Position,1,1,194
Phrase,0,0,393
MLU-Type,theme,0,401
Note-Velocity,17,17,145
Note-On,50,50,50
Note-Duration,17,17,176
Position,16,16,209
Tempo-Class,1,1,258
Tempo,90.00,16,278
Position,21,21,214
Note-Velocity,21,21,149
Note-On,52,52,52
Note-Duration,3,3,162
Position,24,24,217
Note-Velocity,21,21,149
Note-On,54,54,54
Note-Duration,7,7,166
Position,32,32,225
Tempo-Class,1,1,258
Tempo,92.50,17,279
Chord-Tone,E,4,326
Chord-Type,-7,None,357
Chord-Slash,E,4,338
Note-Velocity,21,21,149
Note-On,57,57,57
Note-Duration,10,10,169
Position,42,42,235
Note-Velocity,21,21,149
Note-On,64,64,64
Note-Duration,21,21,180
Position,48,48,241
Tempo-Class,1,1,258
Tempo,97.50,19,281
Bar,0,0,192
Position,0,0,193
Tempo-Class,1,1,258
Tempo,87.50,15,277
Chord-Tone,D,2,324
Chord-Type,,None,346
Chord-Slash,F#,6,340
Note-Velocity,24,24,152
Note-On,62,62,62
Note-Duration,9,9,168
Position,10,10,203
Note-Velocity,27,27,155
Note-On,66,66,66
Note-Duration,5,5,164
Position,16,16,209
Tempo-Class,1,1,258
Tempo,90.00,16,278
Note-Velocity,19,19,147
Note-On,69,69,69
Note-Duration,10,10,169
Position,26,26,219
Note-Velocity,25,25,153
Note-On,67,67,67
Note-Duration,5,5,164
Position,32,32,225
Tempo-Class,1,1,258
Tempo,92.50,17,279
Chord-Tone,G,7,329
Chord-Type,-7,None,357
Chord-Slash,G,7,341
Note-Velocity,27,27,155
Note-On,65,65,65
Note-Duration,5,5,164
Position,37,37,230
Note-Velocity,25,25,153
Note-On,66,66,66
Note-Duration,3,3,162
Position,41,41,234
