EVENT,VALUE,VALUE_IDX,ENCODING
Part-Start,I,I,433
Rep-Start,1,1,439
Bar,0,0,192
Position,0,0,193
Tempo-Class,2,2,259
Tempo,132.50,33,295
Position,16,16,209
Tempo-Class,3,3,260
Tempo,146.67,38,300
Position,32,32,225
Tempo-Class,3,3,260
Tempo,150.00,39,301
Position,39,39,232
Phrase,0,0,393
MLU-Type,line,0,398
MLU-Subtype,a,0,405
Note-Velocity,18,18,146
Note-On,47,47,47
Note-Duration,5,5,164
Position,44,44,237
Note-Velocity,22,22,150
Note-On,49,49,49
Note-Duration,2,2,161
Position,48,48,241
Tempo-Class,2,2,259
Tempo,137.50,35,297
Note-Velocity,24,24,152
Note-On,51,51,51
Note-Duration,4,4,163
Position,52,52,245
Note-Velocity,21,21,149
Note-On,53,53,53
Note-Duration,2,2,161
Position,56,56,249
Note-Velocity,23,23,151
Note-On,54,54,54
Note-Duration,4,4,163
Position,60,60,253
Note-Velocity,20,20,148
Note-On,56,56,56
Note-Duration,2,2,161
Rep-End,1,1,445
Part-End,I,I,438
Part-Start,A,A,429
Rep-Start,1,1,439
Bar,0,0,192
Position,0,0,193
Tempo-Class,2,2,259
Tempo,137.50,35,297
Chord-Tone,F,5,327
Chord-Type,6,None,365
Chord-Slash,F,5,339
Note-Velocity,17,17,145
Note-On,58,58,58
Note-Duration,2,2,161
Position,2,2,195
Note-Velocity,23,23,151
Note-On,60,60,60
Note-Duration,3,3,162
Position,7,7,200
Note-Velocity,19,19,147
Note-On,62,62,62
Note-Duration,3,3,162
Position,10,10,203
Note-Velocity,19,19,147
Note-On,63,63,63
Note-Duration,3,3,162
Position,14,14,207
Note-Velocity,16,16,144
Note-On,64,64,64
Note-Duration,3,3,162
Position,16,16,209
Tempo-Class,2,2,259
Tempo,127.50,31,293
Position,17,17,210
Note-Velocity,15,15,143
Note-On,66,66,66
Note-Duration,2,2,161
Position,20,20,213
Note-Velocity,15,15,143
Note-On,68,68,68
Note-Duration,3,3,162
Position,24,24,217
Note-Velocity,17,17,145
Note-On,69,69,69
Note-Duration,2,2,161
Position,27,27,220
Note-Velocity,17,17,145
Note-On,70,70,70
Note-Duration,3,3,162
Position,31,31,224
Note-Velocity,22,22,150
Note-On,72,72,72
Note-Duration,5,5,164
Position,32,32,225
Tempo-Class,2,2,259
Tempo,135.00,34,296
Chord-Tone,D,2,324
Chord-Type,7,None,368
Chord-Slash,D,2,336
Position,48,48,241
Tempo-Class,2,2,259
Tempo,127.50,31,293
Bar,0,0,192
Position,0,0,193
Tempo-Class,3,3,260
Tempo,140.00,36,298
Chord-Tone,G,7,329
Chord-Type,-7,None,357
Chord-Slash,G,7,341
Position,16,16,209
Tempo-Class,2,2,259
Tempo,125.00,30,292
Position,18,18,211
Phrase,0,0,393
MLU-Type,lick,0,397
MLU-Subtype,general,0,402
Note-Velocity,24,24,152
Note-On,70,70,70
Note-Duration,3,3,162
Position,22,22,215
Note-Velocity,25,25,153
Note-On,72,72,72
Note-Duration,3,3,162
Position,26,26,219
Note-Velocity,21,21,149
Note-On,69,69,69
Note-Duration,5,5,164
Position,32,32,225
Tempo-Class,2,2,259
Tempo,127.50,31,293
Chord-Tone,C,0,322
Chord-Type,7,None,368
Chord-Slash,C,0,334
Position,33,33,226
Note-Velocity,15,15,143
Note-On,67,67,67
Note-Duration,13,13,172
Position,48,48,241
Tempo-Class,2,2,259
Tempo,127.50,31,293
Note-Velocity,17,17,145
Note-On,65,65,65
Note-Duration,3,3,162
Position,52,52,245
Note-Velocity,16,16,144
Note-On,66,66,66
Note-Duration,1,1,160
Position,53,53,246
Note-Velocity,18,18,146
Note-On,65,65,65
Note-Duration,3,3,162
Position,57,57,250
Note-Velocity,18,18,146
Note-On,62,62,62
Note-Duration,5,5,164
Bar,0,0,192
Position,0,0,193
Tempo-Class,3,3,260
Tempo,140.00,36,298
Chord-Tone,G,7,329
Chord-Type,-7,None,357
Chord-Slash,G,7,341
Note-Velocity,20,20,148
Note-On,65,65,65
Note-Duration,10,10,169
Position,11,11,204
Note-Velocity,15,15,143
Note-On,62,62,62
Note-Duration,14,14,173
Position,16,16,209
Tempo-Class,2,2,259
Tempo,127.50,31,293
Position,25,25,218
Note-Velocity,18,18,146
Note-On,55,55,55
Note-Duration,5,5,164
Position,31,31,224
Note-Velocity,18,18,146
Note-On,48,48,48
Note-Duration,4,4,163
Position,32,32,225
Tempo-Class,2,2,259
Tempo,127.50,31,293
Chord-Tone,C,0,322
Chord-Type,7,None,368
Chord-Slash,C,0,334
Position,36,36,229
Note-Velocity,19,19,147
Note-On,53,53,53
Note-Duration,4,4,163
Position,41,41,234
Note-Velocity,19,19,147
Note-On,55,55,55
Note-Duration,4,4,163
Position,45,45,238
Note-Velocity,19,19,147
Note-On,56,56,56
Note-Duration,3,3,162
Position,48,48,241
Tempo-Class,2,2,259
Tempo,135.00,34,296
Position,49,49,242
Note-Velocity,22,22,150
Note-On,57,57,57
Note-Duration,4,4,163
Position,53,53,246
Note-Velocity,19,19,147
Note-On,57,57,57
Note-Duration,3,3,162
Position,57,57,250
Note-Velocity,20,20,148
Note-On,60,60,60
Note-Duration,7,7,166
Bar,0,0,192
Position,0,0,193
Tempo-Class,2,2,259
Tempo,135.00,34,296
Chord-Tone,F,5,327
Chord-Type,6,None,365
Chord-Slash,F,5,339
Note-Velocity,17,17,145
Note-On,55,55,55
Note-Duration,13,13,172
Position,16,16,209
Tempo-Class,3,3,260
Tempo,143.33,37,299
Position,20,20,213
Note-Velocity,15,15,143
Note-On,50,50,50
Note-Duration,7,7,166
Position,28,28,221
Note-Velocity,17,17,145
Note-On,53,53,53
Note-Duration,10,10,169
Position,32,32,225
Tempo-Class,3,3,260
Tempo,143.33,37,299
Position,48,48,241
Tempo-Class,2,2,259
Tempo,122.50,29,291
Bar,0,0,192
Position,0,0,193
Tempo-Class,3,3,260
Tempo,143.33,37,299
Chord-Tone,F,5,327
Chord-Type,7,None,368
Chord-Slash,F,5,339
Position,8,8,201
Phrase,0,0,393
MLU-Type,line,0,398
MLU-Subtype,a,0,405
Note-Velocity,21,21,149
Note-On,53,53,53
Note-Duration,5,5,164
Position,14,14,207
Note-Velocity,20,20,148
Note-On,55,55,55
Note-Duration,3,3,162
Position,16,16,209
Tempo-Class,2,2,259
Tempo,127.50,31,293
Position,17,17,210
Note-Velocity,21,21,149
Note-On,57,57,57
Note-Duration,2,2,161
Position,21,21,214
Note-Velocity,18,18,146
Note-On,58,58,58
Note-Duration,3,3,162
Position,25,25,218
Note-Velocity,20,20,148
Note-On,60,60,60
Note-Duration,3,3,162
Position,29,29,222
Note-Velocity,19,19,147
Note-On,62,62,62
Note-Duration,3,3,162
Position,32,32,225
Tempo-Class,3,3,260
Tempo,143.33,37,299
Position,34,34,227
Note-Velocity,20,20,148
Note-On,63,63,63
Note-Duration,2,2,161
Position,37,37,230
Note-Velocity,19,19,147
Note-On,64,64,64
Note-Duration,3,3,162
Position,41,41,234
Note-Velocity,17,17,145
Note-On,65,65,65
Note-Duration,13,13,172
Position,48,48,241
Tempo-Class,2,2,259
Tempo,130.00,32,294
Position,55,55,248
MLU-Type,lick,0,397
MLU-Subtype,general,0,402
Note-Velocity,17,17,145
Note-On,63,63,63
Note-Duration,7,7,166
Bar,0,0,192
Position,0,0,193
Tempo-Class,3,3,260
Tempo,140.00,36,298
Chord-Tone,Bb,10,332
Chord-Type,6,None,365
Chord-Slash,Bb,10,344
Note-Velocity,19,19,147
Note-On,60,60,60
Note-Duration,4,4,163
Position,4,4,197
Note-Velocity,18,18,146
Note-On,62,62,62
Note-Duration,6,6,165
Position,10,10,203
Note-Velocity,17,17,145
Note-On,65,65,65
Note-Duration,4,4,163
Position,16,16,209
Tempo-Class,2,2,259
Tempo,127.50,31,293
Position,17,17,210
Note-Velocity,16,16,144
Note-On,62,62,62
Note-Duration,5,5,164
Position,23,23,216
Note-Velocity,17,17,145
Note-On,60,60,60
Note-Duration,3,3,162
Position,28,28,221
Note-Velocity,17,17,145
Note-On,55,55,55
Note-Duration,17,17,176
Position,32,32,225
Tempo-Class,2,2,259
Tempo,135.00,34,296
Chord-Tone,G,7,329
Chord-Type,m7b5,None,386
Chord-Slash,G,7,341
Position,48,48,241
Tempo-Class,3,3,260
Tempo,140.00,36,298
Bar,0,0,192
Position,0,0,193
Tempo-Class,2,2,259
Tempo,137.50,35,297
Chord-Tone,C,0,322
Chord-Type,7,None,368
Chord-Slash,C,0,334
Position,9,9,202
Phrase,0,0,393
MLU-Type,lick,0,397
MLU-Subtype,general,0,402
Backref-Referred,0,0,417
Note-Velocity,24,24,152
Note-On,53,53,53
Note-Duration,6,6,165
Position,16,16,209
Tempo-Class,2,2,259
Tempo,137.50,35,297
Note-Velocity,18,18,146
Note-On,50,50,50
Note-Duration,5,5,164
Position,21,21,214
Note-Velocity,19,19,147
Note-On,51,51,51
Note-Duration,5,5,164
Position,26,26,219
Note-Velocity,23,23,151
Note-On,52,52,52
Note-Duration,4,4,163
Position,32,32,225
Tempo-Class,3,3,260
Tempo,146.67,38,300
Note-Velocity,19,19,147
Note-On,61,61,61
Note-Duration,5,5,164
Position,38,38,231
Note-Velocity,21,21,149
Note-On,60,60,60
Note-Duration,3,3,162
Position,43,43,236
Note-Velocity,18,18,146
Note-On,58,58,58
Note-Duration,4,4,163
Position,48,48,241
Tempo-Class,3,3,260
Tempo,143.33,37,299
Note-Velocity,19,19,147
