EVENT,VALUE,VALUE_IDX,ENCODING
Part-Start,I,I,433
Rep-Start,1,1,439
Position,32,32,225
Tempo-Class,1,1,258
Tempo,105.00,22,284
Position,45,45,238
Phrase,0,0,393
MLU-Type,melody,0,399
Backref-Referred,0,0,417
Note-Velocity,28,28,156
Note-On,56,56,56
Note-Duration,4,4,163
Position,48,48,241
Tempo-Class,1,1,258
Tempo,100.00,20,282
Position,50,50,243
Note-Velocity,28,28,156
Note-On,61,61,61
Note-Duration,4,4,163
Position,55,55,248
Note-Velocity,24,24,152
Note-On,64,64,64
Note-Duration,2,2,161
Position,57,57,250
Note-Velocity,26,26,154
Note-On,65,65,65
Note-Duration,3,3,162
Position,62,62,255
Note-Velocity,27,27,155
Note-On,68,68,68
Note-Duration,4,4,163
Rep-End,1,1,445
Part-End,I,I,438
Part-Start,A,A,429
Rep-Start,1,1,439
Bar,0,0,192
Position,0,0,193
Tempo-Class,1,1,258
Tempo,102.50,21,283
Chord-Tone,Db,1,323
Chord-Type,7,None,368
Chord-Slash,Db,1,335
Position,2,2,195
Note-Velocity,25,25,153
Note-On,61,61,61
Note-Duration,5,5,164
Position,12,12,205
Note-Velocity,27,27,155
Note-On,61,61,61
Note-Duration,6,6,165
Position,16,16,209
Tempo-Class,1,1,258
Tempo,100.00,20,282
Position,18,18,211
Note-Velocity,21,21,149
Note-On,61,61,61
Note-Duration,4,4,163
Position,23,23,216
Note-Velocity,18,18,146
Note-On,65,65,65
Note-Duration,21,21,180
Position,32,32,225
Tempo-Class,1,1,258
Tempo,100.00,20,282
Position,46,46,239
MLU-Type,melody,0,399
Backref-Distance,1,1,418
Backref-Variation,-,0,426
Note-Velocity,20,20,148
Note-On,68,68,68
Note-Duration,4,4,163
Position,48,48,241
Tempo-Class,1,1,258
Tempo,95.00,18,280
Position,51,51,244
Note-Velocity,20,20,148
Note-On,65,65,65
Note-Duration,3,3,162
Position,56,56,249
Note-Velocity,24,24,152
Note-On,61,61,61
Note-Duration,5,5,164
Position,62,62,255
Note-Velocity,22,22,150
Note-On,59,59,59
Note-Duration,4,4,163
Bar,0,0,192
Position,0,0,193
Tempo-Class,1,1,258
Tempo,95.00,18,280
Chord-Tone,Gb,6,328
Chord-Type,7,None,368
Chord-Slash,Gb,6,340
Position,4,4,197
Note-Velocity,21,21,149
Note-On,58,58,58
Note-Duration,5,5,164
Position,11,11,204
Note-Velocity,22,22,150
Note-On,58,58,58
Note-Duration,6,6,165
Position,16,16,209
Tempo-Class,1,1,258
Tempo,97.50,19,281
Position,20,20,213
Note-Velocity,21,21,149
Note-On,61,61,61
Note-Duration,5,5,164
Position,25,25,218
Note-Velocity,19,19,147
Note-On,64,64,64
Note-Duration,19,19,178
Position,32,32,225
Tempo-Class,1,1,258
Tempo,95.00,18,280
Chord-Tone,G,7,329
Chord-Type,o,None,387
Chord-Slash,G,7,341
Position,46,46,239
Note-Velocity,24,24,152
Note-On,68,68,68
Note-Duration,4,4,163
Position,48,48,241
Tempo-Class,1,1,258
Tempo,100.00,20,282
Position,52,52,245
Note-Velocity,23,23,151
Note-On,64,64,64
Note-Duration,4,4,163
Position,57,57,250
Note-Velocity,25,25,153
Note-On,61,61,61
Note-Duration,4,4,163
Position,62,62,255
Note-Velocity,22,22,150
Note-On,58,58,58
Note-Duration,5,5,164
Bar,0,0,192
Position,0,0,193
Tempo-Class,1,1,258
Tempo,100.00,20,282
Chord-Tone,Db,1,323
Chord-Type,7,None,368
Chord-Slash,Db,1,335
Position,6,6,199
Note-Velocity,24,24,152
Note-On,63,63,63
Note-Duration,4,4,163
Position,14,14,207
Note-Velocity,26,26,154
Note-On,63,63,63
Note-Duration,5,5,164
Position,16,16,209
Tempo-Class,1,1,258
Tempo,97.50,19,281
Position,20,20,213
Note-Velocity,17,17,145
Note-On,58,58,58
Note-Duration,16,16,175
Position,32,32,225
Tempo-Class,1,1,258
Tempo,102.50,21,283
Position,48,48,241
Tempo-Class,1,1,258
Tempo,97.50,19,281
Position,55,55,248
Phrase,0,0,393
MLU-Type,lick,0,397
MLU-Subtype,general,0,402
Note-Velocity,26,26,154
Note-On,56,56,56
Note-Duration,5,5,164
Position,62,62,255
Note-Velocity,24,24,152
Note-On,54,54,54
Note-Duration,4,4,163
Bar,0,0,192
Position,0,0,193
Tempo-Class,1,1,258
Tempo,102.50,21,283
Chord-Tone,Db,1,323
Chord-Type,7,None,368
Chord-Slash,Db,1,335
Position,4,4,197
Note-Velocity,22,22,150
Note-On,53,53,53
Note-Duration,3,3,162
Position,10,10,203
Note-Velocity,23,23,151
Note-On,53,53,53
Note-Duration,4,4,163
Position,14,14,207
Note-Velocity,20,20,148
Note-On,61,61,61
Note-Duration,5,5,164
Position,16,16,209
Tempo-Class,1,1,258
Tempo,100.00,20,282
Position,20,20,213
Note-Velocity,20,20,148
Note-On,63,63,63
Note-Duration,7,7,166
Position,27,27,220
Note-Velocity,23,23,151
Note-On,59,59,59
Note-Duration,5,5,164
Position,32,32,225
Tempo-Class,1,1,258
Tempo,95.00,18,280
Note-Velocity,19,19,147
Note-On,56,56,56
Note-Duration,2,2,161
Position,34,34,227
Note-Velocity,22,22,150
Note-On,58,58,58
Note-Duration,2,2,161
Position,38,38,231
Note-Velocity,20,20,148
Note-On,56,56,56
Note-Duration,3,3,162
Position,41,41,234
Note-Velocity,20,20,148
Note-On,51,51,51
Note-Duration,2,2,161
Position,44,44,237
Note-Velocity,19,19,147
Note-On,54,54,54
Note-Duration,3,3,162
Position,47,47,240
Note-Velocity,13,13,141
Note-On,53,53,53
Note-Duration,14,14,173
Position,48,48,241
Tempo-Class,1,1,258
Tempo,105.00,22,284
Bar,0,0,192
Position,0,0,193
Tempo-Class,1,1,258
Tempo,95.00,18,280
Chord-Tone,Gb,6,328
Chord-Type,7,None,368
Chord-Slash,Gb,6,340
Position,11,11,204
Phrase,0,0,393
MLU-Type,line,0,398
MLU-Subtype,w,0,411
Note-Velocity,24,24,152
Note-On,52,52,52
Note-Duration,3,3,162
Position,15,15,208
Note-Velocity,21,21,149
Note-On,54,54,54
Note-Duration,3,3,162
Position,16,16,209
Tempo-Class,1,1,258
Tempo,95.00,18,280
Position,18,18,211
Note-Velocity,26,26,154
Note-On,56,56,56
Note-Duration,4,4,163
Position,22,22,215
Note-Velocity,24,24,152
Note-On,58,58,58
Note-Duration,3,3,162
Position,25,25,218
Note-Velocity,26,26,154
Note-On,61,61,61
Note-Duration,4,4,163
Position,30,30,223
Note-Velocity,29,29,157
Note-On,63,63,63
Note-Duration,3,3,162
Position,32,32,225
Tempo-Class,1,1,258
Tempo,102.50,21,283
Position,34,34,227
Note-Velocity,25,25,153
Note-On,64,64,64
Note-Duration,3,3,162
Position,38,38,231
Note-Velocity,19,19,147
Note-On,66,66,66
Note-Duration,2,2,161
Position,41,41,234
Note-Velocity,25,25,153
Note-On,68,68,68
Note-Duration,3,3,162
Position,46,46,239
Note-Velocity,27,27,155
Note-On,63,63,63
Note-Duration,4,4,163
Position,48,48,241
Tempo-Class,1,1,258
Tempo,102.50,21,283
Position,50,50,243
Note-Velocity,25,25,153
Note-On,61,61,61
Note-Duration,3,3,162
Position,54,54,247
Note-Velocity,22,22,150
Note-On,58,58,58
Note-Duration,4,4,163
Position,59,59,252
Note-Velocity,20,20,148
Note-On,62,62,62
Note-Duration,3,3,162
Position,62,62,255
Note-Velocity,23,23,151
Note-On,63,63,63
Note-Duration,11,11,170
Bar,0,0,192
Position,0,0,193
Tempo-Class,1,1,258
Tempo,100.00,20,282
Chord-Tone,Gb,6,328
Chord-Type,7,None,368
Chord-Slash,Gb,6,340
Position,10,10,203
Note-Velocity,22,22,150
Note-On,61,61,61
Note-Duration,2,2,161
Position,13,13,206
Note-Velocity,22,22,150
Note-On,63,63,63
Note-Duration,2,2,161
Position,15,15,208
Note-Velocity,24,24,152
Note-On,62,62,62
Note-Duration,2,2,161
Position,16,16,209
Tempo-Class,1,1,258
Tempo,100.00,20,282
Position,18,18,211
Note-Velocity,25,25,153
Note-On,61,61,61
Note-Duration,4,4,163
Position,22,22,215
Note-Velocity,22,22,150
Note-On,58,58,58
Note-Duration,4,4,163
Position,26,26,219
Note-Velocity,22,22,150
Note-On,56,56,56
Note-Duration,3,3,162
Position,30,30,223
Note-Velocity,22,22,150
Note-On,54,54,54
Note-Duration,4,4,163
Position,32,32,225
Tempo-Class,1,1,258
Tempo,105.00,22,284
Chord-Tone,G,7,329
Chord-Type,o,None,387
Chord-Slash,G,7,341
Position,34,34,227
Note-Velocity,22,22,150
Note-On,56,56,56
Note-Duration,4,4,163
Position,42,42,235
MLU-Type,melody,0,399
Note-Velocity,20,20,148
Note-On,51,51,51
Note-Duration,5,5,164
Position,48,48,241
Tempo-Class,1,1,258
Tempo,100.00,20,282
Position,50,50,243
Note-Velocity,20,20,148
Note-On,58,58,58
Note-Duration,8,8,167
Position,59,59,252
Note-Velocity,25,25,153
Note-On,57,57,57
Note-Duration,3,3,162
Bar,0,0,192
Position,0,0,193
Tempo-Class,1,1,258
Tempo,92.50,17,279
Chord-Tone,Db,1,323
Chord-Type,7,None,368
Chord-Slash,Db,1,335
Position,1,1,194
Note-Velocity,18,18,146
Note-On,56,56,56
Note-Duration,11,11,170
Position,16,16,209
Tempo-Class,1,1,258
Tempo,92.50,17,279
Position,23,23,216
Phrase,0,0,393
MLU-Type,lick,0,397
MLU-Subtype,general,0,402
Note-Velocity,25,25,153
