EVENT,VALUE,VALUE_IDX,ENCODING
Part-Start,A,A,429
Rep-Start,1,1,439
Bar,0,0,192
Position,0,0,193
Tempo-Class,2,2,259
Tempo,122.50,29,291
Chord-Tone,A,9,331
Chord-Type,-7,None,357
Chord-Slash,A,9,343
Position,16,16,209
Tempo-Class,2,2,259
Tempo,115.00,26,288
Position,32,32,225
Tempo-Class,2,2,259
Tempo,115.00,26,288
Chord-Tone,D,2,324
Chord-Type,7,None,368
Chord-Slash,D,2,336
Position,48,48,241
Tempo-Class,2,2,259
Tempo,117.50,27,289
Position,57,57,250
Phrase,0,0,393
MLU-Type,lick,0,397
MLU-Subtype,general,0,402
Backref-Referred,0,0,417
Note-Velocity,18,18,146
Note-On,55,55,55
Note-Duration,3,3,162
Position,62,62,255
Note-Velocity,19,19,147
Note-On,57,57,57
Note-Duration,4,4,163
Bar,0,0,192
Position,0,0,193
Tempo-Class,2,2,259
Tempo,120.00,28,290
Chord-Tone,G,7,329
Chord-Type,,None,346
Chord-Slash,G,7,341
Position,5,5,198
Note-Velocity,17,17,145
Note-On,48,48,48
Note-Duration,7,7,166
Position,12,12,205
Note-Velocity,21,21,149
Note-On,43,43,43
Note-Duration,5,5,164
Position,16,16,209
Tempo-Class,2,2,259
Tempo,115.00,26,288
Position,18,18,211
Note-Velocity,17,17,145
Note-On,45,45,45
Note-Duration,11,11,170
Position,32,32,225
Tempo-Class,2,2,259
Tempo,115.00,26,288
Chord-Tone,E,4,326
Chord-Type,7,None,368
Chord-Slash,E,4,338
Position,33,33,226
Note-Velocity,18,18,146
Note-On,50,50,50
Note-Duration,9,9,168
Position,46,46,239
Note-Velocity,19,19,147
Note-On,42,42,42
Note-Duration,4,4,163
Position,48,48,241
Tempo-Class,1,1,258
Tempo,110.00,24,286
Position,50,50,243
Note-Velocity,15,15,143
Note-On,45,45,45
Note-Duration,10,10,169
Bar,0,0,192
Position,0,0,193
Tempo-Class,2,2,259
Tempo,112.50,25,287
Chord-Tone,A,9,331
Chord-Type,-7,None,357
Chord-Slash,A,9,343
Position,1,1,194
Note-Velocity,17,17,145
Note-On,51,51,51
Note-Duration,9,9,168
Position,12,12,205
Note-Velocity,22,22,150
Note-On,43,43,43
Note-Duration,6,6,165
Position,16,16,209
Tempo-Class,2,2,259
Tempo,112.50,25,287
Position,18,18,211
Note-Velocity,17,17,145
Note-On,45,45,45
Note-Duration,10,10,169
Position,32,32,225
Tempo-Class,1,1,258
Tempo,107.50,23,285
Chord-Tone,D,2,324
Chord-Type,7,None,368
Chord-Slash,D,2,336
Position,34,34,227
Note-Velocity,17,17,145
Note-On,52,52,52
Note-Duration,7,7,166
Position,44,44,237
Note-Velocity,15,15,143
Note-On,43,43,43
Note-Duration,3,3,162
Position,48,48,241
Tempo-Class,2,2,259
Tempo,115.00,26,288
Note-Velocity,16,16,144
Note-On,45,45,45
Note-Duration,12,12,171
Bar,0,0,192
Position,0,0,193
Tempo-Class,2,2,259
Tempo,117.50,27,289
Chord-Tone,D,2,324
Chord-Type,-7,None,357
Chord-Slash,D,2,336
Position,2,2,195
Note-Velocity,16,16,144
Note-On,53,53,53
Note-Duration,9,9,168
Position,14,14,207
Note-Velocity,15,15,143
Note-On,54,54,54
Note-Duration,10,10,169
Position,16,16,209
Tempo-Class,2,2,259
Tempo,120.00,28,290
Position,29,29,222
Note-Velocity,16,16,144
Note-On,55,55,55
Note-Duration,12,12,171
Position,32,32,225
Tempo-Class,2,2,259
Tempo,112.50,25,287
