EVENT,VALUE,VALUE_IDX,ENCODING
Part-Start,I,I,433
Rep-Start,1,1,439
Bar,0,0,192
Position,0,0,193
Tempo-Class,4,4,261
Tempo,180.00,48,310
Chord-Tone,Bb,10,332
Chord-Type,6,None,365
Chord-Slash,Bb,10,344
Position,16,16,209
Tempo-Class,3,3,260
Tempo,163.33,43,305
Position,32,32,225
Tempo-Class,3,3,260
Tempo,166.67,44,306
Position,43,43,236
Phrase,0,0,393
MLU-Type,lick,0,397
MLU-Subtype,general,0,402
Backref-Referred,0,0,417
Note-Velocity,23,23,151
Note-On,57,57,57
Note-Duration,3,3,162
Position,47,47,240
Note-Velocity,19,19,147
Note-On,58,58,58
Note-Duration,8,8,167
Position,48,48,241
Tempo-Class,3,3,260
Tempo,166.67,44,306
Position,59,59,252
Note-Velocity,20,20,148
Note-On,55,55,55
Note-Duration,3,3,162
Bar,0,0,192
Position,0,0,193
Tempo-Class,3,3,260
Tempo,170.00,45,307
Chord-Tone,C,0,322
Chord-Type,-7,None,357
Chord-Slash,C,0,334
Note-Velocity,21,21,149
Note-On,57,57,57
Note-Duration,7,7,166
Position,8,8,201
Note-Velocity,18,18,146
Note-On,58,58,58
Note-Duration,7,7,166
Position,16,16,209
Tempo-Class,3,3,260
Tempo,176.67,47,309
Note-Velocity,21,21,149
Note-On,60,60,60
Note-Duration,9,9,168
Position,32,32,225
Tempo-Class,3,3,260
Tempo,176.67,47,309
Chord-Tone,F,5,327
Chord-Type,7,None,368
Chord-Slash,F,5,339
Position,42,42,235
MLU-Type,lick,0,397
MLU-Subtype,general,0,402
Backref-Distance,1,1,418
Backref-Variation,+,0,427
Note-Velocity,24,24,152
Note-On,57,57,57
Note-Duration,3,3,162
Position,48,48,241
Tempo-Class,3,3,260
Tempo,176.67,47,309
Note-Velocity,16,16,144
Note-On,58,58,58
Note-Duration,8,8,167
Position,59,59,252
Note-Velocity,17,17,145
Note-On,60,60,60
Note-Duration,3,3,162
Rep-End,1,1,445
Part-End,I,I,438
Part-Start,A,A,429
Rep-Start,1,1,439
Bar,0,0,192
Position,0,0,193
Tempo-Class,4,4,261
Tempo,180.00,48,310
Chord-Tone,Bb,10,332
Chord-Type,69,None,366
Chord-Slash,Bb,10,344
Note-Velocity,21,21,149
Note-On,62,62,62
Note-Duration,8,8,167
Position,11,11,204
Note-Velocity,20,20,148
Note-On,58,58,58
Note-Duration,4,4,163
Position,16,16,209
Tempo-Class,4,4,261
Tempo,180.00,48,310
Note-Velocity,21,21,149
Note-On,60,60,60
Note-Duration,8,8,167
Position,28,28,221
Note-Velocity,16,16,144
Note-On,57,57,57
Note-Duration,5,5,164
Position,32,32,225
Tempo-Class,3,3,260
Tempo,170.00,45,307
Chord-Tone,Bb,10,332
Chord-Type,7,None,368
Chord-Slash,Bb,10,344
Position,34,34,227
Note-Velocity,22,22,150
Note-On,58,58,58
Note-Duration,8,8,167
Position,44,44,237
Note-Velocity,21,21,149
Note-On,60,60,60
Note-Duration,8,8,167
Position,48,48,241
Tempo-Class,3,3,260
Tempo,163.33,43,305
Position,52,52,245
Note-Velocity,14,14,142
Note-On,62,62,62
Note-Duration,10,10,169
Position,62,62,255
Note-Velocity,15,15,143
Note-On,63,63,63
Note-Duration,3,3,162
Bar,0,0,192
Position,0,0,193
Tempo-Class,3,3,260
Tempo,170.00,45,307
Chord-Tone,Eb,3,325
Chord-Type,-7,None,357
Chord-Slash,Eb,3,337
Position,3,3,196
Note-Velocity,20,20,148
Note-On,65,65,65
Note-Duration,12,12,171
Position,15,15,208
Note-Velocity,18,18,146
Note-On,63,63,63
Note-Duration,7,7,166
Position,16,16,209
Tempo-Class,4,4,261
Tempo,180.00,48,310
Position,28,28,221
Note-Velocity,16,16,144
Note-On,54,54,54
Note-Duration,28,28,187
Position,32,32,225
Tempo-Class,3,3,260
Tempo,173.33,46,308
Chord-Tone,Ab,8,330
Chord-Type,7,None,368
Chord-Slash,Ab,8,342
Position,48,48,241
Tempo-Class,3,3,260
Tempo,173.33,46,308
Position,58,58,251
MLU-Type,lick,0,397
MLU-Subtype,general,0,402
Backref-Referred,0,0,417
Note-Velocity,22,22,150
Note-On,63,63,63
Note-Duration,7,7,166
Bar,0,0,192
Position,0,0,193
Tempo-Class,3,3,260
Tempo,176.67,47,309
Chord-Tone,D,2,324
Chord-Type,-7,None,357
Chord-Slash,D,2,336
Position,4,4,197
Note-Velocity,20,20,148
Note-On,62,62,62
Note-Duration,8,8,167
Position,16,16,209
Tempo-Class,3,3,260
Tempo,176.67,47,309
Note-Velocity,22,22,150
Note-On,58,58,58
Note-Duration,7,7,166
Position,27,27,220
Note-Velocity,21,21,149
Note-On,53,53,53
Note-Duration,5,5,164
Position,32,32,225
Tempo-Class,3,3,260
Tempo,176.67,47,309
Chord-Tone,G,7,329
Chord-Type,7,None,368
Chord-Slash,G,7,341
Note-Velocity,20,20,148
Note-On,51,51,51
Note-Duration,4,4,163
Position,37,37,230
Note-Velocity,19,19,147
Note-On,52,52,52
Note-Duration,8,8,167
Position,48,48,241
Tempo-Class,3,3,260
Tempo,176.67,47,309
Note-Velocity,21,21,149
Note-On,61,61,61
Note-Duration,7,7,166
Bar,0,0,192
Position,0,0,193
Tempo-Class,3,3,260
Tempo,170.00,45,307
Chord-Tone,C,0,322
Chord-Type,-7,None,357
Chord-Slash,C,0,334
Position,1,1,194
Note-Velocity,20,20,148
Note-On,60,60,60
Note-Duration,16,16,175
Position,16,16,209
Tempo-Class,3,3,260
Tempo,170.00,45,307
Position,18,18,211
Note-Velocity,18,18,146
Note-On,58,58,58
Note-Duration,7,7,166
Position,29,29,222
Note-Velocity,20,20,148
Note-On,57,57,57
Note-Duration,7,7,166
Position,32,32,225
Tempo-Class,3,3,260
Tempo,176.67,47,309
Chord-Tone,F,5,327
Chord-Type,7,None,368
Chord-Slash,F,5,339
Position,42,42,235
Note-Velocity,23,23,151
Note-On,55,55,55
Note-Duration,6,6,165
Position,48,48,241
Tempo-Class,3,3,260
Tempo,173.33,46,308
Position,50,50,243
Note-Velocity,19,19,147
Note-On,53,53,53
Note-Duration,6,6,165
Position,59,59,252
Note-Velocity,20,20,148
Note-On,51,51,51
Note-Duration,5,5,164
Bar,0,0,192
Position,0,0,193
Tempo-Class,4,4,261
Tempo,180.00,48,310
Chord-Tone,Bb,10,332
Chord-Type,j7,None,381
Chord-Slash,Bb,10,344
Position,1,1,194
Note-Velocity,18,18,146
Note-On,50,50,50
Note-Duration,9,9,168
Position,12,12,205
Note-Velocity,19,19,147
Note-On,60,60,60
Note-Duration,9,9,168
Position,16,16,209
Tempo-Class,4,4,261
Tempo,180.00,48,310
Position,32,32,225
Tempo-Class,3,3,260
Tempo,173.33,46,308
Chord-Tone,G,7,329
Chord-Type,7,None,368
Chord-Slash,G,7,341
Position,33,33,226
Note-Velocity,18,18,146
Note-On,55,55,55
Note-Duration,14,14,173
Position,48,48,241
Tempo-Class,3,3,260
Tempo,170.00,45,307
Bar,0,0,192
Position,0,0,193
Tempo-Class,3,3,260
Tempo,173.33,46,308
Chord-Tone,C,0,322
Chord-Type,-7,None,357
Chord-Slash,C,0,334
Position,16,16,209
Tempo-Class,3,3,260
Tempo,170.00,45,307
Position,26,26,219
Note-Velocity,25,25,153
Note-On,55,55,55
Note-Duration,5,5,164
Position,32,32,225
Tempo-Class,4,4,261
Tempo,180.00,48,310
Chord-Tone,F,5,327
Chord-Type,7,None,368
Chord-Slash,F,5,339
Note-Velocity,22,22,150
Note-On,60,60,60
Note-Duration,8,8,167
Position,43,43,236
Note-Velocity,21,21,149
Note-On,55,55,55
Note-Duration,4,4,163
Position,48,48,241
Tempo-Class,3,3,260
Tempo,176.67,47,309
Note-Velocity,25,25,153
Note-On,58,58,58
Note-Duration,8,8,167
Position,58,58,251
Note-Velocity,25,25,153
Note-On,57,57,57
Note-Duration,7,7,166
Bar,0,0,192
Position,0,0,193
Tempo-Class,3,3,260
Tempo,176.67,47,309
Chord-Tone,Bb,10,332
Chord-Type,j7,None,381
Chord-Slash,Bb,10,344
Position,11,11,204
Note-Velocity,14,14,142
Note-On,53,53,53
Note-Duration,21,21,180
Position,16,16,209
Tempo-Class,3,3,260
Tempo,176.67,47,309
Position,32,32,225
Tempo-Class,3,3,260
Tempo,173.33,46,308
Chord-Tone,G,7,329
Chord-Type,7,None,368
Chord-Slash,G,7,341
Position,33,33,226
Note-Velocity,24,24,152
Note-On,56,56,56
Note-Duration,8,8,167
Position,42,42,235
Note-Velocity,24,24,152
Note-On,55,55,55
Note-Duration,7,7,166
Position,48,48,241
Tempo-Class,4,4,261
Tempo,180.00,48,310
Position,50,50,243
Note-Velocity,16,16,144
Note-On,54,54,54
Note-Duration,10,10,169
Position,62,62,255
Note-Velocity,20,20,148
Note-On,55,55,55
Note-Duration,4,4,163
Bar,0,0,192
Position,0,0,193
Tempo-Class,3,3,260
Tempo,166.67,44,306
Chord-Tone,C,0,322
Chord-Type,-7,None,357
Chord-Slash,C,0,334
Position,2,2,195
Note-Velocity,20,20,148
Note-On,60,60,60
Note-Duration,16,16,175
Position,16,16,209
Tempo-Class,3,3,260
Tempo,170.00,45,307
Position,19,19,212
Note-Velocity,22,22,150
Note-On,58,58,58
Note-Duration,7,7,166
Position,28,28,221
Note-Velocity,19,19,147
Note-On,56,56,56
Note-Duration,4,4,163
Position,32,32,225
Tempo-Class,3,3,260
Tempo,166.67,44,306
Chord-Tone,F,5,327
