EVENT,VALUE,VALUE_IDX,ENCODING
Part-Start,I,I,433
Rep-Start,1,1,439
Position,16,16,209
Tempo-Class,3,3,260
Tempo,143.33,37,299
Position,23,23,216
Phrase,0,0,393
MLU-Type,melody,0,399
Note-Velocity,23,23,151
Note-On,61,61,61
Note-Duration,2,2,161
Position,25,25,218
Note-Velocity,23,23,151
Note-On,62,62,62
Note-Duration,3,3,162
Position,28,28,221
Note-Velocity,23,23,151
Note-On,65,65,65
Note-Duration,3,3,162
Position,32,32,225
Tempo-Class,3,3,260
Tempo,143.33,37,299
Note-Velocity,24,24,152
Note-On,62,62,62
Note-Duration,3,3,162
Position,36,36,229
Note-Velocity,25,25,153
Note-On,63,63,63
Note-Duration,3,3,162
Position,39,39,232
Note-Velocity,23,23,151
Note-On,65,65,65
Note-Duration,3,3,162
Position,43,43,236
Note-Velocity,22,22,150
Note-On,67,67,67
Note-Duration,4,4,163
Position,47,47,240
Note-Velocity,25,25,153
Note-On,69,69,69
Note-Duration,3,3,162
Position,48,48,241
Tempo-Class,3,3,260
Tempo,143.33,37,299
Position,50,50,243
Note-Velocity,25,25,153
Note-On,70,70,70
Note-Duration,12,12,171
Position,63,63,256
Note-Velocity,23,23,151
Note-On,69,69,69
Note-Duration,3,3,162
Rep-End,1,1,445
Part-End,I,I,438
Part-Start,A,A,429
Rep-Start,1,1,439
Bar,0,0,192
Position,0,0,193
Tempo-Class,3,3,260
Tempo,143.33,37,299
Chord-Tone,Bb,10,332
Chord-Type,j7,None,381
Chord-Slash,Bb,10,344
Position,2,2,195
Note-Velocity,20,20,148
Note-On,67,67,67
Note-Duration,3,3,162
Position,5,5,198
Note-Velocity,24,24,152
Note-On,65,65,65
Note-Duration,24,24,183
Position,16,16,209
Tempo-Class,3,3,260
Tempo,143.33,37,299
Position,30,30,223
Note-Velocity,22,22,150
Note-On,61,61,61
Note-Duration,3,3,162
Position,32,32,225
Tempo-Class,2,2,259
Tempo,137.50,35,297
Chord-Tone,G,7,329
Chord-Type,79b,None,377
Chord-Slash,B,11,345
Position,33,33,226
Note-Velocity,22,22,150
Note-On,62,62,62
Note-Duration,27,27,186
Position,48,48,241
Tempo-Class,2,2,259
Tempo,137.50,35,297
Position,61,61,254
Note-Velocity,22,22,150
Note-On,65,65,65
Note-Duration,3,3,162
Bar,0,0,192
Position,0,0,193
Tempo-Class,2,2,259
Tempo,137.50,35,297
Chord-Tone,C,0,322
Chord-Type,-7,None,357
Chord-Slash,C,0,334
Position,1,1,194
Note-Velocity,22,22,150
Note-On,63,63,63
Note-Duration,14,14,173
Position,15,15,208
Note-Velocity,20,20,148
Note-On,65,65,65
Note-Duration,12,12,171
Position,16,16,209
Tempo-Class,3,3,260
Tempo,146.67,38,300
Position,29,29,222
Note-Velocity,20,20,148
Note-On,67,67,67
Note-Duration,21,21,180
Position,32,32,225
Tempo-Class,2,2,259
Tempo,137.50,35,297
Chord-Tone,F,5,327
Chord-Type,7,None,368
Chord-Slash,F,5,339
Position,48,48,241
Tempo-Class,2,2,259
Tempo,140.00,36,298
Position,49,49,242
Note-Velocity,22,22,150
Note-On,69,69,69
Note-Duration,9,9,168
Position,58,58,251
Note-Velocity,18,18,146
Note-On,65,65,65
Note-Duration,28,28,187
Bar,0,0,192
Position,0,0,193
Tempo-Class,2,2,259
Tempo,137.50,35,297
Chord-Tone,Bb,10,332
Chord-Type,j7,None,381
Chord-Slash,Bb,10,344
Position,16,16,209
Tempo-Class,3,3,260
Tempo,140.00,36,298
Position,32,32,225
Tempo-Class,2,2,259
Tempo,140.00,36,298
Chord-Tone,G,7,329
Chord-Type,7,None,368
Chord-Slash,G,7,341
Position,48,48,241
Tempo-Class,3,3,260
Tempo,140.00,36,298
Bar,0,0,192
Position,0,0,193
Tempo-Class,3,3,260
Tempo,140.00,36,298
Chord-Tone,C,0,322
Chord-Type,-7,None,357
Chord-Slash,C,0,334
Phrase,0,0,393
MLU-Type,line,0,398
MLU-Subtype,cx,0,407
Note-Velocity,21,21,149
Note-On,60,60,60
Note-Duration,2,2,161
Position,1,1,194
Note-Velocity,23,23,151
Note-On,62,62,62
Note-Duration,3,3,162
Position,4,4,197
Note-Velocity,23,23,151
Note-On,63,63,63
Note-Duration,2,2,161
Position,6,6,199
Note-Velocity,21,21,149
Note-On,65,65,65
Note-Duration,2,2,161
Position,8,8,201
Note-Velocity,18,18,146
Note-On,67,67,67
Note-Duration,2,2,161
Position,13,13,206
Note-Velocity,23,23,151
Note-On,62,62,62
Note-Duration,4,4,163
Position,16,16,209
Tempo-Class,3,3,260
Tempo,140.00,36,298
Position,17,17,210
Note-Velocity,25,25,153
Note-On,63,63,63
Note-Duration,2,2,161
Position,19,19,212
Note-Velocity,23,23,151
Note-On,65,65,65
Note-Duration,2,2,161
Position,21,21,214
Note-Velocity,24,24,152
Note-On,67,67,67
Note-Duration,2,2,161
Position,24,24,217
Note-Velocity,23,23,151
Note-On,68,68,68
Note-Duration,2,2,161
Position,25,25,218
Note-Velocity,24,24,152
Note-On,71,71,71
Note-Duration,2,2,161
Position,28,28,221
Note-Velocity,26,26,154
Note-On,73,73,73
Note-Duration,14,14,173
Position,32,32,225
Tempo-Class,2,2,259
Tempo,140.00,36,298
Chord-Tone,F,5,327
Chord-Type,7,None,368
Chord-Slash,F,5,339
Position,41,41,234
Note-Velocity,24,24,152
Note-On,71,71,71
Note-Duration,3,3,162
Position,44,44,237
Note-Velocity,22,22,150
Note-On,69,69,69
Note-Duration,2,2,161
Position,46,46,239
Note-Velocity,24,24,152
Note-On,68,68,68
Note-Duration,3,3,162
Position,48,48,241
Tempo-Class,2,2,259
Tempo,137.50,35,297
Position,50,50,243
Note-Velocity,21,21,149
Note-On,66,66,66
Note-Duration,2,2,161
Position,52,52,245
Note-Velocity,24,24,152
Note-On,63,63,63
Note-Duration,2,2,161
Position,54,54,247
Note-Velocity,22,22,150
Note-On,61,61,61
Note-Duration,2,2,161
Position,57,57,250
Note-Velocity,19,19,147
Note-On,59,59,59
Note-Duration,2,2,161
Position,60,60,253
Note-Velocity,19,19,147
Note-On,56,56,56
Note-Duration,1,1,160
Position,61,61,254
Note-Velocity,22,22,150
Note-On,54,54,54
Note-Duration,1,1,160
Bar,0,0,192
Position,0,0,193
Tempo-Class,3,3,260
Tempo,143.33,37,299
Chord-Tone,Bb,10,332
Chord-Type,j7,None,381
Chord-Slash,Bb,10,344
Note-Velocity,20,20,148
Note-On,53,53,53
Note-Duration,2,2,161
Position,1,1,194
Note-Velocity,20,20,148
Note-On,51,51,51
Note-Duration,2,2,161
Position,3,3,196
Note-Velocity,21,21,149
Note-On,50,50,50
Note-Duration,2,2,161
Position,4,4,197
Note-Velocity,20,20,148
Note-On,47,47,47
Note-Duration,2,2,161
Position,7,7,200
Note-Velocity,20,20,148
Note-On,46,46,46
Note-Duration,11,11,170
Position,16,16,209
Tempo-Class,2,2,259
Tempo,137.50,35,297
Position,32,32,225
Tempo-Class,3,3,260
Tempo,140.00,36,298
Chord-Tone,G,7,329
Chord-Type,79b,None,377
Chord-Slash,B,11,345
Position,42,42,235
Phrase,0,0,393
MLU-Type,line,0,398
MLU-Subtype,w,0,411
Note-Velocity,25,25,153
Note-On,67,67,67
Note-Duration,4,4,163
Position,46,46,239
Note-Velocity,23,23,151
Note-On,66,66,66
Note-Duration,3,3,162
Position,48,48,241
Tempo-Class,3,3,260
Tempo,140.00,36,298
Position,50,50,243
Note-Velocity,22,22,150
Note-On,65,65,65
Note-Duration,5,5,164
Position,55,55,248
Note-Velocity,22,22,150
Note-On,63,63,63
Note-Duration,3,3,162
Position,58,58,251
Note-Velocity,22,22,150
Note-On,62,62,62
Note-Duration,4,4,163
Position,62,62,255
Note-Velocity,19,19,147
Note-On,60,60,60
Note-Duration,5,5,164
Bar,0,0,192
Position,0,0,193
Tempo-Class,3,3,260
Tempo,146.67,38,300
Chord-Tone,C,0,322
Chord-Type,-7,None,357
Chord-Slash,C,0,334
Position,3,3,196
Note-Velocity,19,19,147
Note-On,59,59,59
Note-Duration,3,3,162
Position,6,6,199
Note-Velocity,20,20,148
Note-On,55,55,55
Note-Duration,4,4,163
Position,10,10,203
Note-Velocity,19,19,147
Note-On,57,57,57
Note-Duration,3,3,162
Position,14,14,207
Note-Velocity,18,18,146
Note-On,59,59,59
Note-Duration,5,5,164
Position,16,16,209
Tempo-Class,3,3,260
Tempo,143.33,37,299
Position,21,21,214
Note-Velocity,24,24,152
Note-On,62,62,62
Note-Duration,3,3,162
Position,25,25,218
Note-Velocity,21,21,149
Note-On,63,63,63
Note-Duration,4,4,163
Position,29,29,222
Note-Velocity,19,19,147
Note-On,65,65,65
Note-Duration,3,3,162
Position,32,32,225
Tempo-Class,2,2,259
Tempo,135.00,34,296
Chord-Tone,F,5,327
Chord-Type,7,None,368
Chord-Slash,F,5,339
Note-Velocity,24,24,152
Note-On,67,67,67
Note-Duration,4,4,163
Position,36,36,229
Note-Velocity,25,25,153
Note-On,70,70,70
Note-Duration,3,3,162
Position,40,40,233
Note-Velocity,23,23,151
Note-On,69,69,69
Note-Duration,4,4,163
Position,44,44,237
Note-Velocity,21,21,149
Note-On,67,67,67
Note-Duration,5,5,164
Position,48,48,241
Tempo-Class,2,2,259
Tempo,140.00,36,298
Position,49,49,242
Note-Velocity,20,20,148
Note-On,65,65,65
Note-Duration,2,2,161
Position,52,52,245
Note-Velocity,24,24,152
Note-On,63,63,63
