EVENT,VALUE,VALUE_IDX,ENCODING
Part-Start,I,I,433
Rep-Start,1,1,439
Bar,0,0,192
Position,0,0,193
Tempo-Class,1,1,258
Tempo,90.00,16,278
Position,16,16,209
Tempo-Class,1,1,258
Tempo,85.00,14,276
Position,32,32,225
Tempo-Class,0,0,257
Tempo,80.00,12,274
Position,37,37,230
Phrase,0,0,393
MLU-Type,line,0,398
MLU-Subtype,w,0,411
Note-Velocity,26,26,154
Note-On,67,67,67
Note-Duration,3,3,162
Position,41,41,234
Note-Velocity,27,27,155
Note-On,65,65,65
Note-Duration,3,3,162
Position,44,44,237
Note-Velocity,26,26,154
Note-On,63,63,63
Note-Duration,4,4,163
Position,48,48,241
Tempo-Class,1,1,258
Tempo,80.00,12,274
Note-Velocity,25,25,153
Note-On,60,60,60
Note-Duration,4,4,163
Position,53,53,246
Note-Velocity,23,23,151
Note-On,56,56,56
Note-Duration,3,3,162
Position,56,56,249
Note-Velocity,20,20,148
Note-On,53,53,53
Note-Duration,1,1,160
Position,58,58,251
Note-Velocity,28,28,156
Note-On,62,62,62
Note-Duration,4,4,163
Position,63,63,256
Note-Velocity,24,24,152
Note-On,60,60,60
Note-Duration,4,4,163
Rep-End,1,1,445
Part-End,I,I,438
Part-Start,A,A,429
Rep-Start,1,1,439
Bar,0,0,192
Position,0,0,193
Tempo-Class,1,1,258
Tempo,82.50,13,275
Chord-Tone,Eb,3,325
Chord-Type,j7,None,381
Chord-Slash,Eb,3,337
Position,4,4,197
Note-Velocity,20,20,148
Note-On,58,58,58
Note-Duration,4,4,163
Position,10,10,203
Note-Velocity,17,17,145
Note-On,57,57,57
Note-Duration,2,2,161
Position,12,12,205
Note-Velocity,19,19,147
Note-On,58,58,58
Note-Duration,4,4,163
Position,16,16,209
Tempo-Class,1,1,258
Tempo,85.00,14,276
Note-Velocity,19,19,147
Note-On,60,60,60
Note-Duration,3,3,162
Position,19,19,212
Note-Velocity,28,28,156
Note-On,62,62,62
Note-Duration,5,5,164
Position,25,25,218
Note-Velocity,21,21,149
Note-On,63,63,63
Note-Duration,3,3,162
Position,28,28,221
Note-Velocity,22,22,150
Note-On,65,65,65
Note-Duration,2,2,161
Position,31,31,224
Note-Velocity,20,20,148
Note-On,67,67,67
Note-Duration,3,3,162
Position,32,32,225
Tempo-Class,1,1,258
Tempo,85.00,14,276
Position,36,36,229
Note-Velocity,26,26,154
Note-On,68,68,68
Note-Duration,4,4,163
Position,40,40,233
Note-Velocity,20,20,148
Note-On,70,70,70
Note-Duration,15,15,174
Position,48,48,241
Tempo-Class,0,0,257
Tempo,80.00,12,274
Position,55,55,248
MLU-Type,line,0,398
MLU-Subtype,d,0,408
Note-Velocity,22,22,150
Note-On,67,67,67
Note-Duration,4,4,163
Position,59,59,252
Note-Velocity,22,22,150
Note-On,65,65,65
Note-Duration,3,3,162
Position,62,62,255
Note-Velocity,22,22,150
Note-On,63,63,63
Note-Duration,4,4,163
Bar,0,0,192
Position,0,0,193
Tempo-Class,1,1,258
Tempo,82.50,13,275
Chord-Tone,G,7,329
Chord-Type,m7b5,None,386
Chord-Slash,G,7,341
Position,4,4,197
Note-Velocity,22,22,150
Note-On,61,61,61
Note-Duration,13,13,172
Position,16,16,209
Tempo-Class,1,1,258
Tempo,82.50,13,275
Position,32,32,225
Tempo-Class,1,1,258
Tempo,82.50,13,275
Chord-Tone,C,0,322
Chord-Type,7,None,368
Chord-Slash,C,0,334
Position,38,38,231
Phrase,0,0,393
MLU-Type,lick,0,397
MLU-Subtype,general,0,402
Note-Velocity,25,25,153
Note-On,67,67,67
Note-Duration,3,3,162
Position,42,42,235
Note-Velocity,27,27,155
Note-On,68,68,68
Note-Duration,4,4,163
Position,46,46,239
Note-Velocity,24,24,152
Note-On,67,67,67
Note-Duration,1,1,160
Position,48,48,241
Tempo-Class,0,0,257
Tempo,80.00,12,274
Note-Velocity,24,24,152
Note-On,65,65,65
Note-Duration,3,3,162
Position,51,51,244
Note-Velocity,28,28,156
Note-On,64,64,64
Note-Duration,3,3,162
Position,55,55,248
Note-Velocity,22,22,150
Note-On,60,60,60
Note-Duration,3,3,162
Position,60,60,253
Note-Velocity,28,28,156
Note-On,62,62,62
Note-Duration,4,4,163
Bar,0,0,192
Position,0,0,193
Tempo-Class,1,1,258
Tempo,85.00,14,276
Chord-Tone,F,5,327
Chord-Type,-7,None,357
Chord-Slash,F,5,339
Note-Velocity,26,26,154
Note-On,64,64,64
Note-Duration,4,4,163
Position,4,4,197
Note-Velocity,25,25,153
Note-On,64,64,64
Note-Duration,4,4,163
Position,8,8,201
Note-Velocity,22,22,150
Note-On,65,65,65
Note-Duration,4,4,163
Position,12,12,205
Note-Velocity,22,22,150
Note-On,60,60,60
Note-Duration,6,6,165
Position,16,16,209
Tempo-Class,1,1,258
Tempo,82.50,13,275
Position,19,19,212
Note-Velocity,18,18,146
Note-On,58,58,58
Note-Duration,4,4,163
Position,23,23,216
Note-Velocity,20,20,148
Note-On,56,56,56
Note-Duration,3,3,162
Position,26,26,219
Note-Velocity,18,18,146
Note-On,59,59,59
Note-Duration,2,2,161
Position,28,28,221
Note-Velocity,17,17,145
Note-On,60,60,60
Note-Duration,9,9,168
Position,32,32,225
Tempo-Class,1,1,258
Tempo,82.50,13,275
Position,37,37,230
Note-Velocity,21,21,149
Note-On,56,56,56
Note-Duration,4,4,163
Position,42,42,235
Note-Velocity,17,17,145
Note-On,55,55,55
Note-Duration,3,3,162
Position,45,45,238
Note-Velocity,21,21,149
Note-On,53,53,53
Note-Duration,3,3,162
Position,48,48,241
Tempo-Class,1,1,258
Tempo,85.00,14,276
Note-Velocity,18,18,146
Note-On,58,58,58
Note-Duration,4,4,163
Position,53,53,246
Note-Velocity,18,18,146
Note-On,56,56,56
Note-Duration,11,11,170
Bar,0,0,192
Position,0,0,193
Tempo-Class,1,1,258
Tempo,80.00,12,274
Chord-Tone,Db,1,323
Chord-Type,7,None,368
Chord-Slash,Db,1,335
Position,15,15,208
Phrase,0,0,393
MLU-Type,line,0,398
MLU-Subtype,t,0,410
Note-Velocity,21,21,149
Note-On,59,59,59
Note-Duration,4,4,163
Position,16,16,209
Tempo-Class,1,1,258
Tempo,82.50,13,275
Position,19,19,212
Note-Velocity,21,21,149
Note-On,58,58,58
Note-Duration,2,2,161
Position,21,21,214
Note-Velocity,18,18,146
Note-On,59,59,59
Note-Duration,2,2,161
Position,23,23,216
Note-Velocity,24,24,152
Note-On,61,61,61
Note-Duration,4,4,163
Position,27,27,220
Note-Velocity,20,20,148
Note-On,63,63,63
Note-Duration,1,1,160
Position,29,29,222
Note-Velocity,17,17,145
Note-On,66,66,66
Note-Duration,1,1,160
Position,30,30,223
Note-Velocity,16,16,144
Note-On,70,70,70
Note-Duration,1,1,160
Position,31,31,224
Note-Velocity,19,19,147
Note-On,73,73,73
Note-Duration,5,5,164
Position,32,32,225
Tempo-Class,1,1,258
Tempo,82.50,13,275
Position,40,40,233
MLU-Type,line,0,398
MLU-Subtype,d,0,408
Note-Velocity,20,20,148
Note-On,71,71,71
Note-Duration,3,3,162
Position,43,43,236
Note-Velocity,22,22,150
Note-On,70,70,70
Note-Duration,4,4,163
Position,47,47,240
Note-Velocity,24,24,152
Note-On,68,68,68
Note-Duration,5,5,164
Position,48,48,241
Tempo-Class,0,0,257
Tempo,77.50,11,273
Position,52,52,245
Note-Velocity,19,19,147
Note-On,66,66,66
Note-Duration,3,3,162
Position,55,55,248
Note-Velocity,22,22,150
Note-On,63,63,63
Note-Duration,4,4,163
Position,59,59,252
Note-Velocity,24,24,152
Note-On,61,61,61
Note-Duration,5,5,164
Bar,0,0,192
Position,0,0,193
Tempo-Class,1,1,258
Tempo,80.00,12,274
Chord-Tone,Ab,8,330
Chord-Type,-7,None,357
Chord-Slash,Ab,8,342
Position,1,1,194
Note-Velocity,19,19,147
Note-On,59,59,59
Note-Duration,6,6,165
Position,14,14,207
Phrase,0,0,393
MLU-Type,melody,0,399
Note-Velocity,19,19,147
Note-On,58,58,58
Note-Duration,4,4,163
Position,16,16,209
Tempo-Class,1,1,258
Tempo,82.50,13,275
Position,18,18,211
Note-Velocity,17,17,145
Note-On,59,59,59
Note-Duration,3,3,162
Position,25,25,218
Note-Velocity,23,23,151
Note-On,63,63,63
Note-Duration,5,5,164
Position,30,30,223
Note-Velocity,21,21,149
Note-On,66,66,66
Note-Duration,5,5,164
Position,32,32,225
Tempo-Class,1,1,258
Tempo,82.50,13,275
Chord-Tone,Db,1,323
Chord-Type,7,None,368
Chord-Slash,Db,1,335
Position,35,35,228
Note-Velocity,20,20,148
Note-On,68,68,68
Note-Duration,2,2,161
Position,38,38,231
Note-Velocity,21,21,149
Note-On,70,70,70
Note-Duration,7,7,166
Position,45,45,238
Note-Velocity,22,22,150
Note-On,68,68,68
Note-Duration,3,3,162
Position,48,48,241
Tempo-Class,1,1,258
Tempo,82.50,13,275
Chord-Tone,D,2,324
Chord-Type,o,None,387
Chord-Slash,D,2,336
Position,52,52,245
Note-Velocity,22,22,150
Note-On,63,63,63
Note-Duration,5,5,164
Position,57,57,250
Note-Velocity,19,19,147
Note-On,65,65,65
Note-Duration,4,4,163
Position,63,63,256
Note-Velocity,19,19,147
Note-On,67,67,67
Note-Duration,8,8,167
Bar,0,0,192
Position,0,0,193
Tempo-Class,1,1,258
Tempo,82.50,13,275
Chord-Tone,Eb,3,325
Chord-Type,j7,None,381
