EVENT,VALUE,VALUE_IDX,ENCODING
Part-Start,I,I,433
Rep-Start,1,1,439
Position,48,48,241
Tempo-Class,2,2,259
Tempo,132.50,33,295
Position,53,53,246
Phrase,0,0,393
MLU-Type,lick,0,397
MLU-Subtype,general,0,402
Note-Velocity,25,25,153
Note-On,77,77,77
Note-Duration,6,6,165
Position,59,59,252
Note-Velocity,24,24,152
Note-On,78,78,78
Note-Duration,5,5,164
Rep-End,1,1,445
Part-End,I,I,438
Part-Start,A,A,429
Rep-Start,1,1,439
Bar,0,0,192
Position,0,0,193
Tempo-Class,2,2,259
Tempo,132.50,33,295
Chord-Tone,Eb,3,325
Chord-Type,,None,346
Chord-Slash,Eb,3,337
Note-Velocity,26,26,154
Note-On,79,79,79
Note-Duration,4,4,163
Position,4,4,197
Note-Velocity,23,23,151
Note-On,82,82,82
Note-Duration,3,3,162
Position,7,7,200
Note-Velocity,23,23,151
Note-On,79,79,79
Note-Duration,17,17,176
Position,16,16,209
Tempo-Class,3,3,260
Tempo,143.33,37,299
Position,26,26,219
Note-Velocity,19,19,147
Note-On,77,77,77
Note-Duration,3,3,162
Position,30,30,223
Note-Velocity,23,23,151
Note-On,75,75,75
Note-Duration,4,4,163
Position,32,32,225
Tempo-Class,3,3,260
Tempo,146.67,38,300
Chord-Tone,C,0,322
Chord-Type,7,None,368
Chord-Slash,C,0,334
Position,36,36,229
Note-Velocity,15,15,143
Note-On,72,72,72
Note-Duration,24,24,183
Position,48,48,241
Tempo-Class,3,3,260
Tempo,143.33,37,299
Bar,0,0,192
Position,0,0,193
Tempo-Class,3,3,260
Tempo,146.67,38,300
Chord-Tone,F,5,327
Chord-Type,7,None,368
Chord-Slash,F,5,339
Note-Velocity,27,27,155
Note-On,85,85,85
Note-Duration,31,31,190
Position,16,16,209
Tempo-Class,2,2,259
Tempo,135.00,34,296
Position,31,31,224
Note-Velocity,22,22,150
Note-On,82,82,82
Note-Duration,4,4,163
Position,32,32,225
Tempo-Class,2,2,259
Tempo,140.00,36,298
Chord-Tone,Bb,10,332
Chord-Type,7,None,368
Chord-Slash,Bb,10,344
Position,36,36,229
Note-Velocity,21,21,149
Note-On,84,84,84
Note-Duration,2,2,161
Position,39,39,232
Note-Velocity,19,19,147
Note-On,82,82,82
Note-Duration,18,18,177
Position,48,48,241
Tempo-Class,2,2,259
Tempo,137.50,35,297
Position,62,62,255
Note-Velocity,22,22,150
Note-On,78,78,78
Note-Duration,8,8,167
Bar,0,0,192
Position,0,0,193
Tempo-Class,2,2,259
Tempo,140.00,36,298
Chord-Tone,Eb,3,325
Chord-Type,,None,346
Chord-Slash,Eb,3,337
Position,10,10,203
Note-Velocity,24,24,152
Note-On,79,79,79
Note-Duration,3,3,162
Position,15,15,208
Note-Velocity,23,23,151
Note-On,75,75,75
Note-Duration,7,7,166
Position,16,16,209
Tempo-Class,3,3,260
Tempo,150.00,39,301
Position,26,26,219
Note-Velocity,23,23,151
Note-On,72,72,72
Note-Duration,5,5,164
Position,32,32,225
Tempo-Class,2,2,259
Tempo,140.00,36,298
Chord-Tone,C,0,322
Chord-Type,7,None,368
Chord-Slash,C,0,334
Note-Velocity,24,24,152
Note-On,75,75,75
Note-Duration,3,3,162
Position,37,37,230
Note-Velocity,18,18,146
Note-On,72,72,72
Note-Duration,18,18,177
Position,48,48,241
Tempo-Class,2,2,259
Tempo,132.50,33,295
Bar,0,0,192
Position,0,0,193
Tempo-Class,2,2,259
Tempo,137.50,35,297
Chord-Tone,F,5,327
Chord-Type,7,None,368
Chord-Slash,F,5,339
Note-Velocity,25,25,153
Note-On,73,73,73
Note-Duration,6,6,165
Position,9,9,202
Note-Velocity,23,23,151
Note-On,74,74,74
Note-Duration,5,5,164
Position,16,16,209
Tempo-Class,2,2,259
Tempo,137.50,35,297
Note-Velocity,24,24,152
Note-On,77,77,77
Note-Duration,6,6,165
Position,24,24,217
Note-Velocity,20,20,148
Note-On,74,74,74
Note-Duration,4,4,163
Position,30,30,223
Note-Velocity,23,23,151
Note-On,79,79,79
Note-Duration,8,8,167
Position,32,32,225
Tempo-Class,3,3,260
Tempo,143.33,37,299
Chord-Tone,Bb,10,332
Chord-Type,7,None,368
Chord-Slash,Bb,10,344
Position,41,41,234
Note-Velocity,23,23,151
Note-On,77,77,77
Note-Duration,4,4,163
Position,46,46,239
Note-Velocity,24,24,152
Note-On,80,80,80
Note-Duration,8,8,167
Position,48,48,241
Tempo-Class,3,3,260
Tempo,150.00,39,301
Position,57,57,250
Note-Velocity,20,20,148
Note-On,70,70,70
Note-Duration,5,5,164
Bar,0,0,192
Position,0,0,193
Tempo-Class,3,3,260
Tempo,146.67,38,300
Chord-Tone,Eb,3,325
Chord-Type,,None,346
Chord-Slash,Eb,3,337
Note-Velocity,23,23,151
Note-On,79,79,79
Note-Duration,7,7,166
Position,10,10,203
Note-Velocity,23,23,151
Note-On,82,82,82
Note-Duration,6,6,165
Position,16,16,209
Tempo-Class,2,2,259
Tempo,137.50,35,297
Position,17,17,210
Note-Velocity,22,22,150
Note-On,84,84,84
Note-Duration,7,7,166
Position,32,32,225
Tempo-Class,2,2,259
Tempo,140.00,36,298
Position,33,33,226
Note-Velocity,23,23,151
Note-On,84,84,84
Note-Duration,6,6,165
Position,42,42,235
Note-Velocity,22,22,150
Note-On,72,72,72
Note-Duration,5,5,164
Position,48,48,241
Tempo-Class,3,3,260
Tempo,140.00,36,298
Note-Velocity,23,23,151
Note-On,75,75,75
Note-Duration,7,7,166
Position,57,57,250
Note-Velocity,20,20,148
Note-On,72,72,72
Note-Duration,4,4,163
Bar,0,0,192
Position,0,0,193
Tempo-Class,2,2,259
Tempo,132.50,33,295
Chord-Tone,Eb,3,325
Chord-Type,,None,346
Chord-Slash,Eb,3,337
Position,8,8,201
Note-Velocity,24,24,152
Note-On,75,75,75
Note-Duration,6,6,165
Position,14,14,207
Note-Velocity,24,24,152
Note-On,77,77,77
Note-Duration,6,6,165
Position,16,16,209
Tempo-Class,2,2,259
Tempo,137.50,35,297
Position,22,22,215
Note-Velocity,23,23,151
Note-On,78,78,78
Note-Duration,4,4,163
Position,29,29,222
Note-Velocity,23,23,151
Note-On,79,79,79
Note-Duration,4,4,163
Position,32,32,225
Tempo-Class,3,3,260
Tempo,146.67,38,300
Chord-Tone,C,0,322
Chord-Type,7,None,368
Chord-Slash,C,0,334
Position,35,35,228
Note-Velocity,20,20,148
Note-On,84,84,84
Note-Duration,17,17,176
Position,48,48,241
Tempo-Class,3,3,260
Tempo,143.33,37,299
Position,63,63,256
Note-Velocity,24,24,152
Note-On,77,77,77
Note-Duration,6,6,165
Bar,0,0,192
Position,0,0,193
Tempo-Class,3,3,260
Tempo,150.00,39,301
Chord-Tone,F,5,327
Chord-Type,7,None,368
Chord-Slash,F,5,339
Position,8,8,201
Note-Velocity,23,23,151
Note-On,79,79,79
Note-Duration,5,5,164
Position,14,14,207
Note-Velocity,24,24,152
Note-On,75,75,75
Note-Duration,8,8,167
Position,16,16,209
Tempo-Class,3,3,260
Tempo,143.33,37,299
Position,24,24,217
Note-Velocity,23,23,151
Note-On,77,77,77
Note-Duration,6,6,165
Position,30,30,223
Note-Velocity,23,23,151
Note-On,72,72,72
Note-Duration,7,7,166
Position,32,32,225
Tempo-Class,2,2,259
Tempo,140.00,36,298
Position,40,40,233
Note-Velocity,19,19,147
Note-On,75,75,75
Note-Duration,13,13,172
Position,48,48,241
Tempo-Class,2,2,259
Tempo,132.50,33,295
Position,55,55,248
Note-Velocity,18,18,146
Note-On,70,70,70
Note-Duration,5,5,164
Position,61,61,254
Note-Velocity,22,22,150
Note-On,73,73,73
Note-Duration,4,4,163
Bar,0,0,192
Position,0,0,193
Tempo-Class,3,3,260
Tempo,150.00,39,301
Chord-Tone,Bb,10,332
Chord-Type,7,None,368
Chord-Slash,Bb,10,344
Position,1,1,194
Note-Velocity,22,22,150
Note-On,74,74,74
Note-Duration,9,9,168
Position,11,11,204
Note-Velocity,18,18,146
Note-On,73,73,73
Note-Duration,4,4,163
Position,15,15,208
Note-Velocity,23,23,151
Note-On,70,70,70
Note-Duration,7,7,166
Position,16,16,209
Tempo-Class,2,2,259
Tempo,135.00,34,296
Position,24,24,217
Note-Velocity,17,17,145
Note-On,82,82,82
Note-Duration,21,21,180
Position,32,32,225
Tempo-Class,2,2,259
Tempo,140.00,36,298
Position,48,48,241
Tempo-Class,3,3,260
Tempo,143.33,37,299
Position,49,49,242
Note-Velocity,14,14,142
Note-On,84,84,84
Note-Duration,5,5,164
Position,63,63,256
Note-Velocity,22,22,150
Note-On,78,78,78
Note-Duration,8,8,167
Rep-End,1,1,445
Part-End,A,A,434
Part-Start,B,B,430
Rep-Start,1,1,439
Bar,0,0,192
Position,0,0,193
Tempo-Class,3,3,260
Tempo,146.67,38,300
Chord-Tone,Eb,3,325
Chord-Type,,None,346
Chord-Slash,Eb,3,337
Position,9,9,202
Note-Velocity,22,22,150
Note-On,79,79,79
Note-Duration,6,6,165
Position,16,16,209
Tempo-Class,2,2,259
Tempo,137.50,35,297
Position,17,17,210
Note-Velocity,27,27,155
Note-On,84,84,84
Note-Duration,4,4,163
Position,31,31,224
Note-Velocity,25,25,153
Note-On,85,85,85
Note-Duration,4,4,163
Position,32,32,225
Tempo-Class,3,3,260
Tempo,146.67,38,300
Chord-Tone,C,0,322
Chord-Type,7,None,368
Chord-Slash,C,0,334
Position,40,40,233
