EVENT,VALUE,VALUE_IDX,ENCODING
Part-Start,I,I,433
Rep-Start,1,1,439
Bar,0,0,192
Position,0,0,193
Tempo-Class,3,3,260
Tempo,166.67,44,306
Position,16,16,209
Tempo-Class,3,3,260
Tempo,173.33,46,308
Position,32,32,225
Tempo-Class,3,3,260
Tempo,173.33,46,308
Position,48,48,241
Tempo-Class,3,3,260
Tempo,170.00,45,307
Rep-End,1,1,445
Part-End,I,I,438
Part-Start,A,A,429
Rep-Start,1,1,439
Bar,0,0,192
Position,0,0,193
Tempo-Class,3,3,260
Tempo,173.33,46,308
Chord-Tone,Eb,3,325
Chord-Type,7,None,368
Chord-Slash,Eb,3,337
Phrase,0,0,393
MLU-Type,lick,0,397
MLU-Subtype,general,0,402
Note-Velocity,22,22,150
Note-On,75,75,75
Note-Duration,10,10,169
Position,16,16,209
Tempo-Class,3,3,260
Tempo,163.33,43,305
Position,26,26,219
Note-Velocity,20,20,148
Note-On,77,77,77
Note-Duration,5,5,164
Position,32,32,225
Tempo-Class,3,3,260
Tempo,163.33,43,305
Note-Velocity,25,25,153
Note-On,79,79,79
Note-Duration,7,7,166
Position,42,42,235
Note-Velocity,18,18,146
Note-On,82,82,82
Note-Duration,15,15,174
Position,48,48,241
Tempo-Class,3,3,260
Tempo,163.33,43,305
Position,60,60,253
Note-Velocity,19,19,147
Note-On,79,79,79
Note-Duration,4,4,163
Bar,0,0,192
Position,0,0,193
Tempo-Class,3,3,260
Tempo,160.00,42,304
Chord-Tone,Eb,3,325
Chord-Type,7,None,368
Chord-Slash,Eb,3,337
Position,3,3,196
Note-Velocity,19,19,147
Note-On,82,82,82
Note-Duration,12,12,171
Position,16,16,209
Tempo-Class,3,3,260
Tempo,163.33,43,305
Position,18,18,211
Note-Velocity,23,23,151
Note-On,79,79,79
Note-Duration,7,7,166
Position,27,27,220
Note-Velocity,22,22,150
Note-On,78,78,78
Note-Duration,4,4,163
Position,32,32,225
Tempo-Class,3,3,260
Tempo,160.00,42,304
Note-Velocity,25,25,153
Note-On,79,79,79
Note-Duration,6,6,165
Position,39,39,232
Note-Velocity,20,20,148
Note-On,77,77,77
Note-Duration,3,3,162
Position,43,43,236
Note-Velocity,23,23,151
Note-On,75,75,75
Note-Duration,4,4,163
Position,48,48,241
Tempo-Class,3,3,260
Tempo,156.67,41,303
Position,50,50,243
Note-Velocity,24,24,152
Note-On,73,73,73
Note-Duration,6,6,165
Position,56,56,249
Note-Velocity,19,19,147
Note-On,72,72,72
Note-Duration,3,3,162
Position,60,60,253
Note-Velocity,19,19,147
Note-On,70,70,70
Note-Duration,3,3,162
Bar,0,0,192
Position,0,0,193
Tempo-Class,3,3,260
Tempo,163.33,43,305
Chord-Tone,Ab,8,330
Chord-Type,,None,346
Chord-Slash,Ab,8,342
Position,1,1,194
Note-Velocity,19,19,147
Note-On,72,72,72
Note-Duration,22,22,181
Position,16,16,209
Tempo-Class,3,3,260
Tempo,163.33,43,305
Position,32,32,225
Tempo-Class,3,3,260
Tempo,160.00,42,304
Note-Velocity,22,22,150
Note-On,72,72,72
Note-Duration,8,8,167
Position,41,41,234
Note-Velocity,25,25,153
Note-On,75,75,75
Note-Duration,7,7,166
Position,48,48,241
Tempo-Class,3,3,260
Tempo,163.33,43,305
Position,50,50,243
Note-Velocity,24,24,152
Note-On,77,77,77
Note-Duration,4,4,163
Position,58,58,251
Note-Velocity,21,21,149
Note-On,71,71,71
Note-Duration,4,4,163
Position,63,63,256
Note-Velocity,22,22,150
Note-On,72,72,72
Note-Duration,7,7,166
Bar,0,0,192
Position,0,0,193
Tempo-Class,3,3,260
Tempo,163.33,43,305
Chord-Tone,Ab,8,330
Chord-Type,,None,346
Chord-Slash,Ab,8,342
Position,9,9,202
Note-Velocity,17,17,145
Note-On,80,80,80
Note-Duration,14,14,173
Position,16,16,209
Tempo-Class,3,3,260
Tempo,153.33,40,302
Position,25,25,218
Note-Velocity,19,19,147
Note-On,77,77,77
Note-Duration,5,5,164
Position,32,32,225
Tempo-Class,3,3,260
Tempo,166.67,44,306
Position,33,33,226
Note-Velocity,25,25,153
Note-On,80,80,80
Note-Duration,6,6,165
Position,43,43,236
Note-Velocity,12,12,140
Note-On,77,77,77
Note-Duration,18,18,177
Position,48,48,241
Tempo-Class,3,3,260
Tempo,153.33,40,302
Bar,0,0,192
Position,0,0,193
Tempo-Class,3,3,260
Tempo,170.00,45,307
Chord-Tone,Eb,3,325
Chord-Type,7,None,368
Chord-Slash,Eb,3,337
MLU-Type,lick,0,397
MLU-Subtype,general,0,402
Backref-Referred,0,0,417
Note-Velocity,23,23,151
Note-On,79,79,79
Note-Duration,6,6,165
Position,8,8,201
Note-Velocity,22,22,150
Note-On,81,81,81
Note-Duration,7,7,166
Position,16,16,209
Tempo-Class,3,3,260
Tempo,166.67,44,306
Position,17,17,210
Note-Velocity,23,23,151
Note-On,82,82,82
Note-Duration,7,7,166
Position,26,26,219
Note-Velocity,20,20,148
Note-On,75,75,75
Note-Duration,6,6,165
Position,32,32,225
Tempo-Class,3,3,260
Tempo,166.67,44,306
Chord-Tone,F,5,327
Chord-Type,-7,None,357
Chord-Slash,F,5,339
Note-Velocity,24,24,152
Note-On,79,79,79
Note-Duration,7,7,166
Position,42,42,235
Note-Velocity,20,20,148
Note-On,77,77,77
Note-Duration,5,5,164
Position,48,48,241
Tempo-Class,3,3,260
Tempo,163.33,43,305
Position,49,49,242
Note-Velocity,25,25,153
Note-On,75,75,75
Note-Duration,6,6,165
Position,58,58,251
Note-Velocity,24,24,152
Note-On,72,72,72
Note-Duration,4,4,163
Bar,0,0,192
Position,0,0,193
Tempo-Class,3,3,260
Tempo,166.67,44,306
Chord-Tone,C,0,322
Chord-Type,o,None,387
Chord-Slash,C,0,334
Note-Velocity,25,25,153
Note-On,73,73,73
Note-Duration,6,6,165
Position,11,11,204
Note-Velocity,23,23,151
Note-On,73,73,73
Note-Duration,7,7,166
Position,16,16,209
Tempo-Class,3,3,260
Tempo,160.00,42,304
Position,24,24,217
Note-Velocity,16,16,144
Note-On,73,73,73
Note-Duration,28,28,187
Position,32,32,225
Tempo-Class,3,3,260
Tempo,176.67,47,309
Chord-Tone,Eb,3,325
Chord-Type,7,None,368
Chord-Slash,Eb,3,337
Position,48,48,241
Tempo-Class,3,3,260
Tempo,166.67,44,306
Position,62,62,255
Note-Velocity,23,23,151
Note-On,71,71,71
Note-Duration,6,6,165
Bar,0,0,192
Position,0,0,193
Tempo-Class,3,3,260
Tempo,166.67,44,306
Chord-Tone,Ab,8,330
Chord-Type,7,None,368
Chord-Slash,Ab,8,342
Position,6,6,199
Note-Velocity,21,21,149
Note-On,72,72,72
Note-Duration,5,5,164
Position,13,13,206
Note-Velocity,24,24,152
Note-On,75,75,75
Note-Duration,7,7,166
Position,16,16,209
Tempo-Class,3,3,260
Tempo,166.67,44,306
Position,23,23,216
Note-Velocity,22,22,150
Note-On,71,71,71
Note-Duration,6,6,165
Position,30,30,223
Note-Velocity,22,22,150
Note-On,72,72,72
Note-Duration,7,7,166
Position,32,32,225
Tempo-Class,3,3,260
Tempo,170.00,45,307
Chord-Tone,Db,1,323
Chord-Type,6,None,365
Chord-Slash,Db,1,335
Position,40,40,233
Note-Velocity,15,15,143
Note-On,80,80,80
Note-Duration,15,15,174
Position,48,48,241
Tempo-Class,4,4,261
Tempo,191.67,49,311
Position,60,60,253
Note-Velocity,12,12,140
Note-On,77,77,77
Note-Duration,5,5,164
Bar,0,0,192
Position,0,0,193
Tempo-Class,3,3,260
Tempo,176.67,47,309
Chord-Tone,D,2,324
Chord-Type,o,None,387
Chord-Slash,D,2,336
Position,1,1,194
Note-Velocity,22,22,150
Note-On,80,80,80
Note-Duration,8,8,167
Position,11,11,204
Note-Velocity,18,18,146
Note-On,77,77,77
Note-Duration,3,3,162
Position,16,16,209
Tempo-Class,3,3,260
Tempo,160.00,42,304
Position,17,17,210
Note-Velocity,21,21,149
Note-On,71,71,71
Note-Duration,8,8,167
Position,27,27,220
Note-Velocity,22,22,150
Note-On,72,72,72
Note-Duration,5,5,164
Position,32,32,225
Tempo-Class,3,3,260
Tempo,166.67,44,306
Chord-Tone,Ab,8,330
Chord-Type,,None,346
Chord-Slash,Ab,8,342
Position,33,33,226
Note-Velocity,16,16,144
Note-On,75,75,75
Note-Duration,15,15,174
Position,48,48,241
Tempo-Class,3,3,260
Tempo,166.67,44,306
Position,50,50,243
Note-Velocity,22,22,150
Note-On,77,77,77
Note-Duration,5,5,164
Bar,0,0,192
Position,0,0,193
Tempo-Class,3,3,260
Tempo,160.00,42,304
Chord-Tone,Eb,3,325
Chord-Type,7,None,368
Chord-Slash,Eb,3,337
Position,9,9,202
Phrase,0,0,393
MLU-Type,lick,0,397
MLU-Subtype,general,0,402
Note-Velocity,26,26,154
Note-On,85,85,85
Note-Duration,23,23,182
Position,16,16,209
Tempo-Class,3,3,260
Tempo,170.00,45,307
Position,32,32,225
Tempo-Class,3,3,260
Tempo,166.67,44,306
Position,34,34,227
Note-Velocity,19,19,147
Note-On,82,82,82
Note-Duration,6,6,165
Position,42,42,235
Note-Velocity,20,20,148
Note-On,78,78,78
Note-Duration,14,14,173
Position,48,48,241
Tempo-Class,3,3,260
Tempo,163.33,43,305
Position,58,58,251
Note-Velocity,19,19,147
Note-On,79,79,79
Note-Duration,5,5,164
Position,63,63,256
Note-Velocity,20,20,148
Note-On,75,75,75
Note-Duration,8,8,167
