EVENT,VALUE,VALUE_IDX,ENCODING
Part-Start,A,A,429
Rep-Start,1,1,439
Bar,0,0,192
Position,0,0,193
Tempo-Class,3,3,260
Tempo,176.67,47,309
Chord-Tone,Bb,10,332
Chord-Type,7,None,368
Chord-Slash,Bb,10,344
Position,13,13,206
Phrase,0,0,393
MLU-Type,lick,0,397
MLU-Subtype,general,0,402
Note-Velocity,25,25,153
Note-On,75,75,75
Note-Duration,8,8,167
Position,16,16,209
Tempo-Class,4,4,261
Tempo,191.67,49,311
Position,23,23,216
Note-Velocity,25,25,153
Note-On,79,79,79
Note-Duration,6,6,165
Position,32,32,225
Tempo-Class,4,4,261
Tempo,191.67,49,311
Position,38,38,231
Note-Velocity,22,22,150
Note-On,77,77,77
Note-Duration,3,3,162
Position,46,46,239
Note-Velocity,25,25,153
Note-On,75,75,75
Note-Duration,8,8,167
Position,48,48,241
Tempo-Class,4,4,261
Tempo,180.00,48,310
Position,56,56,249
Note-Velocity,23,23,151
Note-On,75,75,75
Note-Duration,6,6,165
Bar,0,0,192
Position,0,0,193
Tempo-Class,4,4,261
Tempo,191.67,49,311
Chord-Tone,Eb,3,325
Chord-Type,7,None,368
Chord-Slash,Eb,3,337
Note-Velocity,25,25,153
Note-On,79,79,79
Note-Duration,6,6,165
Position,11,11,204
Note-Velocity,20,20,148
Note-On,79,79,79
Note-Duration,12,12,171
Position,16,16,209
Tempo-Class,4,4,261
Tempo,191.67,49,311
Position,25,25,218
Note-Velocity,24,24,152
Note-On,75,75,75
Note-Duration,7,7,166
Position,32,32,225
Tempo-Class,4,4,261
Tempo,180.00,48,310
Position,33,33,226
Note-Velocity,23,23,151
Note-On,77,77,77
Note-Duration,6,6,165
Position,40,40,233
Note-Velocity,23,23,151
Note-On,75,75,75
Note-Duration,4,4,163
Position,47,47,240
Note-Velocity,24,24,152
Note-On,79,79,79
Note-Duration,5,5,164
Position,48,48,241
Tempo-Class,4,4,261
Tempo,180.00,48,310
Position,56,56,249
Note-Velocity,19,19,147
Note-On,75,75,75
Note-Duration,4,4,163
Position,62,62,255
Note-Velocity,22,22,150
Note-On,80,80,80
Note-Duration,7,7,166
Bar,0,0,192
Position,0,0,193
Tempo-Class,4,4,261
Tempo,191.67,49,311
Chord-Tone,Ab,8,330
Chord-Type,,None,346
Chord-Slash,Ab,8,342
Position,8,8,201
Note-Velocity,17,17,145
Note-On,84,84,84
Note-Duration,32,32,191
Position,16,16,209
Tempo-Class,4,4,261
Tempo,191.67,49,311
Position,32,32,225
Tempo-Class,4,4,261
Tempo,180.00,48,310
Position,48,48,241
Tempo-Class,4,4,261
Tempo,180.00,48,310
Position,62,62,255
Phrase,0,0,393
MLU-Type,line,0,398
MLU-Subtype,w,0,411
Note-Velocity,17,17,145
Note-On,83,83,83
Note-Duration,10,10,169
Bar,0,0,192
Position,0,0,193
Tempo-Class,4,4,261
Tempo,180.00,48,310
Chord-Tone,Ab,8,330
Chord-Type,,None,346
Chord-Slash,Ab,8,342
Position,9,9,202
Note-Velocity,22,22,150
Note-On,84,84,84
Note-Duration,5,5,164
Position,16,16,209
Tempo-Class,4,4,261
Tempo,180.00,48,310
Note-Velocity,19,19,147
Note-On,75,75,75
Note-Duration,7,7,166
Position,24,24,217
Note-Velocity,22,22,150
Note-On,76,76,76
Note-Duration,6,6,165
Position,30,30,223
Note-Velocity,22,22,150
Note-On,77,77,77
Note-Duration,8,8,167
Position,32,32,225
Tempo-Class,4,4,261
Tempo,191.67,49,311
