EVENT,VALUE,VALUE_IDX,ENCODING
Part-Start,A,A,429
Rep-Start,1,1,439
Bar,0,0,192
Position,0,0,193
Tempo-Class,2,2,259
Tempo,115.00,26,288
Chord-Tone,A,9,331
Chord-Type,-7,None,357
Chord-Slash,A,9,343
Position,11,11,204
Phrase,0,0,393
MLU-Type,melody,0,399
Note-Velocity,24,24,152
Note-On,55,55,55
Note-Duration,4,4,163
Position,16,16,209
Tempo-Class,2,2,259
Tempo,115.00,26,288
Position,17,17,210
Note-Velocity,21,21,149
Note-On,62,62,62
Note-Duration,7,7,166
Position,25,25,218
Note-Velocity,18,18,146
Note-On,64,64,64
Note-Duration,6,6,165
Position,32,32,225
Tempo-Class,2,2,259
Tempo,117.50,27,289
Chord-Tone,D,2,324
Chord-Type,7,None,368
Chord-Slash,D,2,336
Position,33,33,226
Note-Velocity,20,20,148
Note-On,55,55,55
Note-Duration,10,10,169
Position,44,44,237
Note-Velocity,24,24,152
Note-On,57,57,57
Note-Duration,4,4,163
Position,48,48,241
Tempo-Class,2,2,259
Tempo,112.50,25,287
Position,50,50,243
Note-Velocity,23,23,151
Note-On,60,60,60
Note-Duration,9,9,168
Position,60,60,253
Note-Velocity,22,22,150
Note-On,62,62,62
Note-Duration,6,6,165
Bar,0,0,192
Position,0,0,193
Tempo-Class,2,2,259
Tempo,112.50,25,287
Chord-Tone,G,7,329
Chord-Type,,None,346
Chord-Slash,G,7,341
Position,2,2,195
Note-Velocity,19,19,147
Note-On,63,63,63
Note-Duration,3,3,162
Position,10,10,203
Note-Velocity,18,18,146
Note-On,62,62,62
Note-Duration,13,13,172
Position,16,16,209
Tempo-Class,2,2,259
Tempo,115.00,26,288
Position,32,32,225
Tempo-Class,2,2,259
Tempo,112.50,25,287
Chord-Tone,E,4,326
Chord-Type,7,None,368
Chord-Slash,E,4,338
Position,48,48,241
Tempo-Class,1,1,258
Tempo,107.50,23,285
Bar,0,0,192
Position,0,0,193
Tempo-Class,1,1,258
Tempo,110.00,24,286
Chord-Tone,A,9,331
Chord-Type,-7,None,357
Chord-Slash,A,9,343
Position,16,16,209
Tempo-Class,2,2,259
Tempo,117.50,27,289
Note-Velocity,27,27,155
Note-On,68,68,68
Note-Duration,7,7,166
Position,23,23,216
Note-Velocity,25,25,153
Note-On,69,69,69
Note-Duration,4,4,163
Position,32,32,225
Tempo-Class,2,2,259
Tempo,110.00,24,286
Chord-Tone,D,2,324
Chord-Type,7,None,368
Chord-Slash,D,2,336
Position,33,33,226
Note-Velocity,25,25,153
Note-On,68,68,68
Note-Duration,5,5,164
Position,39,39,232
Note-Velocity,21,21,149
Note-On,69,69,69
Note-Duration,5,5,164
Position,48,48,241
Tempo-Class,2,2,259
Tempo,117.50,27,289
Note-Velocity,23,23,151
Note-On,68,68,68
Note-Duration,7,7,166
Position,55,55,248
Note-Velocity,19,19,147
Note-On,69,69,69
Note-Duration,4,4,163
Bar,0,0,192
Position,0,0,193
Tempo-Class,2,2,259
Tempo,110.00,24,286
Chord-Tone,D,2,324
Chord-Type,-7,None,357
Chord-Slash,D,2,336
Position,2,2,195
Note-Velocity,19,19,147
Note-On,69,69,69
Note-Duration,7,7,166
Position,12,12,205
Note-Velocity,23,23,151
Note-On,63,63,63
Note-Duration,4,4,163
Position,16,16,209
Tempo-Class,2,2,259
Tempo,110.00,24,286
Position,18,18,211
Note-Velocity,21,21,149
Note-On,60,60,60
Note-Duration,7,7,166
Position,27,27,220
Note-Velocity,17,17,145
