EVENT,VALUE,VALUE_IDX,ENCODING
Part-Start,I,I,433
Rep-Start,1,1,439
Position,16,16,209
Tempo-Class,2,2,259
Tempo,135.00,34,296
Position,24,24,217
Phrase,0,0,393
MLU-Type,lick,0,397
MLU-Subtype,blues,0,404
Backref-Referred,0,0,417
Note-Velocity,19,19,147
Note-On,54,54,54
Note-Duration,3,3,162
Position,27,27,220
Note-Velocity,23,23,151
Note-On,56,56,56
Note-Duration,4,4,163
Position,32,32,225
Tempo-Class,3,3,260
Tempo,140.00,36,298
Note-Velocity,22,22,150
Note-On,55,55,55
Note-Duration,8,8,167
Position,41,41,234
Note-Velocity,22,22,150
Note-On,53,53,53
Note-Duration,5,5,164
Position,48,48,241
Tempo-Class,2,2,259
Tempo,135.00,34,296
Note-Velocity,18,18,146
Note-On,50,50,50
Note-Duration,8,8,167
Position,56,56,249
Note-Velocity,18,18,146
Note-On,48,48,48
Note-Duration,8,8,167
Rep-End,1,1,445
Part-End,I,I,438
Part-Start,A,A,429
Rep-Start,1,1,439
Bar,0,0,192
Position,0,0,193
Tempo-Class,3,3,260
Tempo,143.33,37,299
Chord-Tone,D,2,324
Chord-Type,79#,None,370
Chord-Slash,D,2,336
Position,1,1,194
Note-Velocity,18,18,146
Note-On,50,50,50
Note-Duration,13,13,172
Position,16,16,209
Tempo-Class,2,2,259
Tempo,135.00,34,296
Position,31,31,224
Note-Velocity,24,24,152
Note-On,52,52,52
Note-Duration,5,5,164
Position,32,32,225
Tempo-Class,3,3,260
Tempo,140.00,36,298
Position,36,36,229
Note-Velocity,22,22,150
Note-On,53,53,53
Note-Duration,7,7,166
Position,48,48,241
Tempo-Class,3,3,260
Tempo,150.00,39,301
Position,55,55,248
Note-Velocity,19,19,147
Note-On,50,50,50
Note-Duration,10,10,169
Bar,0,0,192
Position,0,0,193
Tempo-Class,3,3,260
Tempo,146.67,38,300
Chord-Tone,D,2,324
Chord-Type,79#,None,370
Chord-Slash,D,2,336
Position,16,16,209
Tempo-Class,3,3,260
Tempo,146.67,38,300
Position,26,26,219
Phrase,0,0,393
MLU-Type,lick,0,397
MLU-Subtype,blues,0,404
Backref-Distance,1,1,418
Backref-Referred,0,0,417
Note-Velocity,21,21,149
Note-On,56,56,56
Note-Duration,9,9,168
Position,32,32,225
Tempo-Class,3,3,260
Tempo,150.00,39,301
Position,35,35,228
Note-Velocity,21,21,149
Note-On,55,55,55
Note-Duration,6,6,165
Position,41,41,234
Note-Velocity,21,21,149
Note-On,53,53,53
Note-Duration,6,6,165
Position,48,48,241
Tempo-Class,3,3,260
Tempo,153.33,40,302
Position,49,49,242
Note-Velocity,19,19,147
Note-On,50,50,50
Note-Duration,7,7,166
Position,60,60,253
Note-Velocity,19,19,147
Note-On,48,48,48
Note-Duration,5,5,164
Bar,0,0,192
Position,0,0,193
Tempo-Class,2,2,259
Tempo,140.00,36,298
Chord-Tone,D,2,324
Chord-Type,79#,None,370
Chord-Slash,D,2,336
Position,1,1,194
Note-Velocity,19,19,147
Note-On,50,50,50
Note-Duration,10,10,169
Position,16,16,209
Tempo-Class,3,3,260
Tempo,146.67,38,300
Position,32,32,225
Tempo-Class,3,3,260
Tempo,150.00,39,301
Position,37,37,230
Note-Velocity,24,24,152
Note-On,53,53,53
Note-Duration,6,6,165
Position,43,43,236
Note-Velocity,19,19,147
Note-On,54,54,54
Note-Duration,5,5,164
Position,48,48,241
Tempo-Class,3,3,260
Tempo,146.67,38,300
Position,61,61,254
Note-Velocity,19,19,147
Note-On,50,50,50
Note-Duration,10,10,169
Bar,0,0,192
Position,0,0,193
Tempo-Class,3,3,260
Tempo,150.00,39,301
Chord-Tone,D,2,324
Chord-Type,79#,None,370
Chord-Slash,D,2,336
Position,16,16,209
Tempo-Class,2,2,259
Tempo,132.50,33,295
Position,26,26,219
Phrase,0,0,393
MLU-Type,lick,0,397
MLU-Subtype,blues,0,404
Backref-Distance,1,1,418
Backref-Variation,+,0,427
Note-Velocity,25,25,153
Note-On,60,60,60
Note-Duration,11,11,170
Position,32,32,225
Tempo-Class,3,3,260
Tempo,140.00,36,298
Position,38,38,231
Note-Velocity,23,23,151
Note-On,59,59,59
Note-Duration,4,4,163
Position,42,42,235
Note-Velocity,20,20,148
Note-On,58,58,58
Note-Duration,5,5,164
Position,48,48,241
Tempo-Class,3,3,260
Tempo,153.33,40,302
Note-Velocity,21,21,149
Note-On,55,55,55
Note-Duration,9,9,168
Position,58,58,251
Note-Velocity,18,18,146
Note-On,53,53,53
Note-Duration,6,6,165
Bar,0,0,192
Position,0,0,193
Tempo-Class,3,3,260
Tempo,143.33,37,299
Chord-Tone,G,7,329
Chord-Type,79#,None,370
Chord-Slash,G,7,341
Position,2,2,195
Note-Velocity,16,16,144
Note-On,55,55,55
Note-Duration,21,21,180
Position,16,16,209
Tempo-Class,2,2,259
Tempo,140.00,36,298
Position,32,32,225
Tempo-Class,3,3,260
Tempo,143.33,37,299
Note-Velocity,21,21,149
Note-On,58,58,58
Note-Duration,11,11,170
Position,48,48,241
Tempo-Class,3,3,260
Tempo,150.00,39,301
Bar,0,0,192
Position,0,0,193
Tempo-Class,2,2,259
Tempo,140.00,36,298
Chord-Tone,G,7,329
Chord-Type,79#,None,370
Chord-Slash,G,7,341
Position,10,10,203
Phrase,0,0,393
MLU-Type,line,0,398
MLU-Subtype,w,0,411
Note-Velocity,21,21,149
Note-On,55,55,55
Note-Duration,5,5,164
Position,15,15,208
Note-Velocity,19,19,147
Note-On,58,58,58
Note-Duration,3,3,162
Position,16,16,209
Tempo-Class,3,3,260
Tempo,143.33,37,299
Position,18,18,211
Note-Velocity,18,18,146
Note-On,59,59,59
Note-Duration,4,4,163
Position,22,22,215
Note-Velocity,23,23,151
Note-On,62,62,62
Note-Duration,4,4,163
Position,26,26,219
Note-Velocity,19,19,147
Note-On,65,65,65
Note-Duration,6,6,165
Position,32,32,225
Tempo-Class,3,3,260
Tempo,143.33,37,299
Position,37,37,230
Note-Velocity,23,23,151
Note-On,67,67,67
Note-Duration,4,4,163
Position,42,42,235
Note-Velocity,19,19,147
Note-On,65,65,65
Note-Duration,4,4,163
Position,48,48,241
Tempo-Class,3,3,260
Tempo,160.00,42,304
Position,49,49,242
Note-Velocity,23,23,151
Note-On,67,67,67
Note-Duration,4,4,163
Position,54,54,247
Note-Velocity,21,21,149
Note-On,68,68,68
Note-Duration,5,5,164
Position,60,60,253
Note-Velocity,21,21,149
Note-On,67,67,67
Note-Duration,6,6,165
Bar,0,0,192
Position,0,0,193
Tempo-Class,2,2,259
Tempo,137.50,35,297
Chord-Tone,D,2,324
Chord-Type,79#,None,370
Chord-Slash,D,2,336
Position,2,2,195
Note-Velocity,20,20,148
Note-On,65,65,65
Note-Duration,4,4,163
Position,7,7,200
Note-Velocity,24,24,152
Note-On,62,62,62
Note-Duration,6,6,165
Position,13,13,206
Note-Velocity,22,22,150
Note-On,60,60,60
Note-Duration,4,4,163
Position,16,16,209
Tempo-Class,2,2,259
Tempo,140.00,36,298
Position,17,17,210
Note-Velocity,19,19,147
Note-On,56,56,56
Note-Duration,4,4,163
Position,22,22,215
Note-Velocity,22,22,150
Note-On,55,55,55
Note-Duration,5,5,164
Position,29,29,222
Note-Velocity,20,20,148
Note-On,50,50,50
Note-Duration,6,6,165
Position,32,32,225
Tempo-Class,3,3,260
Tempo,156.67,41,303
Position,36,36,229
Note-Velocity,21,21,149
Note-On,53,53,53
Note-Duration,7,7,166
Position,44,44,237
Note-Velocity,19,19,147
Note-On,50,50,50
Note-Duration,5,5,164
Position,48,48,241
Tempo-Class,3,3,260
Tempo,150.00,39,301
Note-Velocity,21,21,149
Note-On,53,53,53
Note-Duration,5,5,164
Position,54,54,247
Note-Velocity,21,21,149
Note-On,55,55,55
Note-Duration,5,5,164
Position,60,60,253
Note-Velocity,20,20,148
Note-On,53,53,53
Note-Duration,4,4,163
Bar,0,0,192
Position,0,0,193
Tempo-Class,3,3,260
Tempo,143.33,37,299
Chord-Tone,D,2,324
Chord-Type,79#,None,370
Chord-Slash,D,2,336
Note-Velocity,20,20,148
Note-On,54,54,54
Note-Duration,4,4,163
Position,4,4,197
Note-Velocity,18,18,146
Note-On,50,50,50
Note-Duration,12,12,171
Position,16,16,209
Tempo-Class,3,3,260
Tempo,143.33,37,299
Position,32,32,225
Tempo-Class,3,3,260
Tempo,146.67,38,300
Position,42,42,235
Phrase,0,0,393
MLU-Type,lick,0,397
MLU-Subtype,blues,0,404
Note-Velocity,22,22,150
Note-On,57,57,57
Note-Duration,4,4,163
Position,46,46,239
Note-Velocity,23,23,151
Note-On,60,60,60
Note-Duration,5,5,164
Position,48,48,241
Tempo-Class,3,3,260
Tempo,153.33,40,302
Position,51,51,244
Note-Velocity,22,22,150
Note-On,61,61,61
Note-Duration,4,4,163
Position,56,56,249
Note-Velocity,23,23,151
Note-On,64,64,64
Note-Duration,4,4,163
Position,60,60,253
Note-Velocity,20,20,148
Note-On,66,66,66
Note-Duration,6,6,165
Bar,0,0,192
Position,0,0,193
Tempo-Class,2,2,259
Tempo,135.00,34,296
Chord-Tone,A,9,331
Chord-Type,79#,None,370
Chord-Slash,A,9,343
Position,6,6,199
Note-Velocity,22,22,150
Note-On,69,69,69
Note-Duration,4,4,163
Position,15,15,208
Note-Velocity,19,19,147
Note-On,71,71,71
Note-Duration,3,3,162
Position,16,16,209
Tempo-Class,3,3,260
Tempo,143.33,37,299
Position,18,18,211
