EVENT,VALUE,VALUE_IDX,ENCODING
Part-Start,I,I,433
Rep-Start,1,1,439
Position,32,32,225
Tempo-Class,1,1,258
Tempo,95.00,18,280
Position,47,47,240
Phrase,0,0,393
MLU-Type,lick,0,397
MLU-Subtype,general,0,402
Backref-Referred,0,0,417
Note-Velocity,24,24,152
Note-On,60,60,60
Note-Duration,4,4,163
Position,48,48,241
Tempo-Class,1,1,258
Tempo,87.50,15,277
Position,51,51,244
Note-Velocity,24,24,152
Note-On,62,62,62
Note-Duration,6,6,165
Position,57,57,250
Note-Velocity,26,26,154
Note-On,63,63,63
Note-Duration,3,3,162
Position,61,61,254
Note-Velocity,21,21,149
Note-On,65,65,65
Note-Duration,3,3,162
Rep-End,1,1,445
Part-End,I,I,438
Part-Start,A,A,429
Rep-Start,1,1,439
Bar,0,0,192
Position,0,0,193
Tempo-Class,1,1,258
Tempo,87.50,15,277
Chord-Tone,Bb,10,332
Chord-Type,,None,346
Chord-Slash,Bb,10,344
Note-Velocity,20,20,148
Note-On,64,64,64
Note-Duration,1,1,160
Position,2,2,195
Note-Velocity,20,20,148
Note-On,62,62,62
Note-Duration,5,5,164
Position,16,16,209
Tempo-Class,0,0,257
Tempo,80.00,12,274
Position,23,23,216
Phrase,0,0,393
MLU-Type,melody,0,399
Backref-Distance,1,1,418
Note-Velocity,16,16,144
Note-On,55,55,55
Note-Duration,2,2,161
Position,26,26,219
Note-Velocity,18,18,146
Note-On,58,58,58
Note-Duration,3,3,162
Position,29,29,222
Note-Velocity,24,24,152
Note-On,60,60,60
Note-Duration,4,4,163
Position,32,32,225
Tempo-Class,1,1,258
Tempo,82.50,13,275
Chord-Tone,F,5,327
Chord-Type,,None,346
Chord-Slash,A,9,343
Position,34,34,227
Note-Velocity,25,25,153
Note-On,62,62,62
Note-Duration,5,5,164
Position,41,41,234
Note-Velocity,23,23,151
Note-On,62,62,62
Note-Duration,4,4,163
Position,45,45,238
Note-Velocity,19,19,147
Note-On,58,58,58
Note-Duration,3,3,162
Position,48,48,241
Tempo-Class,0,0,257
Tempo,77.50,11,273
Position,49,49,242
Note-Velocity,25,25,153
Note-On,64,64,64
Note-Duration,3,3,162
Position,52,52,245
Note-Velocity,22,22,150
Note-On,65,65,65
Note-Duration,4,4,163
Position,57,57,250
Note-Velocity,23,23,151
Note-On,65,65,65
Note-Duration,4,4,163
Position,61,61,254
Note-Velocity,20,20,148
Note-On,67,67,67
Note-Duration,4,4,163
Bar,0,0,192
Position,0,0,193
Tempo-Class,1,1,258
Tempo,82.50,13,275
Chord-Tone,G,7,329
Chord-Type,-,None,354
Chord-Slash,G,7,341
Position,1,1,194
Note-Velocity,24,24,152
Note-On,62,62,62
Note-Duration,6,6,165
Position,7,7,200
Note-Velocity,22,22,150
Note-On,62,62,62
Note-Duration,21,21,180
Position,16,16,209
Tempo-Class,0,0,257
Tempo,80.00,12,274
Position,29,29,222
Note-Velocity,22,22,150
Note-On,60,60,60
Note-Duration,4,4,163
Position,32,32,225
Tempo-Class,1,1,258
Tempo,80.00,12,274
Chord-Tone,G,7,329
Chord-Type,-,None,354
Chord-Slash,F,5,339
Position,33,33,226
Note-Velocity,18,18,146
Note-On,58,58,58
Note-Duration,3,3,162
Position,36,36,229
Note-Velocity,19,19,147
Note-On,60,60,60
Note-Duration,4,4,163
Position,41,41,234
Note-Velocity,15,15,143
Note-On,53,53,53
Note-Duration,4,4,163
Position,45,45,238
Note-Velocity,18,18,146
Note-On,58,58,58
Note-Duration,3,3,162
Position,48,48,241
Tempo-Class,1,1,258
Tempo,85.00,14,276
Note-Velocity,19,19,147
Note-On,55,55,55
Note-Duration,3,3,162
Position,52,52,245
Note-Velocity,19,19,147
Note-On,50,50,50
Note-Duration,3,3,162
Position,56,56,249
Note-Velocity,19,19,147
Note-On,53,53,53
Note-Duration,2,2,161
Position,58,58,251
Note-Velocity,19,19,147
Note-On,55,55,55
Note-Duration,1,1,160
Position,59,59,252
Note-Velocity,19,19,147
Note-On,53,53,53
Note-Duration,3,3,162
Position,62,62,255
Note-Velocity,17,17,145
Note-On,50,50,50
Note-Duration,3,3,162
Bar,0,0,192
Position,0,0,193
Tempo-Class,0,0,257
Tempo,80.00,12,274
Chord-Tone,Eb,3,325
Chord-Type,,None,346
Chord-Slash,G,7,341
Position,1,1,194
Note-Velocity,16,16,144
Note-On,51,51,51
Note-Duration,5,5,164
Position,16,16,209
Tempo-Class,0,0,257
Tempo,77.50,11,273
Position,24,24,217
Phrase,0,0,393
MLU-Type,melody,0,399
Note-Velocity,24,24,152
Note-On,63,63,63
Note-Duration,4,4,163
Position,28,28,221
Note-Velocity,19,19,147
Note-On,67,67,67
Note-Duration,4,4,163
Position,32,32,225
Tempo-Class,1,1,258
Tempo,82.50,13,275
Chord-Tone,Bb,10,332
Chord-Type,,None,346
Chord-Slash,F,5,339
Note-Velocity,20,20,148
Note-On,70,70,70
Note-Duration,3,3,162
Position,36,36,229
Note-Velocity,16,16,144
Note-On,72,72,72
Note-Duration,1,1,160
Position,38,38,231
Note-Velocity,18,18,146
Note-On,74,74,74
Note-Duration,4,4,163
Position,42,42,235
Note-Velocity,19,19,147
Note-On,75,75,75
Note-Duration,5,5,164
Position,48,48,241
Tempo-Class,1,1,258
Tempo,82.50,13,275
Note-Velocity,18,18,146
Note-On,74,74,74
Note-Duration,3,3,162
Position,52,52,245
Note-Velocity,18,18,146
Note-On,72,72,72
Note-Duration,3,3,162
Position,55,55,248
Note-Velocity,19,19,147
Note-On,70,70,70
Note-Duration,3,3,162
Position,60,60,253
Note-Velocity,19,19,147
Note-On,67,67,67
Note-Duration,3,3,162
Bar,0,0,192
Position,0,0,193
Tempo-Class,1,1,258
Tempo,87.50,15,277
Chord-Tone,F,5,327
Chord-Type,,None,346
Chord-Slash,F,5,339
Note-Velocity,13,13,141
Note-On,72,72,72
Note-Duration,2,2,161
Position,2,2,195
Note-Velocity,16,16,144
Note-On,73,73,73
Note-Duration,1,1,160
Position,3,3,196
Note-Velocity,17,17,145
Note-On,74,74,74
Note-Duration,6,6,165
Position,10,10,203
Note-Velocity,18,18,146
Note-On,70,70,70
Note-Duration,6,6,165
Position,16,16,209
Tempo-Class,1,1,258
Tempo,82.50,13,275
Position,17,17,210
Note-Velocity,17,17,145
Note-On,72,72,72
Note-Duration,5,5,164
Position,24,24,217
Phrase,0,0,393
MLU-Type,line,0,398
MLU-Subtype,w,0,411
Note-Velocity,20,20,148
Note-On,69,69,69
Note-Duration,2,2,161
Position,27,27,220
Note-Velocity,19,19,147
Note-On,65,65,65
Note-Duration,2,2,161
Position,29,29,222
Note-Velocity,23,23,151
Note-On,60,60,60
Note-Duration,2,2,161
Position,31,31,224
Note-Velocity,19,19,147
Note-On,57,57,57
Note-Duration,2,2,161
Position,32,32,225
Tempo-Class,1,1,258
Tempo,90.00,16,278
Position,34,34,227
Note-Velocity,16,16,144
Note-On,53,53,53
Note-Duration,2,2,161
Position,36,36,229
Note-Velocity,23,23,151
Note-On,63,63,63
Note-Duration,3,3,162
Position,39,39,232
Note-Velocity,20,20,148
Note-On,62,62,62
Note-Duration,1,1,160
Position,41,41,234
Note-Velocity,24,24,152
Note-On,58,58,58
Note-Duration,3,3,162
Position,44,44,237
Note-Velocity,18,18,146
Note-On,55,55,55
Note-Duration,2,2,161
Position,47,47,240
Note-Velocity,19,19,147
Note-On,50,50,50
Note-Duration,1,1,160
Position,48,48,241
Tempo-Class,1,1,258
Tempo,85.00,14,276
Chord-Tone,F,5,327
Chord-Type,7,None,368
Chord-Slash,F,5,339
Note-Velocity,21,21,149
Note-On,53,53,53
Note-Duration,2,2,161
Position,51,51,244
Note-Velocity,19,19,147
Note-On,50,50,50
Note-Duration,2,2,161
Position,53,53,246
Note-Velocity,19,19,147
Note-On,51,51,51
Note-Duration,2,2,161
Position,56,56,249
Note-Velocity,20,20,148
Note-On,62,62,62
Note-Duration,2,2,161
Position,58,58,251
Note-Velocity,22,22,150
Note-On,61,61,61
Note-Duration,2,2,161
Position,61,61,254
Note-Velocity,21,21,149
Note-On,56,56,56
Note-Duration,2,2,161
Bar,0,0,192
Position,0,0,193
Tempo-Class,1,1,258
Tempo,82.50,13,275
Chord-Tone,Bb,10,332
Chord-Type,,None,346
Chord-Slash,Bb,10,344
Note-Velocity,20,20,148
Note-On,53,53,53
Note-Duration,2,2,161
Position,2,2,195
Note-Velocity,24,24,152
Note-On,60,60,60
Note-Duration,2,2,161
Position,5,5,198
Note-Velocity,20,20,148
Note-On,57,57,57
Note-Duration,2,2,161
Position,7,7,200
Note-Velocity,20,20,148
Note-On,58,58,58
Note-Duration,2,2,161
Position,9,9,202
Note-Velocity,21,21,149
Note-On,62,62,62
Note-Duration,2,2,161
Position,12,12,205
Note-Velocity,18,18,146
Note-On,65,65,65
Note-Duration,2,2,161
Position,13,13,206
Note-Velocity,19,19,147
Note-On,69,69,69
Note-Duration,3,3,162
Position,16,16,209
Tempo-Class,0,0,257
Tempo,77.50,11,273
Note-Velocity,18,18,146
Note-On,72,72,72
Note-Duration,2,2,161
Position,19,19,212
Note-Velocity,19,19,147
Note-On,70,70,70
Note-Duration,3,3,162
Position,21,21,214
Note-Velocity,19,19,147
Note-On,67,67,67
Note-Duration,2,2,161
Position,24,24,217
Note-Velocity,19,19,147
Note-On,63,63,63
Note-Duration,2,2,161
Position,26,26,219
Note-Velocity,19,19,147
Note-On,58,58,58
