EVENT,VALUE,VALUE_IDX,ENCODING
Part-Start,I,I,433
Rep-Start,1,1,439
Position,48,48,241
Tempo-Class,3,3,260
Tempo,146.67,38,300
Chord-Tone,Eb,3,325
Chord-Type,,None,346
Chord-Slash,Eb,3,337
Position,57,57,250
Phrase,0,0,393
MLU-Type,theme,0,401
Note-Velocity,16,16,144
Note-On,53,53,53
Note-Duration,6,6,165
Rep-End,1,1,445
Part-End,I,I,438
Part-Start,A,A,429
Rep-Start,1,1,439
Bar,0,0,192
Position,0,0,193
Tempo-Class,3,3,260
Tempo,146.67,38,300
Note-Velocity,22,22,150
Note-On,58,58,58
Note-Duration,10,10,169
Position,15,15,208
Note-Velocity,19,19,147
Note-On,59,59,59
Note-Duration,16,16,175
Position,16,16,209
Tempo-Class,2,2,259
Tempo,137.50,35,297
Position,32,32,225
Tempo-Class,3,3,260
Tempo,143.33,37,299
Chord-Tone,C,0,322
Chord-Type,7,None,368
Chord-Slash,C,0,334
Note-Velocity,21,21,149
Note-On,60,60,60
Note-Duration,7,7,166
Position,42,42,235
Note-Velocity,23,23,151
Note-On,58,58,58
Note-Duration,6,6,165
Position,48,48,241
Tempo-Class,3,3,260
Tempo,146.67,38,300
Position,57,57,250
Note-Velocity,20,20,148
Note-On,57,57,57
Note-Duration,11,11,170
Bar,0,0,192
Position,0,0,193
Tempo-Class,3,3,260
Tempo,143.33,37,299
Chord-Tone,F,5,327
Chord-Type,7,None,368
Chord-Slash,F,5,339
Position,10,10,203
Note-Velocity,21,21,149
Note-On,58,58,58
Note-Duration,5,5,164
Position,16,16,209
Tempo-Class,3,3,260
Tempo,146.67,38,300
Note-Velocity,20,20,148
Note-On,60,60,60
Note-Duration,6,6,165
Position,26,26,219
Note-Velocity,20,20,148
Note-On,63,63,63
Note-Duration,7,7,166
Position,32,32,225
Tempo-Class,3,3,260
Tempo,143.33,37,299
Chord-Tone,Bb,10,332
Chord-Type,7,None,368
Chord-Slash,Bb,10,344
Position,33,33,226
Note-Velocity,21,21,149
Note-On,60,60,60
Note-Duration,5,5,164
Position,42,42,235
Note-Velocity,20,20,148
Note-On,58,58,58
Note-Duration,4,4,163
Position,47,47,240
Note-Velocity,19,19,147
Note-On,55,55,55
Note-Duration,6,6,165
Position,48,48,241
Tempo-Class,2,2,259
Tempo,137.50,35,297
Bar,0,0,192
Position,0,0,193
Tempo-Class,3,3,260
Tempo,146.67,38,300
Chord-Tone,Eb,3,325
Chord-Type,,None,346
Chord-Slash,Eb,3,337
Note-Velocity,21,21,149
Note-On,58,58,58
Note-Duration,8,8,167
Position,16,16,209
Tempo-Class,2,2,259
Tempo,137.50,35,297
Position,17,17,210
Note-Velocity,23,23,151
Note-On,59,59,59
Note-Duration,7,7,166
Position,27,27,220
Note-Velocity,19,19,147
Note-On,60,60,60
Note-Duration,16,16,175
Position,32,32,225
Tempo-Class,3,3,260
Tempo,143.33,37,299
Chord-Tone,C,0,322
Chord-Type,7,None,368
Chord-Slash,C,0,334
Position,47,47,240
Note-Velocity,21,21,149
Note-On,58,58,58
Note-Duration,7,7,166
Position,48,48,241
Tempo-Class,3,3,260
Tempo,146.67,38,300
Position,58,58,251
Note-Velocity,22,22,150
Note-On,57,57,57
Note-Duration,7,7,166
Bar,0,0,192
Position,0,0,193
Tempo-Class,3,3,260
Tempo,143.33,37,299
Chord-Tone,F,5,327
Chord-Type,7,None,368
Chord-Slash,F,5,339
Position,9,9,202
Note-Velocity,20,20,148
Note-On,58,58,58
Note-Duration,5,5,164
Position,16,16,209
Tempo-Class,3,3,260
Tempo,146.67,38,300
Note-Velocity,17,17,145
Note-On,60,60,60
Note-Duration,9,9,168
Position,26,26,219
Note-Velocity,13,13,141
Note-On,63,63,63
Note-Duration,7,7,166
Position,32,32,225
Tempo-Class,3,3,260
Tempo,143.33,37,299
Chord-Tone,Bb,10,332
Chord-Type,7,None,368
Chord-Slash,Bb,10,344
Position,37,37,230
Note-Velocity,15,15,143
Note-On,60,60,60
Note-Duration,10,10,169
Position,47,47,240
Note-Velocity,16,16,144
Note-On,58,58,58
Note-Duration,7,7,166
Position,48,48,241
Tempo-Class,3,3,260
Tempo,150.00,39,301
Position,63,63,256
Phrase,0,0,393
MLU-Type,melody,0,399
Note-Velocity,14,14,142
Note-On,65,65,65
Note-Duration,5,5,164
Bar,0,0,192
Position,0,0,193
Tempo-Class,3,3,260
Tempo,146.67,38,300
Chord-Tone,Eb,3,325
Chord-Type,,None,346
Chord-Slash,Eb,3,337
Position,4,4,197
Note-Velocity,21,21,149
Note-On,67,67,67
Note-Duration,32,32,191
Position,16,16,209
Tempo-Class,2,2,259
Tempo,135.00,34,296
Position,32,32,225
Tempo-Class,3,3,260
Tempo,143.33,37,299
Position,48,48,241
Tempo-Class,3,3,260
Tempo,143.33,37,299
Bar,0,0,192
Position,0,0,193
Tempo-Class,3,3,260
Tempo,143.33,37,299
Chord-Tone,Eb,3,325
Chord-Type,,None,346
Chord-Slash,Eb,3,337
Note-Velocity,22,22,150
Note-On,58,58,58
Note-Duration,8,8,167
Position,10,10,203
Note-Velocity,23,23,151
Note-On,58,58,58
Note-Duration,9,9,168
Position,16,16,209
Tempo-Class,3,3,260
Tempo,153.33,40,302
Position,26,26,219
Note-Velocity,19,19,147
Note-On,60,60,60
Note-Duration,10,10,169
Position,32,32,225
Tempo-Class,3,3,260
Tempo,150.00,39,301
Chord-Tone,C,0,322
Chord-Type,7,None,368
Chord-Slash,C,0,334
Position,41,41,234
Note-Velocity,24,24,152
Note-On,58,58,58
Note-Duration,8,8,167
Position,48,48,241
Tempo-Class,3,3,260
Tempo,140.00,36,298
Position,56,56,249
Note-Velocity,22,22,150
Note-On,55,55,55
Note-Duration,7,7,166
Bar,0,0,192
Position,0,0,193
Tempo-Class,3,3,260
Tempo,150.00,39,301
Chord-Tone,F,5,327
Chord-Type,7,None,368
Chord-Slash,F,5,339
Note-Velocity,17,17,145
Note-On,57,57,57
Note-Duration,32,32,191
Position,16,16,209
Tempo-Class,3,3,260
Tempo,146.67,38,300
Position,32,32,225
Tempo-Class,3,3,260
Tempo,146.67,38,300
Position,48,48,241
Tempo-Class,3,3,260
Tempo,146.67,38,300
Position,63,63,256
Note-Velocity,18,18,146
Note-On,60,60,60
Note-Duration,4,4,163
Bar,0,0,192
Position,0,0,193
Tempo-Class,2,2,259
Tempo,137.50,35,297
Chord-Tone,Bb,10,332
Chord-Type,7,None,368
Chord-Slash,Bb,10,344
Position,4,4,197
Note-Velocity,23,23,151
Note-On,61,61,61
Note-Duration,6,6,165
Position,9,9,202
Note-Velocity,20,20,148
Note-On,65,65,65
Note-Duration,8,8,167
Position,16,16,209
Tempo-Class,3,3,260
Tempo,143.33,37,299
Position,18,18,211
Note-Velocity,25,25,153
Note-On,62,62,62
Note-Duration,5,5,164
Position,25,25,218
Note-Velocity,20,20,148
Note-On,60,60,60
Note-Duration,8,8,167
Position,32,32,225
Tempo-Class,3,3,260
Tempo,153.33,40,302
Position,35,35,228
Note-Velocity,18,18,146
Note-On,58,58,58
Note-Duration,16,16,175
Position,48,48,241
Tempo-Class,2,2,259
Tempo,135.00,34,296
Position,58,58,251
Phrase,0,0,393
MLU-Type,theme,0,401
Note-Velocity,19,19,147
Note-On,55,55,55
Note-Duration,5,5,164
Rep-End,1,1,445
Part-End,A,A,434
Part-Start,B,B,430
Rep-Start,1,1,439
Bar,0,0,192
Position,0,0,193
Tempo-Class,3,3,260
Tempo,150.00,39,301
Chord-Tone,Eb,3,325
Chord-Type,,None,346
Chord-Slash,Eb,3,337
Note-Velocity,24,24,152
Note-On,58,58,58
Note-Duration,9,9,168
Position,15,15,208
Note-Velocity,22,22,150
Note-On,59,59,59
Note-Duration,9,9,168
Position,16,16,209
Tempo-Class,3,3,260
Tempo,143.33,37,299
Position,32,32,225
Tempo-Class,3,3,260
Tempo,146.67,38,300
Chord-Tone,C,0,322
Chord-Type,7,None,368
Chord-Slash,C,0,334
Position,33,33,226
Note-Velocity,20,20,148
Note-On,60,60,60
Note-Duration,6,6,165
Position,44,44,237
Note-Velocity,23,23,151
Note-On,58,58,58
Note-Duration,8,8,167
Position,48,48,241
Tempo-Class,2,2,259
Tempo,137.50,35,297
Position,58,58,251
Note-Velocity,20,20,148
Note-On,57,57,57
Note-Duration,10,10,169
Bar,0,0,192
Position,0,0,193
Tempo-Class,3,3,260
Tempo,140.00,36,298
Chord-Tone,F,5,327
Chord-Type,7,None,368
Chord-Slash,F,5,339
Position,10,10,203
Note-Velocity,19,19,147
Note-On,58,58,58
Note-Duration,6,6,165
Position,16,16,209
Tempo-Class,3,3,260
Tempo,150.00,39,301
Note-Velocity,18,18,146
Note-On,60,60,60
Note-Duration,8,8,167
Position,27,27,220
Note-Velocity,19,19,147
Note-On,63,63,63
Note-Duration,6,6,165
Position,32,32,225
Tempo-Class,2,2,259
Tempo,135.00,34,296
Chord-Tone,Bb,10,332
Chord-Type,7,None,368
Chord-Slash,Bb,10,344
Position,35,35,228
Note-Velocity,22,22,150
Note-On,60,60,60
Note-Duration,5,5,164
Position,41,41,234
Note-Velocity,17,17,145
Note-On,59,59,59
Note-Duration,6,6,165
Position,48,48,241
Tempo-Class,3,3,260
Tempo,150.00,39,301
Note-Velocity,19,19,147
Note-On,56,56,56
Note-Duration,6,6,165
Bar,0,0,192
Position,0,0,193
Tempo-Class,3,3,260
Tempo,143.33,37,299
Chord-Tone,C,0,322
