EVENT,VALUE,VALUE_IDX,ENCODING
Part-Start,I,I,433
Rep-Start,1,1,439
Bar,0,0,192
Position,0,0,193
Tempo-Class,3,3,260
Tempo,146.67,38,300
Position,16,16,209
Tempo-Class,3,3,260
Tempo,146.67,38,300
Position,32,32,225
Tempo-Class,3,3,260
Tempo,150.00,39,301
Position,48,48,241
Tempo-Class,3,3,260
Tempo,153.33,40,302
Position,59,59,252
Phrase,0,0,393
MLU-Type,lick,0,397
MLU-Subtype,general,0,402
Note-Velocity,21,21,149
Note-On,50,50,50
Note-Duration,6,6,165
Rep-End,1,1,445
Part-End,I,I,438
Part-Start,A,A,429
Rep-Start,1,1,439
Bar,0,0,192
Position,0,0,193
Tempo-Class,3,3,260
Tempo,146.67,38,300
Chord-Tone,C,0,322
Chord-Type,,None,346
Chord-Slash,C,0,334
Position,2,2,195
Note-Velocity,22,22,150
Note-On,52,52,52
Note-Duration,6,6,165
Position,11,11,204
Note-Velocity,19,19,147
Note-On,55,55,55
Note-Duration,5,5,164
Position,16,16,209
Tempo-Class,3,3,260
Tempo,146.67,38,300
Position,18,18,211
Note-Velocity,24,24,152
Note-On,57,57,57
Note-Duration,4,4,163
Position,26,26,219
Note-Velocity,19,19,147
Note-On,60,60,60
Note-Duration,18,18,177
Position,32,32,225
Tempo-Class,3,3,260
Tempo,146.67,38,300
Position,48,48,241
Tempo-Class,3,3,260
Tempo,143.33,37,299
Bar,0,0,192
Position,0,0,193
Tempo-Class,3,3,260
Tempo,156.67,41,303
Chord-Tone,F,5,327
Chord-Type,,None,346
Chord-Slash,F,5,339
Position,16,16,209
Tempo-Class,3,3,260
Tempo,143.33,37,299
Note-Velocity,18,18,146
Note-On,62,62,62
Note-Duration,3,3,162
Position,19,19,212
Note-Velocity,23,23,151
Note-On,64,64,64
Note-Duration,5,5,164
Position,27,27,220
Note-Velocity,22,22,150
Note-On,63,63,63
Note-Duration,3,3,162
Position,31,31,224
Note-Velocity,24,24,152
Note-On,64,64,64
Note-Duration,5,5,164
Position,32,32,225
Tempo-Class,3,3,260
Tempo,146.67,38,300
Position,42,42,235
Note-Velocity,23,23,151
Note-On,60,60,60
Note-Duration,6,6,165
Position,48,48,241
Tempo-Class,3,3,260
Tempo,146.67,38,300
Position,49,49,242
Note-Velocity,24,24,152
Note-On,57,57,57
Note-Duration,7,7,166
Position,59,59,252
Note-Velocity,23,23,151
Note-On,51,51,51
Note-Duration,6,6,165
Bar,0,0,192
Position,0,0,193
Tempo-Class,3,3,260
Tempo,150.00,39,301
Chord-Tone,C,0,322
Chord-Type,,None,346
Chord-Slash,C,0,334
Position,1,1,194
Note-Velocity,20,20,148
Note-On,52,52,52
Note-Duration,6,6,165
Position,16,16,209
Tempo-Class,3,3,260
Tempo,150.00,39,301
Position,32,32,225
Tempo-Class,3,3,260
Tempo,150.00,39,301
Position,48,48,241
Tempo-Class,3,3,260
Tempo,146.67,38,300
Bar,0,0,192
Position,0,0,193
Tempo-Class,3,3,260
Tempo,150.00,39,301
Chord-Tone,C,0,322
Chord-Type,,None,346
Chord-Slash,C,0,334
Position,16,16,209
Tempo-Class,3,3,260
Tempo,146.67,38,300
Position,32,32,225
Tempo-Class,3,3,260
Tempo,153.33,40,302
Position,48,48,241
Tempo-Class,3,3,260
Tempo,143.33,37,299
Phrase,0,0,393
MLU-Type,lick,0,397
MLU-Subtype,general,0,402
Note-Velocity,21,21,149
Note-On,63,63,63
Note-Duration,2,2,161
Position,51,51,244
Note-Velocity,24,24,152
Note-On,64,64,64
Note-Duration,4,4,163
Position,58,58,251
Note-Velocity,24,24,152
Note-On,63,63,63
Note-Duration,2,2,161
Position,61,61,254
Note-Velocity,25,25,153
Note-On,64,64,64
Note-Duration,4,4,163
Bar,0,0,192
Position,0,0,193
Tempo-Class,3,3,260
Tempo,160.00,42,304
Chord-Tone,F,5,327
Chord-Type,,None,346
Chord-Slash,F,5,339
Position,9,9,202
Note-Velocity,25,25,153
Note-On,64,64,64
Note-Duration,10,10,169
Position,16,16,209
Tempo-Class,3,3,260
Tempo,150.00,39,301
Position,25,25,218
Note-Velocity,26,26,154
Note-On,64,64,64
Note-Duration,8,8,167
Position,32,32,225
Tempo-Class,3,3,260
Tempo,146.67,38,300
Position,34,34,227
Note-Velocity,20,20,148
Note-On,60,60,60
Note-Duration,4,4,163
Position,48,48,241
Tempo-Class,3,3,260
Tempo,150.00,39,301
Bar,0,0,192
Position,0,0,193
Tempo-Class,3,3,260
Tempo,143.33,37,299
Chord-Tone,F,5,327
Chord-Type,,None,346
Chord-Slash,F,5,339
Phrase,0,0,393
MLU-Type,lick,0,397
MLU-Subtype,general,0,402
Note-Velocity,22,22,150
Note-On,63,63,63
Note-Duration,3,3,162
Position,4,4,197
Note-Velocity,25,25,153
Note-On,64,64,64
Note-Duration,4,4,163
Position,11,11,204
Note-Velocity,24,24,152
Note-On,63,63,63
Note-Duration,3,3,162
Position,15,15,208
Note-Velocity,26,26,154
Note-On,64,64,64
Note-Duration,3,3,162
Position,16,16,209
Tempo-Class,3,3,260
Tempo,146.67,38,300
Position,25,25,218
Note-Velocity,26,26,154
Note-On,64,64,64
Note-Duration,6,6,165
Position,32,32,225
Tempo-Class,3,3,260
Tempo,150.00,39,301
Position,40,40,233
Note-Velocity,21,21,149
Note-On,60,60,60
Note-Duration,6,6,165
Position,47,47,240
Note-Velocity,25,25,153
Note-On,57,57,57
Note-Duration,9,9,168
Position,48,48,241
Tempo-Class,3,3,260
Tempo,156.67,41,303
Position,57,57,250
Note-Velocity,23,23,151
Note-On,51,51,51
Note-Duration,8,8,167
Bar,0,0,192
Position,0,0,193
Tempo-Class,3,3,260
Tempo,146.67,38,300
Chord-Tone,C,0,322
Chord-Type,,None,346
Chord-Slash,C,0,334
Position,2,2,195
Note-Velocity,20,20,148
Note-On,52,52,52
Note-Duration,10,10,169
Position,16,16,209
Tempo-Class,3,3,260
Tempo,153.33,40,302
Position,32,32,225
Tempo-Class,3,3,260
Tempo,156.67,41,303
Position,48,48,241
Tempo-Class,3,3,260
Tempo,156.67,41,303
Bar,0,0,192
Position,0,0,193
Tempo-Class,3,3,260
Tempo,146.67,38,300
Chord-Tone,C,0,322
Chord-Type,,None,346
Chord-Slash,C,0,334
Position,16,16,209
Tempo-Class,3,3,260
Tempo,156.67,41,303
Position,32,32,225
Tempo-Class,3,3,260
Tempo,153.33,40,302
Position,43,43,236
Phrase,0,0,393
MLU-Type,lick,0,397
MLU-Subtype,general,0,402
Note-Velocity,22,22,150
Note-On,60,60,60
Note-Duration,4,4,163
Position,48,48,241
Tempo-Class,3,3,260
Tempo,153.33,40,302
Note-Velocity,25,25,153
Note-On,62,62,62
Note-Duration,5,5,164
Position,60,60,253
Note-Velocity,22,22,150
Note-On,62,62,62
Note-Duration,15,15,174
Bar,0,0,192
Position,0,0,193
Tempo-Class,3,3,260
Tempo,150.00,39,301
Chord-Tone,G,7,329
Chord-Type,7,None,368
Chord-Slash,G,7,341
Position,16,16,209
Tempo-Class,3,3,260
Tempo,146.67,38,300
Position,18,18,211
Note-Velocity,23,23,151
Note-On,59,59,59
Note-Duration,7,7,166
Position,26,26,219
Note-Velocity,22,22,150
Note-On,58,58,58
Note-Duration,4,4,163
Position,31,31,224
Note-Velocity,23,23,151
Note-On,59,59,59
Note-Duration,5,5,164
Position,32,32,225
Tempo-Class,3,3,260
Tempo,150.00,39,301
Position,39,39,232
Note-Velocity,22,22,150
Note-On,55,55,55
Note-Duration,7,7,166
Position,48,48,241
Tempo-Class,3,3,260
Tempo,146.67,38,300
Position,63,63,256
Phrase,0,0,393
MLU-Type,lick,0,397
MLU-Subtype,blues,0,404
Note-Velocity,25,25,153
Note-On,60,60,60
Note-Duration,7,7,166
Bar,0,0,192
Position,0,0,193
Tempo-Class,3,3,260
Tempo,156.67,41,303
Chord-Tone,F,5,327
Chord-Type,,None,346
Chord-Slash,F,5,339
Position,12,12,205
Note-Velocity,25,25,153
Note-On,58,58,58
Note-Duration,8,8,167
Position,16,16,209
Tempo-Class,3,3,260
Tempo,150.00,39,301
Position,26,26,219
Note-Velocity,22,22,150
Note-On,57,57,57
Note-Duration,6,6,165
Position,32,32,225
Tempo-Class,3,3,260
Tempo,143.33,37,299
Position,34,34,227
Note-Velocity,23,23,151
Note-On,55,55,55
Note-Duration,5,5,164
Position,46,46,239
Note-Velocity,23,23,151
Note-On,50,50,50
Note-Duration,7,7,166
Position,48,48,241
Tempo-Class,3,3,260
Tempo,150.00,39,301
Position,59,59,252
Note-Velocity,22,22,150
Note-On,52,52,52
Note-Duration,4,4,163
Bar,0,0,192
Position,0,0,193
Tempo-Class,3,3,260
Tempo,146.67,38,300
Chord-Tone,C,0,322
Chord-Type,,None,346
Chord-Slash,C,0,334
Position,1,1,194
Note-Velocity,21,21,149
Note-On,48,48,48
Note-Duration,5,5,164
Position,16,16,209
Tempo-Class,3,3,260
Tempo,150.00,39,301
Position,32,32,225
Tempo-Class,3,3,260
Tempo,146.67,38,300
Position,48,48,241
Tempo-Class,3,3,260
Tempo,146.67,38,300
Rep-End,1,1,445
Part-End,A,A,434
Bar,0,0,192
Position,0,0,193
Tempo-Class,3,3,260
Tempo,146.67,38,300
Chord-Tone,C,0,322
Chord-Type,,None,346
Chord-Slash,C,0,334
