EVENT,VALUE,VALUE_IDX,ENCODING
Part-Start,I,I,433
Rep-Start,1,1,439
Position,16,16,209
Tempo-Class,3,3,260
Tempo,153.33,40,302
Position,25,25,218
Phrase,0,0,393
MLU-Type,lick,0,397
MLU-Subtype,general,0,402
Backref-Referred,0,0,417
Note-Velocity,19,19,147
Note-On,73,73,73
Note-Duration,15,15,174
Position,32,32,225
Tempo-Class,3,3,260
Tempo,150.00,39,301
Position,40,40,233
Note-Velocity,18,18,146
Note-On,70,70,70
Note-Duration,7,7,166
Position,47,47,240
Note-Velocity,18,18,146
Note-On,68,68,68
Note-Duration,6,6,165
Position,48,48,241
Tempo-Class,3,3,260
Tempo,150.00,39,301
Position,55,55,248
Note-Velocity,17,17,145
Note-On,70,70,70
Note-Duration,6,6,165
Position,63,63,256
Note-Velocity,18,18,146
Note-On,63,63,63
Note-Duration,9,9,168
Rep-End,1,1,445
Part-End,I,I,438
Part-Start,A,A,429
Rep-Start,1,1,439
Bar,0,0,192
Position,0,0,193
Tempo-Class,3,3,260
Tempo,156.67,41,303
Chord-Tone,Eb,3,325
Chord-Type,7,None,368
Chord-Slash,Eb,3,337
Position,9,9,202
Note-Velocity,14,14,142
Note-On,58,58,58
Note-Duration,3,3,162
Position,15,15,208
Note-Velocity,16,16,144
Note-On,63,63,63
Note-Duration,15,15,174
Position,16,16,209
Tempo-Class,3,3,260
Tempo,160.00,42,304
Position,32,32,225
Tempo-Class,3,3,260
Tempo,160.00,42,304
Position,48,48,241
Tempo-Class,3,3,260
Tempo,156.67,41,303
Bar,0,0,192
Position,0,0,193
Tempo-Class,3,3,260
Tempo,153.33,40,302
Chord-Tone,Eb,3,325
Chord-Type,7,None,368
Chord-Slash,Eb,3,337
Position,15,15,208
Phrase,0,0,393
MLU-Type,lick,0,397
MLU-Subtype,general,0,402
Backref-Distance,1,1,418
Note-Velocity,24,24,152
Note-On,73,73,73
Note-Duration,19,19,178
Position,16,16,209
Tempo-Class,3,3,260
Tempo,160.00,42,304
Position,32,32,225
Tempo-Class,3,3,260
Tempo,160.00,42,304
Position,35,35,228
Note-Velocity,19,19,147
Note-On,74,74,74
Note-Duration,4,4,163
Position,39,39,232
Note-Velocity,22,22,150
Note-On,72,72,72
Note-Duration,2,2,161
Position,41,41,234
Note-Velocity,24,24,152
Note-On,70,70,70
Note-Duration,5,5,164
Position,48,48,241
Tempo-Class,3,3,260
Tempo,153.33,40,302
Note-Velocity,20,20,148
Note-On,68,68,68
Note-Duration,7,7,166
Position,57,57,250
Note-Velocity,24,24,152
Note-On,70,70,70
Note-Duration,6,6,165
Position,62,62,255
Note-Velocity,22,22,150
Note-On,63,63,63
Note-Duration,7,7,166
Bar,0,0,192
Position,0,0,193
Tempo-Class,3,3,260
Tempo,160.00,42,304
Chord-Tone,Eb,3,325
Chord-Type,7,None,368
Chord-Slash,Eb,3,337
Position,7,7,200
Note-Velocity,21,21,149
Note-On,63,63,63
Note-Duration,7,7,166
Position,15,15,208
Note-Velocity,19,19,147
Note-On,66,66,66
Note-Duration,13,13,172
Position,16,16,209
Tempo-Class,3,3,260
Tempo,150.00,39,301
Position,31,31,224
Note-Velocity,20,20,148
Note-On,67,67,67
Note-Duration,15,15,174
Position,32,32,225
Tempo-Class,3,3,260
Tempo,160.00,42,304
Position,48,48,241
Tempo-Class,3,3,260
Tempo,156.67,41,303
Note-Velocity,22,22,150
Note-On,67,67,67
Note-Duration,12,12,171
Bar,0,0,192
Position,0,0,193
Tempo-Class,3,3,260
Tempo,163.33,43,305
Chord-Tone,Eb,3,325
Chord-Type,7,None,368
Chord-Slash,Eb,3,337
Note-Velocity,16,16,144
Note-On,66,66,66
Note-Duration,6,6,165
Position,7,7,200
Note-Velocity,20,20,148
Note-On,67,67,67
Note-Duration,17,17,176
Position,16,16,209
Tempo-Class,3,3,260
Tempo,150.00,39,301
Position,25,25,218
Note-Velocity,21,21,149
Note-On,63,63,63
Note-Duration,6,6,165
Position,31,31,224
Note-Velocity,15,15,143
Note-On,61,61,61
Note-Duration,4,4,163
Position,32,32,225
Tempo-Class,3,3,260
Tempo,153.33,40,302
Position,35,35,228
Note-Velocity,18,18,146
Note-On,63,63,63
Note-Duration,1,1,160
Position,37,37,230
Note-Velocity,15,15,143
Note-On,61,61,61
Note-Duration,3,3,162
Position,40,40,233
Note-Velocity,19,19,147
Note-On,58,58,58
Note-Duration,7,7,166
Position,48,48,241
Tempo-Class,3,3,260
Tempo,160.00,42,304
Note-Velocity,20,20,148
Note-On,61,61,61
Note-Duration,6,6,165
Position,54,54,247
Note-Velocity,17,17,145
Note-On,58,58,58
Note-Duration,7,7,166
Bar,0,0,192
Position,0,0,193
Tempo-Class,3,3,260
Tempo,160.00,42,304
Chord-Tone,Eb,3,325
Chord-Type,7,None,368
Chord-Slash,Eb,3,337
Note-Velocity,20,20,148
Note-On,63,63,63
Note-Duration,10,10,169
Position,15,15,208
Note-Velocity,17,17,145
Note-On,63,63,63
Note-Duration,18,18,177
Position,16,16,209
Tempo-Class,3,3,260
Tempo,156.67,41,303
Position,32,32,225
Tempo-Class,3,3,260
Tempo,163.33,43,305
Position,48,48,241
Tempo-Class,3,3,260
Tempo,153.33,40,302
Bar,0,0,192
Position,0,0,193
Tempo-Class,3,3,260
Tempo,156.67,41,303
Chord-Tone,Eb,3,325
Chord-Type,7,None,368
Chord-Slash,Eb,3,337
Position,16,16,209
Tempo-Class,3,3,260
Tempo,153.33,40,302
Position,32,32,225
Tempo-Class,3,3,260
Tempo,153.33,40,302
Position,48,48,241
Tempo-Class,3,3,260
Tempo,163.33,43,305
Bar,0,0,192
Position,0,0,193
Tempo-Class,3,3,260
Tempo,153.33,40,302
Chord-Tone,Eb,3,325
Chord-Type,7,None,368
Chord-Slash,Eb,3,337
Position,7,7,200
Phrase,0,0,393
MLU-Type,lick,0,397
MLU-Subtype,general,0,402
Note-Velocity,19,19,147
Note-On,70,70,70
Note-Duration,2,2,161
Position,10,10,203
Note-Velocity,17,17,145
Note-On,73,73,73
Note-Duration,2,2,161
Position,14,14,207
Note-Velocity,22,22,150
Note-On,75,75,75
Note-Duration,4,4,163
Position,16,16,209
Tempo-Class,3,3,260
Tempo,160.00,42,304
Position,22,22,215
Note-Velocity,21,21,149
Note-On,75,75,75
Note-Duration,4,4,163
Position,30,30,223
Note-Velocity,20,20,148
Note-On,75,75,75
Note-Duration,4,4,163
Position,32,32,225
Tempo-Class,3,3,260
Tempo,160.00,42,304
Position,38,38,231
Note-Velocity,20,20,148
Note-On,70,70,70
Note-Duration,4,4,163
Position,47,47,240
Note-Velocity,24,24,152
Note-On,73,73,73
Note-Duration,7,7,166
Position,48,48,241
Tempo-Class,3,3,260
Tempo,166.67,44,306
Position,55,55,248
Note-Velocity,25,25,153
Note-On,75,75,75
Note-Duration,11,11,170
Bar,0,0,192
Position,0,0,193
Tempo-Class,3,3,260
Tempo,163.33,43,305
Chord-Tone,Eb,3,325
Chord-Type,7,None,368
Chord-Slash,Eb,3,337
Position,2,2,195
Note-Velocity,21,21,149
Note-On,77,77,77
Note-Duration,4,4,163
Position,7,7,200
Note-Velocity,19,19,147
Note-On,75,75,75
Note-Duration,3,3,162
Position,10,10,203
Note-Velocity,23,23,151
Note-On,74,74,74
Note-Duration,5,5,164
Position,16,16,209
Tempo-Class,3,3,260
Tempo,150.00,39,301
Note-Velocity,22,22,150
Note-On,73,73,73
Note-Duration,8,8,167
Position,26,26,219
Note-Velocity,24,24,152
Note-On,77,77,77
Note-Duration,5,5,164
Position,32,32,225
Tempo-Class,3,3,260
Tempo,160.00,42,304
Position,33,33,226
Note-Velocity,21,21,149
Note-On,74,74,74
Note-Duration,4,4,163
Position,36,36,229
Note-Velocity,23,23,151
Note-On,72,72,72
Note-Duration,2,2,161
Position,39,39,232
Note-Velocity,25,25,153
Note-On,71,71,71
Note-Duration,8,8,167
Position,48,48,241
Tempo-Class,3,3,260
Tempo,156.67,41,303
Note-Velocity,25,25,153
Note-On,70,70,70
Note-Duration,7,7,166
Position,55,55,248
Note-Velocity,25,25,153
Note-On,69,69,69
Note-Duration,8,8,167
Bar,0,0,192
Position,0,0,193
Tempo-Class,3,3,260
Tempo,156.67,41,303
Chord-Tone,Ab,8,330
Chord-Type,7,None,368
Chord-Slash,Ab,8,342
MLU-Type,lick,0,397
MLU-Subtype,general,0,402
Backref-Referred,0,0,417
Note-Velocity,15,15,143
Note-On,68,68,68
Note-Duration,13,13,172
Position,14,14,207
Note-Velocity,21,21,149
Note-On,68,68,68
Note-Duration,9,9,168
Position,16,16,209
Tempo-Class,3,3,260
Tempo,153.33,40,302
Position,24,24,217
Note-Velocity,18,18,146
Note-On,68,68,68
Note-Duration,5,5,164
Position,30,30,223
Note-Velocity,21,21,149
Note-On,68,68,68
Note-Duration,9,9,168
Position,32,32,225
Tempo-Class,3,3,260
Tempo,156.67,41,303
Position,39,39,232
Note-Velocity,18,18,146
Note-On,68,68,68
Note-Duration,8,8,167
Position,48,48,241
Tempo-Class,3,3,260
Tempo,153.33,40,302
Note-Velocity,21,21,149
Note-On,68,68,68
Note-Duration,7,7,166
Position,56,56,249
Note-Velocity,16,16,144
Note-On,68,68,68
Note-Duration,6,6,165
Position,62,62,255
Note-Velocity,19,19,147
Note-On,66,66,66
Note-Duration,16,16,175
Bar,0,0,192
Position,0,0,193
Tempo-Class,3,3,260
Tempo,156.67,41,303
Chord-Tone,Ab,8,330
