EVENT,VALUE,VALUE_IDX,ENCODING
Part-Start,I,I,433
Rep-Start,1,1,439
Position,32,32,225
Tempo-Class,1,1,258
Tempo,82.50,13,275
Chord-Tone,F,5,327
Chord-Type,-,None,354
Chord-Slash,F,5,339
Position,48,48,241
Tempo-Class,1,1,258
Tempo,80.00,12,274
Chord-Tone,Bb,10,332
Chord-Type,7,None,368
Chord-Slash,Bb,10,344
Position,63,63,256
Phrase,0,0,393
MLU-Type,lick,0,397
MLU-Subtype,general,0,402
Backref-Referred,0,0,417
Note-Velocity,15,15,143
Note-On,70,70,70
Note-Duration,4,4,163
Rep-End,1,1,445
Part-End,I,I,438
Part-Start,A,A,429
Rep-Start,1,1,439
Bar,0,0,192
Position,0,0,193
Tempo-Class,1,1,258
Tempo,85.00,14,276
Chord-Tone,Eb,3,325
Chord-Type,,None,346
Chord-Slash,Eb,3,337
Position,4,4,197
Note-Velocity,15,15,143
Note-On,82,82,82
Note-Duration,4,4,163
Position,9,9,202
Note-Velocity,16,16,144
Note-On,79,79,79
Note-Duration,5,5,164
Position,15,15,208
Note-Velocity,15,15,143
Note-On,77,77,77
Note-Duration,6,6,165
Position,16,16,209
Tempo-Class,0,0,257
Tempo,80.00,12,274
Position,20,20,213
Note-Velocity,11,11,139
Note-On,75,75,75
Note-Duration,5,5,164
Position,25,25,218
Note-Velocity,17,17,145
Note-On,74,74,74
Note-Duration,6,6,165
Position,31,31,224
Note-Velocity,10,10,138
Note-On,72,72,72
Note-Duration,16,16,175
Position,32,32,225
Tempo-Class,1,1,258
Tempo,82.50,13,275
Chord-Tone,E,4,326
Chord-Type,o7,None,388
Chord-Slash,E,4,338
Position,48,48,241
Tempo-Class,1,1,258
Tempo,85.00,14,276
Position,63,63,256
MLU-Type,lick,0,397
MLU-Subtype,general,0,402
Backref-Distance,1,1,418
Backref-Variation,-,0,426
Backref-Referred,0,0,417
Note-Velocity,18,18,146
Note-On,68,68,68
Note-Duration,6,6,165
Bar,0,0,192
Position,0,0,193
Tempo-Class,1,1,258
Tempo,82.50,13,275
Chord-Tone,F,5,327
Chord-Type,-7,None,357
Chord-Slash,F,5,339
Position,5,5,198
Note-Velocity,16,16,144
Note-On,80,80,80
Note-Duration,4,4,163
Position,10,10,203
Note-Velocity,18,18,146
Note-On,79,79,79
Note-Duration,5,5,164
Position,16,16,209
Tempo-Class,1,1,258
Tempo,80.00,12,274
Note-Velocity,16,16,144
Note-On,77,77,77
Note-Duration,6,6,165
Position,22,22,215
Note-Velocity,13,13,141
Note-On,75,75,75
Note-Duration,4,4,163
Position,25,25,218
Note-Velocity,16,16,144
Note-On,74,74,74
Note-Duration,5,5,164
Position,31,31,224
Note-Velocity,9,9,137
Note-On,72,72,72
Note-Duration,17,17,176
Position,32,32,225
Tempo-Class,0,0,257
Tempo,77.50,11,273
Chord-Tone,D,2,324
Chord-Type,7,None,368
Chord-Slash,F#,6,340
Position,48,48,241
Tempo-Class,1,1,258
Tempo,80.00,12,274
Position,62,62,255
Phrase,0,0,393
MLU-Type,lick,0,397
MLU-Subtype,general,0,402
Note-Velocity,14,14,142
Note-On,67,67,67
Note-Duration,12,12,171
Bar,0,0,192
Position,0,0,193
Tempo-Class,1,1,258
Tempo,85.00,14,276
Chord-Tone,Eb,3,325
Chord-Type,6,None,365
Chord-Slash,Eb,3,337
Position,15,15,208
Note-Velocity,23,23,151
Note-On,79,79,79
Note-Duration,5,5,164
Position,16,16,209
Tempo-Class,1,1,258
Tempo,82.50,13,275
Position,21,21,214
Note-Velocity,19,19,147
Note-On,77,77,77
Note-Duration,4,4,163
Position,24,24,217
Note-Velocity,14,14,142
Note-On,75,75,75
Note-Duration,4,4,163
Position,28,28,221
Note-Velocity,19,19,147
Note-On,74,74,74
Note-Duration,4,4,163
Position,32,32,225
Tempo-Class,0,0,257
Tempo,77.50,11,273
Chord-Tone,C,0,322
Chord-Type,-7,None,357
Chord-Slash,C,0,334
Note-Velocity,18,18,146
Note-On,72,72,72
Note-Duration,4,4,163
Position,37,37,230
Note-Velocity,12,12,140
Note-On,70,70,70
Note-Duration,3,3,162
Position,40,40,233
Note-Velocity,17,17,145
Note-On,72,72,72
Note-Duration,4,4,163
Position,44,44,237
Note-Velocity,19,19,147
Note-On,74,74,74
Note-Duration,3,3,162
Position,47,47,240
Note-Velocity,16,16,144
Note-On,75,75,75
Note-Duration,4,4,163
Position,48,48,241
Tempo-Class,1,1,258
Tempo,80.00,12,274
Position,51,51,244
Note-Velocity,18,18,146
Note-On,79,79,79
Note-Duration,4,4,163
Position,55,55,248
Note-Velocity,17,17,145
Note-On,82,82,82
Note-Duration,5,5,164
Position,62,62,255
Note-Velocity,24,24,152
Note-On,86,86,86
Note-Duration,5,5,164
Bar,0,0,192
Position,0,0,193
Tempo-Class,1,1,258
Tempo,85.00,14,276
Chord-Tone,F,5,327
Chord-Type,7,None,368
Chord-Slash,F,5,339
Position,4,4,197
Note-Velocity,14,14,142
Note-On,84,84,84
Note-Duration,3,3,162
Position,7,7,200
Note-Velocity,15,15,143
Note-On,79,79,79
Note-Duration,5,5,164
Position,12,12,205
Note-Velocity,13,13,141
Note-On,75,75,75
Note-Duration,3,3,162
Position,15,15,208
Note-Velocity,14,14,142
Note-On,72,72,72
Note-Duration,7,7,166
Position,16,16,209
Tempo-Class,1,1,258
Tempo,85.00,14,276
Position,24,24,217
Note-Velocity,15,15,143
Note-On,72,72,72
Note-Duration,7,7,166
Position,31,31,224
Note-Velocity,21,21,149
Note-On,71,71,71
Note-Duration,6,6,165
Position,32,32,225
Tempo-Class,1,1,258
Tempo,82.50,13,275
Position,37,37,230
Note-Velocity,21,21,149
Note-On,71,71,71
Note-Duration,3,3,162
Position,40,40,233
Note-Velocity,22,22,150
Note-On,71,71,71
Note-Duration,5,5,164
Position,46,46,239
Note-Velocity,20,20,148
Note-On,71,71,71
Note-Duration,1,1,160
Position,48,48,241
Tempo-Class,1,1,258
Tempo,82.50,13,275
Note-Velocity,20,20,148
Note-On,79,79,79
Note-Duration,5,5,164
Position,54,54,247
Note-Velocity,19,19,147
Note-On,79,79,79
Note-Duration,2,2,161
Position,57,57,250
Note-Velocity,16,16,144
Note-On,79,79,79
Note-Duration,4,4,163
Position,62,62,255
MLU-Type,lick,0,397
MLU-Subtype,general,0,402
Note-Velocity,6,6,134
Note-On,75,75,75
Note-Duration,2,2,161
Bar,0,0,192
Position,0,0,193
Tempo-Class,0,0,257
Tempo,80.00,12,274
Chord-Tone,Eb,3,325
Chord-Type,6,None,365
Chord-Slash,Eb,3,337
Note-Velocity,19,19,147
Note-On,77,77,77
Note-Duration,5,5,164
Position,5,5,198
Note-Velocity,15,15,143
Note-On,75,75,75
Note-Duration,3,3,162
Position,8,8,201
Note-Velocity,18,18,146
Note-On,77,77,77
Note-Duration,5,5,164
Position,13,13,206
Note-Velocity,10,10,138
Note-On,75,75,75
Note-Duration,2,2,161
Position,16,16,209
Tempo-Class,1,1,258
Tempo,82.50,13,275
Note-Velocity,15,15,143
Note-On,72,72,72
Note-Duration,6,6,165
Position,21,21,214
Note-Velocity,12,12,140
Note-On,70,70,70
Note-Duration,3,3,162
Position,24,24,217
Note-Velocity,16,16,144
Note-On,65,65,65
Note-Duration,5,5,164
Position,29,29,222
Note-Velocity,13,13,141
Note-On,63,63,63
Note-Duration,4,4,163
Position,32,32,225
Tempo-Class,1,1,258
Tempo,82.50,13,275
Chord-Tone,C,0,322
Chord-Type,-7,None,357
Chord-Slash,C,0,334
Position,48,48,241
Tempo-Class,1,1,258
Tempo,85.00,14,276
Position,57,57,250
Phrase,0,0,393
MLU-Type,lick,0,397
MLU-Subtype,general,0,402
Backref-Referred,0,0,417
Note-Velocity,10,10,138
Note-On,61,61,61
Note-Duration,3,3,162
Position,59,59,252
Note-Velocity,16,16,144
Note-On,63,63,63
Note-Duration,2,2,161
Position,62,62,255
Note-Velocity,17,17,145
Note-On,65,65,65
Note-Duration,2,2,161
Bar,0,0,192
Position,0,0,193
Tempo-Class,0,0,257
Tempo,80.00,12,274
Chord-Tone,G,7,329
Chord-Type,-7,None,357
Chord-Slash,G,7,341
Note-Velocity,20,20,148
Note-On,70,70,70
Note-Duration,6,6,165
Position,8,8,201
MLU-Type,lick,0,397
MLU-Subtype,general,0,402
Backref-Distance,1,1,418
Note-Velocity,16,16,144
Note-On,61,61,61
Note-Duration,2,2,161
Position,10,10,203
Note-Velocity,15,15,143
Note-On,63,63,63
Note-Duration,3,3,162
Position,13,13,206
Note-Velocity,18,18,146
Note-On,65,65,65
Note-Duration,2,2,161
Position,15,15,208
Note-Velocity,18,18,146
Note-On,70,70,70
Note-Duration,7,7,166
Position,16,16,209
Tempo-Class,1,1,258
Tempo,82.50,13,275
Position,24,24,217
MLU-Type,lick,0,397
MLU-Subtype,general,0,402
Note-Velocity,18,18,146
Note-On,67,67,67
Note-Duration,5,5,164
Position,29,29,222
Note-Velocity,17,17,145
Note-On,66,66,66
Note-Duration,3,3,162
Position,32,32,225
Tempo-Class,1,1,258
Tempo,82.50,13,275
Chord-Tone,C,0,322
Chord-Type,79,None,369
Chord-Slash,C,0,334
Note-Velocity,17,17,145
Note-On,60,60,60
Note-Duration,5,5,164
Position,37,37,230
Note-Velocity,16,16,144
Note-On,59,59,59
Note-Duration,3,3,162
Position,41,41,234
Note-Velocity,14,14,142
Note-On,58,58,58
Note-Duration,4,4,163
Position,45,45,238
