EVENT,VALUE,VALUE_IDX,ENCODING
Part-Start,I,I,433
Rep-Start,1,1,439
Position,48,48,241
Tempo-Class,4,4,261
Tempo,250.00,54,316
Phrase,0,0,393
MLU-Type,lick,0,397
MLU-Subtype,general,0,402
Note-Velocity,18,18,146
Note-On,72,72,72
Note-Duration,8,8,167
Position,57,57,250
Note-Velocity,24,24,152
Note-On,73,73,73
Note-Duration,8,8,167
Bar,0,0,192
Position,0,0,193
Tempo-Class,4,4,261
Tempo,238.33,53,315
Note-Velocity,21,21,149
Note-On,72,72,72
Note-Duration,8,8,167
Position,8,8,201
Note-Velocity,22,22,150
Note-On,70,70,70
Note-Duration,7,7,166
Position,16,16,209
Tempo-Class,4,4,261
Tempo,250.00,54,316
Note-Velocity,24,24,152
Note-On,68,68,68
Note-Duration,8,8,167
Position,23,23,216
Note-Velocity,19,19,147
Note-On,67,67,67
Note-Duration,8,8,167
Position,32,32,225
Tempo-Class,4,4,261
Tempo,215.00,51,313
Position,33,33,226
Note-Velocity,21,21,149
Note-On,64,64,64
Note-Duration,4,4,163
Position,48,48,241
Tempo-Class,4,4,261
Tempo,215.00,51,313
Position,49,49,242
Note-Velocity,18,18,146
Note-On,60,60,60
Note-Duration,12,12,171
Rep-End,1,1,445
Part-End,I,I,438
Part-Start,A,A,429
Rep-Start,1,1,439
Bar,0,0,192
Position,0,0,193
Tempo-Class,4,4,261
Tempo,250.00,54,316
Chord-Tone,F,5,327
Chord-Type,-7,None,357
Chord-Slash,F,5,339
Note-Velocity,22,22,150
Note-On,65,65,65
Note-Duration,10,10,169
Position,16,16,209
Tempo-Class,4,4,261
Tempo,250.00,54,316
Position,32,32,225
Tempo-Class,4,4,261
Tempo,250.00,54,316
Position,34,34,227
Note-Velocity,21,21,149
Note-On,72,72,72
Note-Duration,11,11,170
Position,48,48,241
Tempo-Class,4,4,261
Tempo,226.67,52,314
Bar,0,0,192
Position,0,0,193
Tempo-Class,4,4,261
Tempo,226.67,52,314
Chord-Tone,C,0,322
Chord-Type,79#,None,370
Chord-Slash,C,0,334
Position,3,3,196
Note-Velocity,20,20,148
Note-On,68,68,68
Note-Duration,9,9,168
Position,16,16,209
Tempo-Class,4,4,261
Tempo,238.33,53,315
Position,26,26,219
Note-Velocity,17,17,145
Note-On,64,64,64
Note-Duration,7,7,166
Position,32,32,225
Tempo-Class,4,4,261
Tempo,215.00,51,313
Position,44,44,237
Note-Velocity,24,24,152
Note-On,71,71,71
Note-Duration,9,9,168
Position,48,48,241
Tempo-Class,4,4,261
Tempo,250.00,54,316
Position,56,56,249
Note-Velocity,19,19,147
Note-On,72,72,72
Note-Duration,32,32,191
Bar,0,0,192
Position,0,0,193
Tempo-Class,4,4,261
Tempo,238.33,53,315
Chord-Tone,F,5,327
Chord-Type,-7,None,357
Chord-Slash,F,5,339
Position,16,16,209
Tempo-Class,4,4,261
Tempo,215.00,51,313
Position,24,24,217
Note-Velocity,22,22,150
Note-On,73,73,73
Note-Duration,6,6,165
Position,32,32,225
Tempo-Class,4,4,261
Tempo,238.33,53,315
Position,33,33,226
Note-Velocity,19,19,147
Note-On,72,72,72
Note-Duration,9,9,168
Position,42,42,235
Note-Velocity,22,22,150
Note-On,70,70,70
Note-Duration,8,8,167
Position,48,48,241
Tempo-Class,4,4,261
Tempo,238.33,53,315
Bar,0,0,192
Position,0,0,193
Tempo-Class,4,4,261
Tempo,250.00,54,316
Chord-Tone,F,5,327
Chord-Type,79b,None,377
Chord-Slash,F,5,339
Position,16,16,209
Tempo-Class,4,4,261
Tempo,250.00,54,316
Position,32,32,225
Tempo-Class,4,4,261
Tempo,238.33,53,315
Position,48,48,241
Tempo-Class,4,4,261
Tempo,238.33,53,315
Bar,0,0,192
Position,0,0,193
Tempo-Class,4,4,261
Tempo,250.00,54,316
Chord-Tone,Bb,10,332
Chord-Type,-7,None,357
Chord-Slash,Bb,10,344
Position,16,16,209
Tempo-Class,4,4,261
Tempo,238.33,53,315
Note-Velocity,21,21,149
Note-On,73,73,73
Note-Duration,9,9,168
Position,32,32,225
Tempo-Class,4,4,261
Tempo,226.67,52,314
Note-Velocity,23,23,151
Note-On,77,77,77
Note-Duration,31,31,190
Position,48,48,241
Tempo-Class,4,4,261
Tempo,226.67,52,314
Bar,0,0,192
Position,0,0,193
Tempo-Class,4,4,261
Tempo,226.67,52,314
Chord-Tone,F,5,327
Chord-Type,79#,None,370
Chord-Slash,F,5,339
Position,2,2,195
Note-Velocity,18,18,146
Note-On,72,72,72
Note-Duration,20,20,179
Position,16,16,209
Tempo-Class,4,4,261
Tempo,226.67,52,314
Position,24,24,217
Note-Velocity,16,16,144
Note-On,75,75,75
Note-Duration,10,10,169
Position,32,32,225
Tempo-Class,4,4,261
Tempo,215.00,51,313
Position,46,46,239
Note-Velocity,24,24,152
Note-On,73,73,73
Note-Duration,6,6,165
Position,48,48,241
Tempo-Class,4,4,261
Tempo,261.67,55,317
Bar,0,0,192
Position,0,0,193
Tempo-Class,4,4,261
Tempo,238.33,53,315
Chord-Tone,Bb,10,332
Chord-Type,-7,None,357
Chord-Slash,Bb,10,344
Position,10,10,203
Note-Velocity,18,18,146
Note-On,64,64,64
Note-Duration,3,3,162
Position,13,13,206
Note-Velocity,17,17,145
Note-On,65,65,65
Note-Duration,8,8,167
Position,16,16,209
Tempo-Class,4,4,261
Tempo,238.33,53,315
Position,24,24,217
Note-Velocity,24,24,152
Note-On,72,72,72
Note-Duration,6,6,165
Position,32,32,225
Tempo-Class,4,4,261
Tempo,250.00,54,316
Position,48,48,241
Tempo-Class,4,4,261
Tempo,238.33,53,315
Bar,0,0,192
Position,0,0,193
Tempo-Class,4,4,261
Tempo,261.67,55,317
Chord-Tone,Bb,10,332
Chord-Type,-7,None,357
Chord-Slash,Bb,10,344
Position,16,16,209
Tempo-Class,4,4,261
Tempo,261.67,55,317
Position,32,32,225
Tempo-Class,4,4,261
Tempo,250.00,54,316
Position,48,48,241
Tempo-Class,4,4,261
Tempo,238.33,53,315
Rep-End,1,1,445
Part-End,A,A,434
Part-Start,B,B,430
Rep-Start,1,1,439
Bar,0,0,192
Position,0,0,193
Tempo-Class,4,4,261
Tempo,226.67,52,314
Chord-Tone,Db,1,323
Chord-Type,j7,None,381
Chord-Slash,Db,1,335
Position,16,16,209
Tempo-Class,4,4,261
Tempo,226.67,52,314
Phrase,0,0,393
MLU-Type,line,0,398
MLU-Subtype,w,0,411
Note-Velocity,14,14,142
Note-On,61,61,61
Note-Duration,4,4,163
Position,27,27,220
Note-Velocity,19,19,147
Note-On,63,63,63
Note-Duration,4,4,163
Position,31,31,224
Note-Velocity,21,21,149
Note-On,65,65,65
Note-Duration,8,8,167
Position,32,32,225
Tempo-Class,4,4,261
Tempo,215.00,51,313
Position,41,41,234
Note-Velocity,19,19,147
Note-On,67,67,67
Note-Duration,7,7,166
Position,47,47,240
Note-Velocity,22,22,150
Note-On,68,68,68
Note-Duration,7,7,166
Position,48,48,241
Tempo-Class,4,4,261
Tempo,226.67,52,314
Position,54,54,247
Note-Velocity,20,20,148
Note-On,70,70,70
Note-Duration,7,7,166
Bar,0,0,192
Position,0,0,193
Tempo-Class,4,4,261
Tempo,238.33,53,315
Chord-Tone,D,2,324
Chord-Type,-7,None,357
Chord-Slash,D,2,336
Position,10,10,203
Note-Velocity,16,16,144
Note-On,64,64,64
Note-Duration,4,4,163
Position,14,14,207
Note-Velocity,16,16,144
Note-On,65,65,65
Note-Duration,7,7,166
Position,16,16,209
Tempo-Class,4,4,261
Tempo,250.00,54,316
Position,23,23,216
Note-Velocity,20,20,148
Note-On,67,67,67
Note-Duration,7,7,166
Position,31,31,224
Note-Velocity,20,20,148
Note-On,69,69,69
Note-Duration,8,8,167
Position,32,32,225
Tempo-Class,4,4,261
Tempo,238.33,53,315
Chord-Tone,G,7,329
Chord-Type,7,None,368
Chord-Slash,G,7,341
Position,40,40,233
Note-Velocity,26,26,154
Note-On,71,71,71
Note-Duration,5,5,164
Position,46,46,239
Note-Velocity,22,22,150
Note-On,72,72,72
Note-Duration,9,9,168
Position,48,48,241
Tempo-Class,4,4,261
Tempo,238.33,53,315
Position,55,55,248
Note-Velocity,19,19,147
Note-On,73,73,73
Note-Duration,9,9,168
Bar,0,0,192
Position,0,0,193
Tempo-Class,4,4,261
Tempo,238.33,53,315
Chord-Tone,C,0,322
Chord-Type,j7,None,381
Chord-Slash,C,0,334
Note-Velocity,24,24,152
Note-On,74,74,74
Note-Duration,8,8,167
Position,8,8,201
Note-Velocity,24,24,152
Note-On,76,76,76
Note-Duration,8,8,167
Position,16,16,209
Tempo-Class,4,4,261
Tempo,250.00,54,316
Note-Velocity,23,23,151
Note-On,74,74,74
Note-Duration,8,8,167
Position,26,26,219
Note-Velocity,18,18,146
Note-On,72,72,72
Note-Duration,8,8,167
Position,32,32,225
Tempo-Class,4,4,261
Tempo,226.67,52,314
Position,34,34,227
Note-Velocity,23,23,151
Note-On,71,71,71
Note-Duration,6,6,165
Position,41,41,234
Note-Velocity,23,23,151
Note-On,69,69,69
Note-Duration,6,6,165
Position,47,47,240
Note-Velocity,21,21,149
Note-On,67,67,67
Note-Duration,8,8,167
Position,48,48,241
Tempo-Class,4,4,261
Tempo,250.00,54,316
Bar,0,0,192
Position,0,0,193
Tempo-Class,4,4,261
Tempo,250.00,54,316
Chord-Tone,C#,1,323
Chord-Type,-7,None,357
Chord-Slash,C#,1,335
