EVENT,VALUE,VALUE_IDX,ENCODING
Part-Start,A,A,429
Rep-Start,1,1,439
Bar,0,0,192
Position,0,0,193
Tempo-Class,3,3,260
Tempo,146.67,38,300
Chord-Tone,G,7,329
Chord-Type,m7b5,None,386
Chord-Slash,G,7,341
Position,3,3,196
Phrase,0,0,393
MLU-Type,lick,0,397
MLU-Subtype,general,0,402
Note-Velocity,25,25,153
Note-On,68,68,68
Note-Duration,10,10,169
Position,16,16,209
Tempo-Class,3,3,260
Tempo,146.67,38,300
Note-Velocity,19,19,147
Note-On,70,70,70
Note-Duration,21,21,180
Position,32,32,225
Tempo-Class,3,3,260
Tempo,160.00,42,304
Position,43,43,236
Note-Velocity,27,27,155
Note-On,65,65,65
Note-Duration,8,8,167
Position,48,48,241
Tempo-Class,3,3,260
Tempo,153.33,40,302
Position,57,57,250
Note-Velocity,25,25,153
Note-On,67,67,67
Note-Duration,30,30,189
Bar,0,0,192
Position,0,0,193
Tempo-Class,3,3,260
Tempo,160.00,42,304
Chord-Tone,C,0,322
Chord-Type,79b,None,377
Chord-Slash,C,0,334
Position,16,16,209
Tempo-Class,3,3,260
Tempo,146.67,38,300
Position,28,28,221
Note-Velocity,22,22,150
Note-On,70,70,70
Note-Duration,8,8,167
Position,32,32,225
Tempo-Class,3,3,260
Tempo,150.00,39,301
Position,42,42,235
Note-Velocity,19,19,147
Note-On,73,73,73
Note-Duration,21,21,180
Position,48,48,241
Tempo-Class,3,3,260
Tempo,150.00,39,301
Bar,0,0,192
Position,0,0,193
Tempo-Class,3,3,260
Tempo,150.00,39,301
Chord-Tone,F,5,327
Chord-Type,-7,None,357
Chord-Slash,F,5,339
Note-Velocity,22,22,150
Note-On,72,72,72
Note-Duration,9,9,168
Position,16,16,209
Tempo-Class,3,3,260
Tempo,146.67,38,300
Note-Velocity,23,23,151
Note-On,68,68,68
Note-Duration,21,21,180
Position,32,32,225
Tempo-Class,3,3,260
Tempo,156.67,41,303
Position,41,41,234
Note-Velocity,22,22,150
Note-On,70,70,70
Note-Duration,12,12,171
Position,48,48,241
Tempo-Class,3,3,260
Tempo,156.67,41,303
Position,55,55,248
Note-Velocity,22,22,150
Note-On,67,67,67
Note-Duration,31,31,190
Bar,0,0,192
Position,0,0,193
Tempo-Class,3,3,260
Tempo,150.00,39,301
Chord-Tone,F,5,327
Chord-Type,-7,None,357
Chord-Slash,F,5,339
Position,16,16,209
Tempo-Class,3,3,260
Tempo,160.00,42,304
Position,25,25,218
Note-Velocity,26,26,154
Note-On,68,68,68
Note-Duration,7,7,166
Position,32,32,225
Tempo-Class,3,3,260
Tempo,160.00,42,304
Position,34,34,227
Note-Velocity,27,27,155
Note-On,65,65,65
Note-Duration,7,7,166
Position,42,42,235
Note-Velocity,26,26,154
Note-On,67,67,67
Note-Duration,5,5,164
Position,48,48,241
Tempo-Class,3,3,260
Tempo,153.33,40,302
Note-Velocity,25,25,153
Note-On,68,68,68
Note-Duration,10,10,169
Bar,0,0,192
Position,0,0,193
Tempo-Class,3,3,260
Tempo,156.67,41,303
Chord-Tone,Bb,10,332
Chord-Type,-7,None,357
Chord-Slash,Bb,10,344
Position,12,12,205
Note-Velocity,19,19,147
Note-On,61,61,61
Note-Duration,22,22,181
Position,16,16,209
Tempo-Class,3,3,260
Tempo,150.00,39,301
Position,32,32,225
Tempo-Class,3,3,260
Tempo,150.00,39,301
Position,48,48,241
Tempo-Class,3,3,260
Tempo,153.33,40,302
Bar,0,0,192
Position,0,0,193
