EVENT,VALUE,VALUE_IDX,ENCODING
Part-Start,I,I,433
Rep-Start,1,1,439
Position,48,48,241
Tempo-Class,3,3,260
Tempo,163.33,43,305
Bar,0,0,192
Position,0,0,193
Tempo-Class,3,3,260
Tempo,146.67,38,300
Position,12,12,205
Phrase,0,0,393
MLU-Type,lick,0,397
MLU-Subtype,general,0,402
Note-Velocity,23,23,151
Note-On,58,58,58
Note-Duration,14,14,173
Position,16,16,209
Tempo-Class,3,3,260
Tempo,143.33,37,299
Position,28,28,221
Note-Velocity,22,22,150
Note-On,60,60,60
Note-Duration,12,12,171
Position,32,32,225
Tempo-Class,3,3,260
Tempo,153.33,40,302
Position,43,43,236
Note-Velocity,24,24,152
Note-On,62,62,62
Note-Duration,5,5,164
Position,48,48,241
Tempo-Class,3,3,260
Tempo,153.33,40,302
Position,50,50,243
Note-Velocity,23,23,151
Note-On,55,55,55
Note-Duration,7,7,166
Position,57,57,250
Note-Velocity,24,24,152
Note-On,58,58,58
Note-Duration,6,6,165
Rep-End,1,1,445
Part-End,I,I,438
Part-Start,A,A,429
Rep-Start,1,1,439
Bar,0,0,192
Position,0,0,193
Tempo-Class,3,3,260
Tempo,153.33,40,302
Chord-Tone,G,7,329
Chord-Type,7,None,368
Chord-Slash,G,7,341
Position,1,1,194
Note-Velocity,23,23,151
Note-On,60,60,60
Note-Duration,8,8,167
Position,11,11,204
Note-Velocity,23,23,151
Note-On,58,58,58
Note-Duration,6,6,165
Position,16,16,209
Tempo-Class,3,3,260
Tempo,163.33,43,305
Position,17,17,210
Note-Velocity,24,24,152
Note-On,55,55,55
Note-Duration,9,9,168
Position,28,28,221
Note-Velocity,23,23,151
Note-On,53,53,53
Note-Duration,6,6,165
Position,32,32,225
Tempo-Class,3,3,260
Tempo,146.67,38,300
Position,35,35,228
Note-Velocity,24,24,152
Note-On,55,55,55
Note-Duration,9,9,168
Position,48,48,241
Tempo-Class,3,3,260
Tempo,143.33,37,299
Bar,0,0,192
Position,0,0,193
Tempo-Class,3,3,260
Tempo,170.00,45,307
Chord-Tone,C,0,322
Chord-Type,7,None,368
Chord-Slash,C,0,334
Position,1,1,194
Phrase,0,0,393
MLU-Type,theme,0,401
Note-Velocity,23,23,151
Note-On,71,71,71
Note-Duration,3,3,162
Position,4,4,197
Note-Velocity,25,25,153
Note-On,64,64,64
Note-Duration,6,6,165
Position,11,11,204
Note-Velocity,24,24,152
Note-On,62,62,62
Note-Duration,8,8,167
Position,16,16,209
Tempo-Class,3,3,260
Tempo,153.33,40,302
Position,19,19,212
Note-Velocity,26,26,154
Note-On,64,64,64
Note-Duration,10,10,169
Position,30,30,223
Note-Velocity,24,24,152
Note-On,62,62,62
Note-Duration,5,5,164
Position,32,32,225
Tempo-Class,3,3,260
Tempo,153.33,40,302
Position,37,37,230
Note-Velocity,23,23,151
Note-On,64,64,64
Note-Duration,13,13,172
Position,48,48,241
Tempo-Class,3,3,260
Tempo,146.67,38,300
Position,51,51,244
Note-Velocity,25,25,153
Note-On,62,62,62
Note-Duration,6,6,165
Bar,0,0,192
Position,0,0,193
Tempo-Class,2,2,259
Tempo,140.00,36,298
Chord-Tone,G,7,329
Chord-Type,7,None,368
Chord-Slash,G,7,341
Position,2,2,195
Note-Velocity,21,21,149
Note-On,55,55,55
Note-Duration,10,10,169
Position,16,16,209
Tempo-Class,3,3,260
Tempo,156.67,41,303
Position,32,32,225
Tempo-Class,3,3,260
Tempo,160.00,42,304
Phrase,0,0,393
MLU-Type,lick,0,397
MLU-Subtype,general,0,402
Note-Velocity,23,23,151
Note-On,55,55,55
Note-Duration,8,8,167
Position,43,43,236
Note-Velocity,23,23,151
Note-On,58,58,58
Note-Duration,6,6,165
Position,48,48,241
Tempo-Class,3,3,260
Tempo,150.00,39,301
Position,50,50,243
Note-Velocity,23,23,151
Note-On,55,55,55
Note-Duration,8,8,167
Position,59,59,252
Note-Velocity,23,23,151
Note-On,60,60,60
Note-Duration,9,9,168
Bar,0,0,192
Position,0,0,193
Tempo-Class,3,3,260
Tempo,156.67,41,303
Chord-Tone,C,0,322
Chord-Type,7,None,368
Chord-Slash,C,0,334
Position,11,11,204
Note-Velocity,24,24,152
Note-On,55,55,55
Note-Duration,8,8,167
Position,16,16,209
Tempo-Class,3,3,260
Tempo,146.67,38,300
Position,19,19,212
Note-Velocity,22,22,150
Note-On,58,58,58
Note-Duration,12,12,171
Position,32,32,225
Tempo-Class,3,3,260
Tempo,173.33,46,308
Position,35,35,228
Note-Velocity,21,21,149
Note-On,53,53,53
Note-Duration,9,9,168
Position,43,43,236
Note-Velocity,24,24,152
Note-On,55,55,55
Note-Duration,5,5,164
Position,48,48,241
Tempo-Class,3,3,260
Tempo,153.33,40,302
Position,50,50,243
Note-Velocity,22,22,150
Note-On,50,50,50
Note-Duration,9,9,168
Position,59,59,252
Note-Velocity,22,22,150
Note-On,53,53,53
Note-Duration,5,5,164
Bar,0,0,192
Position,0,0,193
Tempo-Class,3,3,260
Tempo,160.00,42,304
Chord-Tone,G,7,329
Chord-Type,7,None,368
Chord-Slash,G,7,341
Position,1,1,194
Note-Velocity,19,19,147
Note-On,48,48,48
Note-Duration,9,9,168
Position,11,11,204
Note-Velocity,21,21,149
Note-On,50,50,50
Note-Duration,6,6,165
Position,16,16,209
Tempo-Class,3,3,260
Tempo,160.00,42,304
Position,19,19,212
Note-Velocity,22,22,150
Note-On,53,53,53
Note-Duration,15,15,174
Position,32,32,225
Tempo-Class,3,3,260
Tempo,160.00,42,304
Position,36,36,229
Note-Velocity,23,23,151
Note-On,55,55,55
Note-Duration,7,7,166
Position,44,44,237
Note-Velocity,24,24,152
Note-On,58,58,58
Note-Duration,5,5,164
Position,48,48,241
Tempo-Class,3,3,260
Tempo,160.00,42,304
Position,50,50,243
Note-Velocity,21,21,149
Note-On,53,53,53
Note-Duration,9,9,168
Position,59,59,252
Note-Velocity,23,23,151
Note-On,55,55,55
Note-Duration,30,30,189
Bar,0,0,192
Position,0,0,193
Tempo-Class,3,3,260
Tempo,156.67,41,303
Chord-Tone,C,0,322
Chord-Type,7,None,368
Chord-Slash,C,0,334
Position,16,16,209
Tempo-Class,3,3,260
Tempo,150.00,39,301
Position,26,26,219
Note-Velocity,23,23,151
Note-On,53,53,53
Note-Duration,5,5,164
Position,32,32,225
Tempo-Class,3,3,260
Tempo,163.33,43,305
Note-Velocity,23,23,151
Note-On,55,55,55
Note-Duration,15,15,174
Position,48,48,241
Tempo-Class,3,3,260
Tempo,156.67,41,303
Position,50,50,243
Note-Velocity,23,23,151
Note-On,58,58,58
Note-Duration,8,8,167
Bar,0,0,192
Position,0,0,193
Tempo-Class,3,3,260
Tempo,170.00,45,307
Chord-Tone,G,7,329
Chord-Type,7,None,368
Chord-Slash,G,7,341
Position,16,16,209
Tempo-Class,3,3,260
Tempo,140.00,36,298
Position,19,19,212
Note-Velocity,24,24,152
Note-On,55,55,55
Note-Duration,6,6,165
Position,26,26,219
Note-Velocity,24,24,152
Note-On,50,50,50
Note-Duration,6,6,165
Position,32,32,225
Tempo-Class,3,3,260
Tempo,146.67,38,300
Position,33,33,226
Note-Velocity,23,23,151
Note-On,53,53,53
Note-Duration,8,8,167
Position,42,42,235
Note-Velocity,23,23,151
Note-On,55,55,55
Note-Duration,8,8,167
Position,48,48,241
Tempo-Class,3,3,260
Tempo,163.33,43,305
Position,56,56,249
Note-Velocity,22,22,150
Note-On,55,55,55
Note-Duration,9,9,168
Bar,0,0,192
Position,0,0,193
Tempo-Class,3,3,260
Tempo,156.67,41,303
Chord-Tone,C,0,322
Chord-Type,7,None,368
Chord-Slash,C,0,334
Position,9,9,202
Note-Velocity,25,25,153
Note-On,62,62,62
Note-Duration,7,7,166
Position,16,16,209
Tempo-Class,3,3,260
Tempo,160.00,42,304
Position,25,25,218
Note-Velocity,15,15,143
Note-On,64,64,64
Note-Duration,5,5,164
Position,32,32,225
Tempo-Class,3,3,260
Tempo,166.67,44,306
Position,33,33,226
Note-Velocity,24,24,152
Note-On,65,65,65
Note-Duration,8,8,167
Position,48,48,241
Tempo-Class,3,3,260
Tempo,153.33,40,302
Note-Velocity,21,21,149
Note-On,67,67,67
Note-Duration,8,8,167
Bar,0,0,192
Position,0,0,193
Tempo-Class,3,3,260
Tempo,146.67,38,300
Chord-Tone,G,7,329
Chord-Type,7,None,368
Chord-Slash,G,7,341
Position,2,2,195
Note-Velocity,25,25,153
Note-On,62,62,62
Note-Duration,9,9,168
Position,16,16,209
Tempo-Class,3,3,260
Tempo,166.67,44,306
Position,32,32,225
Tempo-Class,3,3,260
Tempo,153.33,40,302
Position,33,33,226
Note-Velocity,23,23,151
Note-On,60,60,60
Note-Duration,10,10,169
Position,43,43,236
Note-Velocity,25,25,153
Note-On,62,62,62
Note-Duration,6,6,165
Position,48,48,241
Tempo-Class,3,3,260
Tempo,150.00,39,301
Position,50,50,243
Note-Velocity,23,23,151
Note-On,60,60,60
Note-Duration,8,8,167
Position,59,59,252
Note-Velocity,23,23,151
Note-On,55,55,55
Note-Duration,8,8,167
Bar,0,0,192
Position,0,0,193
Tempo-Class,3,3,260
Tempo,150.00,39,301
Chord-Tone,C,0,322
Chord-Type,7,None,368
Chord-Slash,C,0,334
Position,4,4,197
Note-Velocity,23,23,151
Note-On,58,58,58
Note-Duration,11,11,170
Position,15,15,208
Note-Velocity,22,22,150
Note-On,57,57,57
Note-Duration,2,2,161
Position,16,16,209
