EVENT,VALUE,VALUE_IDX,ENCODING
Part-Start,A,A,429
Rep-Start,1,1,439
Bar,0,0,192
Position,0,0,193
Tempo-Class,3,3,260
Tempo,170.00,45,307
Chord-Tone,Db,1,323
Chord-Type,7,None,368
Chord-Slash,Db,1,335
Position,5,5,198
Phrase,0,0,393
MLU-Type,line,0,398
MLU-Subtype,i,0,409
Backref-Referred,0,0,417
Note-Velocity,25,25,153
Note-On,68,68,68
Note-Duration,8,8,167
Position,16,16,209
Tempo-Class,3,3,260
Tempo,166.67,44,306
Position,32,32,225
Tempo-Class,3,3,260
Tempo,163.33,43,305
Position,37,37,230
Note-Velocity,26,26,154
Note-On,63,63,63
Note-Duration,8,8,167
Position,47,47,240
Note-Velocity,26,26,154
Note-On,62,62,62
Note-Duration,6,6,165
Position,48,48,241
Tempo-Class,3,3,260
Tempo,160.00,42,304
Position,54,54,247
Note-Velocity,26,26,154
Note-On,61,61,61
Note-Duration,11,11,170
Bar,0,0,192
Position,0,0,193
Tempo-Class,3,3,260
Tempo,163.33,43,305
Chord-Tone,Db,1,323
Chord-Type,7,None,368
Chord-Slash,Db,1,335
Position,4,4,197
Note-Velocity,26,26,154
Note-On,68,68,68
Note-Duration,30,30,189
Position,16,16,209
Tempo-Class,3,3,260
Tempo,166.67,44,306
Position,32,32,225
Tempo-Class,3,3,260
Tempo,166.67,44,306
Position,35,35,228
Note-Velocity,27,27,155
Note-On,63,63,63
Note-Duration,9,9,168
Position,46,46,239
Note-Velocity,27,27,155
Note-On,61,61,61
Note-Duration,6,6,165
Position,48,48,241
Tempo-Class,3,3,260
Tempo,163.33,43,305
Position,53,53,246
Note-Velocity,25,25,153
Note-On,60,60,60
Note-Duration,13,13,172
Bar,0,0,192
Position,0,0,193
Tempo-Class,3,3,260
Tempo,166.67,44,306
Chord-Tone,Gb,6,328
Chord-Type,7,None,368
Chord-Slash,Gb,6,340
Position,3,3,196
Note-Velocity,25,25,153
Note-On,68,68,68
Note-Duration,27,27,186
Position,16,16,209
Tempo-Class,3,3,260
Tempo,166.67,44,306
Position,32,32,225
Tempo-Class,3,3,260
Tempo,170.00,45,307
Position,35,35,228
Note-Velocity,26,26,154
Note-On,63,63,63
Note-Duration,10,10,169
Position,45,45,238
Note-Velocity,26,26,154
Note-On,61,61,61
Note-Duration,6,6,165
Position,48,48,241
Tempo-Class,3,3,260
Tempo,160.00,42,304
Position,52,52,245
Note-Velocity,24,24,152
Note-On,60,60,60
Note-Duration,11,11,170
Bar,0,0,192
Position,0,0,193
Tempo-Class,3,3,260
Tempo,163.33,43,305
Chord-Tone,Gb,6,328
Chord-Type,7,None,368
Chord-Slash,Gb,6,340
Position,3,3,196
Note-Velocity,26,26,154
Note-On,68,68,68
Note-Duration,14,14,173
Position,16,16,209
Tempo-Class,3,3,260
Tempo,176.67,47,309
Position,20,20,213
Note-Velocity,26,26,154
Note-On,68,68,68
Note-Duration,14,14,173
Position,32,32,225
Tempo-Class,3,3,260
Tempo,166.67,44,306
Position,34,34,227
Note-Velocity,28,28,156
Note-On,63,63,63
Note-Duration,9,9,168
Position,45,45,238
Note-Velocity,26,26,154
Note-On,61,61,61
Note-Duration,5,5,164
Position,48,48,241
Tempo-Class,3,3,260
Tempo,163.33,43,305
Position,52,52,245
Note-Velocity,24,24,152
Note-On,60,60,60
Note-Duration,14,14,173
Bar,0,0,192
Position,0,0,193
Tempo-Class,3,3,260
Tempo,166.67,44,306
Chord-Tone,F,5,327
Chord-Type,7,None,368
