EVENT,VALUE,VALUE_IDX,ENCODING
Part-Start,A,A,429
Rep-Start,1,1,439
Bar,0,0,192
Position,0,0,193
Tempo-Class,2,2,259
Tempo,110.00,24,286
Chord-Tone,C,0,322
Chord-Type,-7,None,357
Chord-Slash,C,0,334
Position,16,16,209
Tempo-Class,1,1,258
Tempo,107.50,23,285
Position,32,32,225
Tempo-Class,2,2,259
Tempo,110.00,24,286
Position,48,48,241
Tempo-Class,1,1,258
Tempo,102.50,21,283
Bar,0,0,192
Position,0,0,193
Tempo-Class,1,1,258
Tempo,102.50,21,283
Chord-Tone,Eb,3,325
Chord-Type,,None,346
Chord-Slash,Eb,3,337
Position,16,16,209
Tempo-Class,1,1,258
Tempo,107.50,23,285
Position,32,32,225
Tempo-Class,1,1,258
Tempo,107.50,23,285
Position,48,48,241
Tempo-Class,2,2,259
Tempo,115.00,26,288
Bar,0,0,192
Position,0,0,193
Tempo-Class,1,1,258
Tempo,102.50,21,283
Chord-Tone,C,0,322
Chord-Type,-7,None,357
Chord-Slash,C,0,334
Position,16,16,209
Tempo-Class,1,1,258
Tempo,105.00,22,284
Position,22,22,215
Phrase,0,0,393
MLU-Type,lick,0,397
MLU-Subtype,general,0,402
Note-Velocity,21,21,149
Note-On,62,62,62
Note-Duration,6,6,165
Position,32,32,225
Tempo-Class,1,1,258
Tempo,100.00,20,282
Note-Velocity,18,18,146
Note-On,62,62,62
Note-Duration,14,14,173
Position,48,48,241
Tempo-Class,1,1,258
Tempo,105.00,22,284
Position,49,49,242
Note-Velocity,22,22,150
Note-On,63,63,63
Note-Duration,6,6,165
Bar,0,0,192
Position,0,0,193
Tempo-Class,1,1,258
Tempo,107.50,23,285
Chord-Tone,Eb,3,325
Chord-Type,,None,346
Chord-Slash,Eb,3,337
Position,1,1,194
Note-Velocity,14,14,142
Note-On,56,56,56
Note-Duration,2,2,161
Position,4,4,197
Note-Velocity,15,15,143
Note-On,57,57,57
Note-Duration,19,19,178
Position,16,16,209
Tempo-Class,1,1,258
Tempo,105.00,22,284
Position,31,31,224
Note-Velocity,14,14,142
Note-On,55,55,55
Note-Duration,22,22,181
Position,32,32,225
Tempo-Class,1,1,258
Tempo,107.50,23,285
Position,48,48,241
Tempo-Class,1,1,258
Tempo,105.00,22,284
Rep-End,1,1,445
Part-End,A,A,434
Part-Start,A,A,429
Rep-Start,2,2,440
Bar,0,0,192
Position,0,0,193
Tempo-Class,1,1,258
Tempo,107.50,23,285
Chord-Tone,C,0,322
Chord-Type,-7,None,357
Chord-Slash,C,0,334
Position,3,3,196
Note-Velocity,16,16,144
Note-On,55,55,55
Note-Duration,4,4,163
Position,9,9,202
Note-Velocity,16,16,144
Note-On,57,57,57
Note-Duration,19,19,178
Position,16,16,209
Tempo-Class,1,1,258
Tempo,107.50,23,285
Position,32,32,225
Tempo-Class,1,1,258
Tempo,102.50,21,283
Note-Velocity,16,16,144
Note-On,55,55,55
Note-Duration,3,3,162
Position,37,37,230
Note-Velocity,18,18,146
Note-On,57,57,57
Note-Duration,3,3,162
Position,39,39,232
Note-Velocity,17,17,145
Note-On,55,55,55
Note-Duration,4,4,163
Position,48,48,241
Tempo-Class,1,1,258
Tempo,107.50,23,285
Note-Velocity,18,18,146
Note-On,57,57,57
Note-Duration,13,13,172
Bar,0,0,192
Position,0,0,193
Tempo-Class,1,1,258
Tempo,107.50,23,285
Chord-Tone,Eb,3,325
Chord-Type,,None,346
Chord-Slash,Eb,3,337
Position,4,4,197
