EVENT,VALUE,VALUE_IDX,ENCODING
Part-Start,I,I,433
Rep-Start,1,1,439
Position,32,32,225
Tempo-Class,0,0,257
Tempo,60.00,4,266
Position,48,48,241
Tempo-Class,0,0,257
Tempo,62.50,5,267
Rep-End,1,1,445
Part-End,I,I,438
Part-Start,A,A,429
Rep-Start,1,1,439
Bar,0,0,192
Position,0,0,193
Tempo-Class,0,0,257
Tempo,60.00,4,266
Chord-Tone,Eb,3,325
Chord-Type,j7,None,381
Chord-Slash,Eb,3,337
Position,5,5,198
Phrase,0,0,393
MLU-Type,melody,0,399
Note-Velocity,25,25,153
Note-On,70,70,70
Note-Duration,2,2,161
Position,7,7,200
Note-Velocity,25,25,153
Note-On,72,72,72
Note-Duration,2,2,161
Position,10,10,203
Note-Velocity,25,25,153
Note-On,74,74,74
Note-Duration,3,3,162
Position,13,13,206
Note-Velocity,17,17,145
Note-On,75,75,75
Note-Duration,1,1,160
Position,15,15,208
Note-Velocity,16,16,144
Note-On,74,74,74
Note-Duration,2,2,161
Position,16,16,209
Tempo-Class,0,0,257
Tempo,57.50,3,265
Position,17,17,210
Note-Velocity,25,25,153
Note-On,70,70,70
Note-Duration,19,19,178
Position,32,32,225
Tempo-Class,0,0,257
Tempo,57.50,3,265
Chord-Tone,E,4,326
Chord-Type,o7,None,388
Chord-Slash,E,4,338
Position,37,37,230
Note-Velocity,23,23,151
Note-On,67,67,67
Note-Duration,1,1,160
Position,38,38,231
Note-Velocity,23,23,151
Note-On,68,68,68
Note-Duration,3,3,162
Position,41,41,234
Note-Velocity,23,23,151
Note-On,67,67,67
Note-Duration,18,18,177
Position,48,48,241
Tempo-Class,0,0,257
Tempo,57.50,3,265
Position,60,60,253
Note-Velocity,24,24,152
Note-On,70,70,70
Note-Duration,2,2,161
Position,62,62,255
Note-Velocity,24,24,152
Note-On,67,67,67
Note-Duration,3,3,162
Bar,0,0,192
Position,0,0,193
Tempo-Class,0,0,257
Tempo,60.00,4,266
Chord-Tone,F,5,327
Chord-Type,-7,None,357
Chord-Slash,F,5,339
Position,1,1,194
Note-Velocity,22,22,150
Note-On,68,68,68
Note-Duration,5,5,164
Position,7,7,200
Note-Velocity,15,15,143
Note-On,65,65,65
Note-Duration,2,2,161
Position,16,16,209
Tempo-Class,0,0,257
Tempo,57.50,3,265
Position,29,29,222
Phrase,0,0,393
MLU-Type,lick,0,397
MLU-Subtype,general,0,402
Note-Velocity,24,24,152
Note-On,70,70,70
Note-Duration,3,3,162
Position,32,32,225
Tempo-Class,0,0,257
Tempo,57.50,3,265
Chord-Tone,Bb,10,332
Chord-Type,7,None,368
Chord-Slash,Bb,10,344
Note-Velocity,24,24,152
Note-On,69,69,69
Note-Duration,4,4,163
Position,36,36,229
Note-Velocity,21,21,149
Note-On,74,74,74
Note-Duration,2,2,161
Position,48,48,241
Tempo-Class,0,0,257
Tempo,60.00,4,266
Position,60,60,253
Phrase,0,0,393
MLU-Type,melody,0,399
Note-Velocity,25,25,153
Note-On,72,72,72
Note-Duration,3,3,162
Position,63,63,256
Note-Velocity,25,25,153
Note-On,74,74,74
Note-Duration,3,3,162
Bar,0,0,192
Position,0,0,193
Tempo-Class,0,0,257
Tempo,60.00,4,266
Chord-Tone,Eb,3,325
Chord-Type,j7,None,381
Chord-Slash,Eb,3,337
Position,3,3,196
Note-Velocity,26,26,154
Note-On,77,77,77
Note-Duration,1,1,160
Position,5,5,198
Note-Velocity,20,20,148
Note-On,76,76,76
Note-Duration,1,1,160
Position,6,6,199
Note-Velocity,25,25,153
Note-On,75,75,75
Note-Duration,1,1,160
Position,7,7,200
Note-Velocity,23,23,151
Note-On,74,74,74
Note-Duration,3,3,162
Position,11,11,204
Note-Velocity,20,20,148
Note-On,72,72,72
Note-Duration,2,2,161
Position,16,16,209
Tempo-Class,0,0,257
Tempo,60.00,4,266
Note-Velocity,24,24,152
Note-On,70,70,70
Note-Duration,12,12,171
Position,29,29,222
Note-Velocity,19,19,147
Note-On,67,67,67
Note-Duration,1,1,160
Position,32,32,225
Tempo-Class,0,0,257
Tempo,57.50,3,265
Chord-Tone,Ab,8,330
Chord-Type,79,None,369
Chord-Slash,Ab,8,342
Note-Velocity,23,23,151
Note-On,70,70,70
Note-Duration,32,32,191
Position,48,48,241
Tempo-Class,0,0,257
Tempo,57.50,3,265
Bar,0,0,192
Position,0,0,193
Tempo-Class,0,0,257
Tempo,57.50,3,265
Chord-Tone,G,7,329
Chord-Type,m7b5,None,386
Chord-Slash,G,7,341
Position,16,16,209
Tempo-Class,0,0,257
Tempo,55.00,2,264
Position,26,26,219
Note-Velocity,21,21,149
Note-On,69,69,69
Note-Duration,1,1,160
Note-Velocity,23,23,151
Note-On,71,71,71
Note-Duration,1,1,160
Position,27,27,220
Note-Velocity,25,25,153
Note-On,72,72,72
Note-Duration,1,1,160
Position,28,28,221
Note-Velocity,24,24,152
Note-On,74,74,74
Note-Duration,1,1,160
Position,29,29,222
Note-Velocity,26,26,154
Note-On,75,75,75
Note-Duration,2,2,161
Position,32,32,225
Tempo-Class,0,0,257
Tempo,62.50,5,267
Chord-Tone,C,0,322
Chord-Type,7,None,368
Chord-Slash,C,0,334
Position,33,33,226
Note-Velocity,23,23,151
Note-On,73,73,73
Note-Duration,3,3,162
Position,36,36,229
Note-Velocity,22,22,150
Note-On,68,68,68
Note-Duration,3,3,162
Position,40,40,233
Note-Velocity,18,18,146
Note-On,64,64,64
Note-Duration,4,4,163
Position,45,45,238
Note-Velocity,20,20,148
Note-On,63,63,63
Note-Duration,16,16,175
Position,48,48,241
Tempo-Class,0,0,257
Tempo,60.00,4,266
Bar,0,0,192
Position,0,0,193
Tempo-Class,0,0,257
Tempo,57.50,3,265
Chord-Tone,F,5,327
Chord-Type,-,None,354
Chord-Slash,F,5,339
Phrase,0,0,393
MLU-Type,lick,0,397
MLU-Subtype,general,0,402
Backref-Referred,0,0,417
Note-Velocity,25,25,153
Note-On,67,67,67
Note-Duration,4,4,163
Position,5,5,198
Note-Velocity,14,14,142
Note-On,60,60,60
Note-Duration,1,1,160
Position,8,8,201
Note-Velocity,20,20,148
Note-On,63,63,63
Note-Duration,5,5,164
Position,16,16,209
Tempo-Class,0,0,257
Tempo,60.00,4,266
Position,32,32,225
Tempo-Class,0,0,257
Tempo,57.50,3,265
Chord-Tone,C,0,322
Chord-Type,+7,None,348
Chord-Slash,C,0,334
Position,48,48,241
Tempo-Class,0,0,257
Tempo,60.00,4,266
Position,49,49,242
Phrase,0,0,393
MLU-Type,lick,0,397
MLU-Subtype,general,0,402
Backref-Distance,1,1,418
Note-Velocity,23,23,151
Note-On,67,67,67
Note-Duration,4,4,163
Position,53,53,246
Note-Velocity,16,16,144
Note-On,60,60,60
Note-Duration,1,1,160
Position,56,56,249
Note-Velocity,21,21,149
Note-On,63,63,63
Note-Duration,4,4,163
Position,61,61,254
Note-Velocity,21,21,149
Note-On,65,65,65
Note-Duration,2,2,161
Bar,0,0,192
Position,0,0,193
Tempo-Class,0,0,257
Tempo,57.50,3,265
Chord-Tone,F,5,327
Chord-Type,-7,None,357
Chord-Slash,F,5,339
Position,1,1,194
Note-Velocity,24,24,152
Note-On,67,67,67
Note-Duration,3,3,162
Position,5,5,198
Note-Velocity,12,12,140
Note-On,60,60,60
Note-Duration,1,1,160
Position,8,8,201
Note-Velocity,17,17,145
Note-On,63,63,63
Note-Duration,8,8,167
Position,16,16,209
Tempo-Class,0,0,257
Tempo,60.00,4,266
Position,32,32,225
Tempo-Class,0,0,257
Tempo,60.00,4,266
Chord-Tone,Bb,10,332
Chord-Type,7,None,368
Chord-Slash,Bb,10,344
Position,44,44,237
Phrase,0,0,393
MLU-Type,melody,0,399
Note-Velocity,23,23,151
Note-On,70,70,70
Note-Duration,4,4,163
Position,48,48,241
Tempo-Class,0,0,257
Tempo,57.50,3,265
Position,49,49,242
Note-Velocity,25,25,153
Note-On,74,74,74
Note-Duration,8,8,167
Position,58,58,251
Note-Velocity,25,25,153
Note-On,72,72,72
Note-Duration,2,2,161
Position,61,61,254
Note-Velocity,23,23,151
Note-On,70,70,70
Note-Duration,3,3,162
Bar,0,0,192
Position,0,0,193
Tempo-Class,0,0,257
Tempo,57.50,3,265
Chord-Tone,G,7,329
Chord-Type,7,None,368
Chord-Slash,G,7,341
Note-Velocity,21,21,149
Note-On,68,68,68
Note-Duration,4,4,163
Position,4,4,197
Note-Velocity,23,23,151
Note-On,67,67,67
Note-Duration,21,21,180
Position,16,16,209
Tempo-Class,0,0,257
Tempo,57.50,3,265
Position,26,26,219
Note-Velocity,22,22,150
Note-On,65,65,65
Note-Duration,3,3,162
Position,30,30,223
Note-Velocity,19,19,147
Note-On,62,62,62
Note-Duration,2,2,161
Position,32,32,225
Tempo-Class,0,0,257
Tempo,57.50,3,265
Chord-Tone,C,0,322
Chord-Type,7,None,368
Chord-Slash,C,0,334
Position,33,33,226
Note-Velocity,22,22,150
Note-On,64,64,64
Note-Duration,2,2,161
Position,35,35,228
Note-Velocity,15,15,143
Note-On,61,61,61
Note-Duration,20,20,179
Position,48,48,241
Tempo-Class,0,0,257
Tempo,60.00,4,266
Bar,0,0,192
Position,0,0,193
Tempo-Class,0,0,257
Tempo,57.50,3,265
Chord-Tone,F,5,327
Chord-Type,-7,None,357
Chord-Slash,F,5,339
Position,5,5,198
Phrase,0,0,393
MLU-Type,line,0,398
MLU-Subtype,w,0,411
Note-Velocity,20,20,148
